level,code,name
SECTION,A,"Agriculture, forestry and fishing"
DIVISION,01,"Crop and animal production, hunting and related service activities"
DIVISION,02,Forestry and logging
DIVISION,03,Fishing and aquaculture
SECTION,B,Mining and quarrying
DIVISION,05,Mining of coal and lignite
DIVISION,06,Extraction of crude petroleum and natural gas
DIVISION,07,Mining of metal ores
DIVISION,08,Other mining and quarrying
DIVISION,09,Mining support service activities
SECTION,C,Manufacturing
DIVISION,10,Manufacture of food products
DIVISION,11,Manufacture of beverages
DIVISION,12,Manufacture of tobacco products
DIVISION,13,Manufacture of textiles
DIVISION,14,Manufacture of wearing apparel
DIVISION,15,Manufacture of leather and related products
DIVISION,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
DIVISION,17,Manufacture of paper and paper products
DIVISION,18,Printing and reproduction of recorded media
DIVISION,19,Manufacture of coke and refined petroleum products
DIVISION,20,Manufacture of chemicals and chemical products
DIVISION,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations
DIVISION,22,Manufacture of rubber and plastic products
DIVISION,23,Manufacture of other non-metallic mineral products
DIVISION,24,Manufacture of basic metals
DIVISION,25,"Manufacture of fabricated metal products, except machinery and equipment"
DIVISION,26,"Manufacture of computer, electronic and optical products"
DIVISION,27,Manufacture of electrical equipment
DIVISION,28,Manufacture of machinery and equipment n.e.c.
DIVISION,29,"Manufacture of motor vehicles, trailers and semi-trailers"
DIVISION,30,Manufacture of other transport equipment
DIVISION,31,Manufacture of furniture
DIVISION,32,Other manufacturing
DIVISION,33,"Repair, maintenance and installation of machinery and equipment"
SECTION,D,"Electricity, gas, steam and air conditioning supply"
DIVISION,35,"Electricity, gas, steam and air conditioning supply"
SECTION,E,"Water supply; sewerage, waste management and remediation activities"
DIVISION,36,"Water collection, treatment and supply"
DIVISION,37,Sewerage
DIVISION,38,"Waste collection, treatment and disposal, and recovery activities"
DIVISION,39,Remediation and other waste management service activities
SECTION,F,Construction
DIVISION,41,Construction of residential and non-residential buildings
DIVISION,42,Civil engineering
DIVISION,43,Specialized construction activities
SECTION,G,Wholesale and retail trade
DIVISION,46,Wholesale trade
DIVISION,47,Retail trade
SECTION,H,Transportation and storage
DIVISION,49,Land transport and transport via pipelines
DIVISION,50,Water transport
DIVISION,51,Air transport
DIVISION,52,Warehousing and support activities for transportation
DIVISION,53,Postal and courier activities
SECTION,I,Accommodation and food service activities
DIVISION,55,Accommodation
DIVISION,56,Food and beverage service activities
SECTION,J,"Publishing, broadcasting, and content production and distribution activities"
DIVISION,58,Publishing activities
DIVISION,59,"Motion picture, video and television programme production, sound recording and music publishing activities"
DIVISION,60,"Programming, broadcasting, news agency and other content distribution activities"
SECTION,K,"Telecommunications, computer programming, consultancy, computing infrastructure, and other information service activities"
DIVISION,61,Telecommunications
DIVISION,62,"Computer programming, consultancy and related activities"
DIVISION,63,"Computing infrastructure, data processing, hosting, and other information service activities"
SECTION,L,Financial and insurance activities
DIVISION,64,"Financial service activities, except insurance and pension funding"
DIVISION,65,"Insurance, reinsurance and pension funding, except compulsory social security"
DIVISION,66,Activities auxiliary to financial service and insurance activities
SECTION,M,Real estate activities
DIVISION,68,Real estate activities
SECTION,N,"Professional, scientific and technical activities"
DIVISION,69,Legal and accounting activities
DIVISION,70,Activities of head offices; management consultancy activities
DIVISION,71,Architectural and engineering activities; technical testing and analysis
DIVISION,72,Scientific research and development
DIVISION,73,"Activities of advertising, market research and public relations"
DIVISION,74,"Other professional, scientific and technical activities"
DIVISION,75,Veterinary activities
SECTION,O,Administrative and support service activities
DIVISION,77,Rental and leasing activities
DIVISION,78,Employment activities
DIVISION,79,"Travel agency, tour operator, and other travel related activities"
DIVISION,80,Investigation and security activities
DIVISION,81,Services to buildings and landscape activities
DIVISION,82,"Office administrative, office support and other business support activities"
SECTION,P,Public administration and defence; compulsory social security
DIVISION,84,Public administration and defence; compulsory social security
SECTION,Q,Education
DIVISION,85,Education
SECTION,R,Human health and social work activities
DIVISION,86,Human health activities
DIVISION,87,Residential care activities
DIVISION,88,Social work activities without accommodation
SECTION,S,"Arts, sports and recreation"
DIVISION,90,Arts creation and performing arts activities
DIVISION,91,"Library, archives, museum and other cultural activities"
DIVISION,92,Gambling and betting activities
DIVISION,93,Sports activities and amusement and recreation activities
SECTION,T,Other service activities
DIVISION,94,Activities of membership organizations
DIVISION,95,"Repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles"
DIVISION,96,Personal service activities
SECTION,U,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
DIVISION,97,Activities of households as employers of domestic personnel
DIVISION,98,Undifferentiated goods- and services-producing activities of private households for own use
SECTION,V,Activities of extraterritorial organizations and bodies
DIVISION,99,Activities of extraterritorial organizations and bodies
