level,code,name
SECTION,A,"Agriculture, forestry and fishing"
DIVISION,01,"Crop and animal production, hunting and related service activities"
GROUP,011,Growing of non-perennial crops
CLASS,0111,"Growing of cereals (except rice), leguminous crops and oil seeds"
CLASS,0112,Growing of rice
CLASS,0113,"Growing of vegetables and melons, roots and tubers"
CLASS,0114,Growing of sugar cane
CLASS,0115,Growing of tobacco
CLASS,0116,Growing of fibre crops
CLASS,0119,Growing of other non-perennial crops
GROUP,012,Growing of perennial crops
CLASS,0121,Growing of grapes
CLASS,0122,Growing of tropical and subtropical fruits
CLASS,0123,Growing of citrus fruits
CLASS,0124,Growing of pome fruits and stone fruits
CLASS,0125,Growing of other tree and bush fruits and nuts
CLASS,0126,Growing of oleaginous fruits
CLASS,0127,Growing of beverage crops
CLASS,0128,"Growing of spices, aromatic, drug and pharmaceutical crops"
CLASS,0129,Growing of other perennial crops
GROUP,013,Plant propagation
CLASS,0130,Plant propagation
GROUP,014,Animal production
CLASS,0141,Raising of cattle and buffaloes
CLASS,0142,Raising of horses and other equines
CLASS,0143,Raising of camels and camelids
CLASS,0144,Raising of sheep and goats
CLASS,0145,Raising of swine and pigs
CLASS,0146,Raising of poultry
CLASS,0149,Raising of other animals
GROUP,015,Mixed farming
CLASS,0150,Mixed farming
GROUP,016,Support activities to agriculture and post-harvest crop activities
CLASS,0161,Support activities for crop production
CLASS,0162,Support activities for animal production
CLASS,0163,Post-harvest crop activities
CLASS,0164,Seed processing for propagation
GROUP,017,"Hunting, trapping and related service activities"
CLASS,0170,"Hunting, trapping and related service activities"
DIVISION,02,Forestry and logging
GROUP,021,Silviculture and other forestry activities
CLASS,0210,Silviculture and other forestry activities
GROUP,022,Logging
CLASS,0220,Logging
GROUP,023,Gathering of non-wood forest products
CLASS,0230,Gathering of non-wood forest products
GROUP,024,Support services to forestry
CLASS,0240,Support services to forestry
DIVISION,03,Fishing and aquaculture
GROUP,031,Fishing
CLASS,0311,Marine fishing
CLASS,0312,Freshwater fishing
GROUP,032,Aquaculture
CLASS,0321,Marine aquaculture
CLASS,0322,Freshwater aquaculture
GROUP,033,Support activities for fishing and aquaculture
CLASS,0330,Support activities for fishing and aquaculture
SECTION,B,Mining and quarrying
DIVISION,05,Mining of coal and lignite
GROUP,051,Mining of hard coal
CLASS,0510,Mining of hard coal
GROUP,052,Mining of lignite
CLASS,0520,Mining of lignite
DIVISION,06,Extraction of crude petroleum and natural gas
GROUP,061,Extraction of crude petroleum
CLASS,0610,Extraction of crude petroleum
GROUP,062,Extraction of natural gas
CLASS,0620,Extraction of natural gas
DIVISION,07,Mining of metal ores
GROUP,071,Mining of iron ores
CLASS,0710,Mining of iron ores
GROUP,072,Mining of non-ferrous metal ores
CLASS,0721,Mining of uranium and thorium ores
CLASS,0729,Mining of other non-ferrous metal ores
DIVISION,08,Other mining and quarrying
GROUP,081,"Quarrying of stone, sand and clay"
CLASS,0810,"Quarrying of stone, sand and clay"
GROUP,089,Mining and quarrying n.e.c.
CLASS,0891,Mining of chemical and fertilizer minerals
CLASS,0892,Extraction of peat
CLASS,0893,Extraction of salt
CLASS,0899,Other mining and quarrying n.e.c.
DIVISION,09,Mining support service activities
GROUP,091,Support activities for petroleum and natural gas extraction
CLASS,0910,Support activities for petroleum and natural gas extraction
GROUP,099,Support activities for other mining and quarrying
CLASS,0990,Support activities for other mining and quarrying
SECTION,C,Manufacturing
DIVISION,10,Manufacture of food products
GROUP,101,Processing and preserving of meat
CLASS,1010,Processing and preserving of meat
GROUP,102,"Processing and preserving of fish, crustaceans and molluscs"
CLASS,1020,"Processing and preserving of fish, crustaceans and molluscs"
GROUP,103,Processing and preserving of fruit and vegetables
CLASS,1030,Processing and preserving of fruit and vegetables
GROUP,104,Manufacture of vegetable and animal oils and fats
CLASS,1040,Manufacture of vegetable and animal oils and fats
GROUP,105,Manufacture of dairy products
CLASS,1050,Manufacture of dairy products
GROUP,106,"Manufacture of grain mill products, starches and starch products"
CLASS,1061,Manufacture of grain mill products
CLASS,1062,Manufacture of starches and starch products
GROUP,107,Manufacture of other food products
CLASS,1071,Manufacture of bakery products
CLASS,1072,Manufacture of sugar
CLASS,1073,"Manufacture of cocoa, chocolate and sugar confectionery"
