file	duration	year	candidate	round	date1	time1	date2	time2	date3	time3	source	notes	content
"Brazil_1989_Collor_01"	299	1989	"Collor"	1	"9/16/1989"	"n"	""	""	""	""	"Doxa"	""	"Collor confronted the powerful in Alagoas; our message is peace, truth, social justice; coming up: war against marajas; Collor: all began in Alagoas; in Alagoas he fought marajas; Collor speech against superfuncionarios; Collor's specific moves to clean up government; Collor as governor: I'll take necessary measures; details on cleaning up Fidam; Collor statement against marajas; Collor takes fight to Supreme Court, wins; Sarney persecuted Collor in government; large percentage approves of his administration in Alagoas"
"Brazil_1989_Collor_02"	299	1989	"Collor"	1	"9/17/1989"	"n"	"9/18/1989"	"n"	""	""	"Doxa"	""	"we need to rebuild Brazil; I have faith in a better future"
"Brazil_1989_Collor_03"	291	1989	"Collor"	1	"9/20/1989"	"n"	""	""	""	""	"Doxa"	""	"Collor saying completely generic things about Rio Sao Francisco; I am independent and pure like the river; and my candidacy is gaining force"
"Brazil_1989_Collor_04"	299	1989	"Collor"	1	"9/21/1989"	"n"	""	""	""	""	"Doxa"	""	"issue of NE ag; importance of water for NE development; I will make this fertile Brazil a reality; specific irrigation proposals; Rio Grande do Sul will demonstrate its freedom"
"Brazil_1989_Collor_05"	298	1989	"Collor"	1	"9/22/1989"	"n"	""	""	""	""	"Doxa"	""	"Collor's block breaking walls; Collor on current Brazilian's economy; unfair wealth distribution; \"\"Collorir eu vou\"\" jngle; Metal workers support to Collor; Antonio Magri's support to Collor; Luis Antonio Medeiro's support to Collor; Collor's resolutions;"
"Brazil_1989_Collor_06"	299	1989	"Collor"	1	"9/23/1989"	"n"	""	""	""	""	"Doxa"	""	"we are in the Atlantic rainforest, our national patrimony; PRN deputado introducing issue of environment; Collor: I took my family to the Amazon; specific environmental proposals; Collor campaign trip to Mato Grosso"
"Brazil_1989_Collor_07"	298	1989	"Collor"	1	"9/24/1989"	"n"	""	""	""	""	"Doxa"	""	"Collor's block breaking walls; Collor at Campo Grande; jingle \"\"Collorir eu vou\"\"; Katia Chalita and the clip \"\"A Semana\"\"; jingle \"\"Collorir eu vou\"\""
"Brazil_1989_Collor_08"	297	1989	"Collor"	1	"9/25/1989"	"n"	""	""	""	""	"Doxa"	""	"Collor at rally: we need unity; Collor rally in RJ state; Collor: you can count on me; another rally; Collor speaking unintelligably at rally; Campos rally; he's young, we believe in him, trust him; another rally; speech against the trap set for him in Campos; text: we need hope for a better future"
"Brazil_1989_Collor_09"	299	1989	"Collor"	1	"9/26/1989"	"n"	""	""	""	""	"Doxa"	""	"the powers that be declared war against me; I represent the people; I have the experience and the will to fight them; I'll fight corruption; they set a trap for me in Campos; he's couragous, etc.; rally speech: all the nasty tricks they play on me; they know I represent the people; they are enemies of the people"
"Brazil_1989_Collor_10"	297	1989	"Collor"	1	"9/28/1989"	"n"	""	""	""	""	"Doxa"	""	"Collor on better opportunities and life quality for the working class; Collor's block breaking walls; Collor at S�o Paulo; Collor at Campinas; polls show Collor winning; Collor \"\"Eu e voc�\"\""
"Brazil_1989_Collor_11"	297	1989	"Collor"	1	"9/29/1989"	"n"	""	""	""	""	"Doxa"	""	"hope and optimism are important, but we've lost them; waste is common; govt. rice is rotting, medicines unusable; there are many problems; our government  has no morality; we have to not lose hope; introducing the flood in Santa Catarina in 1983; woman couldn't pay back her loan; I'll create a country in which it is worth being honest"
"Brazil_1989_Collor_12"	297	1989	"Collor"	1	"9/30/1989"	"n"	""	""	""	""	"Doxa"	""	"Images of the flooding at Santa Catarina; Collor's promise to keep fighting for all; people's support for Collor; Collor's blocks breaking walls; Collor at Distrito Federal; polls show Collor winning; Collor \"\"Eu e voc�\"\"; Collor's vote on direct elections; Itamar's support to Collor;"
"Brazil_1989_Collor_13"	297	1989	"Collor"	1	"10/1/1989"	"n"	""	""	""	""	"Doxa"	""	"Campos rally; I'm against them, they were bad for Brazil; I will have a moral government (?); Collor leading in surveys; he's up in the surveys in SP; let's build a new Brasil; another rally; they may throw rocks at us, it doesn't matter; and another rally; a future of freedom; cheering crowds; Datafolha survey; let's build a new Brazil"
"Brazil_1989_Collor_14"	291	1989	"Collor"	1	"10/2/1989"	"n"	""	""	""	""	"Doxa"	""	"Collor's blocks breaking walls; Collor's testimony on salaries; criticsim to current government's budget management; Collor at Maranh�o; polls shpw Collor's leadership; Collor voted \"\"yes\"\" for direct voting; jingle \"\"Sou Collor\"\""
"Brazil_1989_Collor_15"	294	1989	"Collor"	1	"10/3/1989"	"n"	""	""	""	""	"Doxa"	""	"we're gonna get 80% of the vote; rally and visit to Imperatriz; generic intended vote; visit to Sao Luis; Sarney diverted housing funds away from Alagoas when Collor was governor; under Collor all states will get equal resources; Collor says this in rally; we need someone to change this country; generic expressions of popular support; scene from rally, Collor says essentially nothing; he's way up in polls in NE; he'll help farmers and fishermen"
"Brazil_1989_Collor_16"	293	1989	"Collor"	1	"10/4/1989"	"n"	""	""	""	""	"Doxa"	""	"Collor's block breaking walls; Collor's on agriculture and food to export, but no food for Brazilians \"\"arroz com feij�o\"\"; More protection for small producers; agriculture sector under Collor's government; jingle \"\"Sou Collor\"\"; Pople's support to Collor; Collor against corruption"
"Brazil_1989_Collor_17"	146	1989	"Collor"	1	"10/6/1989"	""	""	""	""	""	"Doxa"	"\"\"Right of response\"\" granted by electoral court. Date uncertain."	"Collor is a transparent candidate; People are trying to put him down, but he keeps going; people's support to Collor; polls show Collor as leader"
"Brazil_1989_Collor_18"	299	1989	"Collor"	1	"10/6/1989"	"n"	""	""	""	""	"Doxa"	""	"Sao Paulo is a great place; but SP also highlights problem of poverty; we metalurgicos are with him, he is hope; he visited factories; he's looking out for the workers; our proposal is profit sharing with workers; generic support; my labor minister will be a union leader; visits to public housing; health here is terrible; I'll build a hospital here my first year; health bad b/c government spends too little and spends poorly; we'll triple health spending and invest in preventative medicine; let's work together, it's our turn; specific health proposals; carreata in Sao Paulo"
"Brazil_1989_Collor_19"	270	1989	"Collor"	1	"10/8/1989"	"n"	""	""	""	""	"Doxa"	""	"my government will be clean and honest; report on Cuiaba rally; we vote for the new guy; he was also in Tocantins; Fed Gov has turned its back on Tocantins; I will do better; he's hard working, competent, the solution; Minas will have a presence in the national political scene; report on Minas visit; I have the people on my side; rally shows Minas with Collor; Collor remarking on this great rally"
"Brazil_1989_Collor_20"	287	1989	"Collor"	1	"10/9/1989"	"n"	""	""	""	""	"Doxa"	""	"Sara Kubitschek on Juscelino as the greatest president; we need someone to continue his work; she endorses Collor b/c of leadership qualities; thank you, it is an honor to take up the mantel of Juscelino; report on Collor visit to SP; he has been in many local towns, generating excitement; filled plaza in Socoraba; the people are on my side; upcoming rallies; Afif's afraid to debate with Collor"
"Brazil_1989_Collor_21"	300	1989	"Collor"	1	"10/10/1989"	"n"	""	""	""	""	"Doxa"	""	"I kicked the marajas out of Alagoas; IFIs are institutional marajas with their high interest rates; your vote gives me strength to confront them; we'll crack down on tax evasion; land and financial speculators are also marajas; even marajas who horde food waiting for prices to rise; I beat marajas before and will defeat all of these; summary of promises; rally in SP interior; I believe in a better Brasil; more rallies; Afif's afraid to debate with Collor; specific policies he voted against"
"Brazil_1989_Collor_22"	295	1989	"Collor"	1	"10/17/1989"	"n"	""	""	""	""	"Doxa"	""	"Sao Paulo is a great place; but SP also highlights problem of poverty; Collor rallies in SP; I will be an honest politician; another rally; generic \"\"thank you Marilia\"\" speech; visit to Floreal; my ag minister will be someone from the campo who knows ag; specific ag credit policy; ag reform goal; let's work together"
"Brazil_1989_Collor_23"	299	1989	"Collor"	1	"10/18/1989"	"n"	""	""	""	""	"Doxa"	""	"Collor and Brazilian society are not afraid; other candidates have no respect for each other; enthusiasm of people shows support for Collor; in Rocinha they support Collor; I support Collor b/c he's dignified; In Novo Brasilia they support the New Brasil canddiate; I vote Collor because he's new; Sara Kubitschek endorsement; visit to Uberaba; believe in Brazil; scenes from Uberaba; we will build a new Brazil; specific health proposals; I like Collor b/c he's young, etc."
"Brazil_1989_Collor_24"	298	1989	"Collor"	1	"10/19/1989"	"n"	""	""	""	""	"Doxa"	""	"Collor and Brazilian society are not afraid; other candidates have no respect for each other; people in streets show they already chose their candidate; report on Goais visit; there will not be abandoned children; educ proposals; visits SP evangelical church; morality is important; the will of God is for Collor to be president"
"Brazil_1989_Collor_25"	299	1989	"Collor"	1	"10/20/1989"	"n"	""	""	""	""	"Doxa"	""	"I am not afraid; I confronted marajas, corruption, etc.; I am courageous; this is the election of democracy; Collor built houses in Alagoas; people: we're voting Collor; poll results; Collor in Santa Catarina; we're building a better Brazil; visits to other SC cities"
"Brazil_1989_Collor_26"	300	1989	"Collor"	1	"10/21/1989"	"n"	""	""	""	""	"Doxa"	""	"yesterday, violence in Ipatinga; the PT attacked me; my opponents have been using unfair and violent tactics; my people have not done that to other candidates; our commitment is to order, security; the people are with me in this struggle; Collor's visits to RS; I have gaucho blood in my veins; more visits; Rio Grande is great"
"Brazil_1989_Collor_27"	299	1989	"Collor"	1	"10/22/1989"	"n"	""	""	""	""	"Doxa"	""	"Collor's block breaking walls; Collor's on current inflation; poverty and hunger; external debt payment; jingle \"\"Sou Coller\"\"; Milton Moraes' support to Collor;"
"Brazil_1989_Collor_28"	297	1989	"Collor"	1	"10/23/1989"	"n"	""	""	""	""	"Doxa"	""	"my opponents use violence against me; my people have not done that to other candidates; our commitment is to order, security; the people are with me in this struggle; crime fighting accomplishments in Alagoas; visits to MG cities; we're committed to a new and better Brazil; Sara Kubitschek endorsement; images--Collor, Juscelino; we're committed to order; visits to other MG cities; we're against the powerful, corrupt, thieves; up in surveys"
"Brazil_1989_Collor_29"	100	1989	"Collor"	1	"10/24/1989"	"n"	""	""	""	""	"Doxa"	"Missing beginning and end."	"Mansions of the government workers; Renan Calherios on patrimony's protection; people's support; Collor's promise to fight injustice; polls show Collor as leader"
"Brazil_1989_Collor_30"	290	1989	"Collor"	1	"10/25/1989"	"n"	""	""	""	""	"Doxa"	""	"we will distribute wealth; triple minimum wage; the min wage not currently enough for the cesta basica; Collor plans to raise it (cut off); Calheiros: we propose measures to combat inflation; specific measures which they claim combat inflation; a better Brazil; Collor's visits in SP state; Collor kicking ass in surveys; actor on Collor's personal qualities; he's committed to modernization; he's the solution to inflation problem"
"Brazil_1989_Collor_31"	297	1989	"Collor"	1	"10/26/1989"	"n"	""	""	""	""	"Doxa"	""	"I've presented anti-inflation proposals to Congress; get involved, contact committee, let's pressure Congress to solve inflation problem; Renan Calheiros's anti-inflation proposals in Congress; I agree with the anti-govt. perks proposal; problem of minimum wage low purchasing power; he is proposing price controls on basic goods; Collor in rally: we'll fight against corruption, etc.; Paraiba rallies; Paraiba will give me victory; surveys"
"Brazil_1989_Collor_32"	296	1989	"Collor"	1	"10/28/1989"	"n"	""	""	""	""	"Doxa"	""	"Collor on the low salaries; unfair wealth distribution; clip \"\"Emprego\"\"; Collor at Paran�; jingle \"\"Sou Collor\"\"; \"\"New Brazil Project\"\"; Support the PRN (phone numbers); Collor, 20"
"Brazil_1989_Collor_33"	298	1989	"Collor"	1	"10/29/1989"	"n"	""	""	""	""	"Doxa"	""	"Collor in Rocinha; vote for me, I'll solve you're problems; I support Collor because he's young; I support Collor b/c his pro-poor policies, i.e. cesta basica; everywhere I go people understand, support our proposals; there are many dangerous dwellings in places like Rosinha; Favela Nova Republica tradgedy in Sao Paulo; poor housing and homelessness a serious problem; I'll tackle housing head on; I built public housing economically in Alagoas; we'll build more than 3 million houses in all Brazil; more than 3 million houses"
"Brazil_1989_Collor_34"	299	1989	"Collor"	1	"10/30/1989"	"n"	""	""	""	""	"Doxa"	""	"Collor will end poverty; development, a lie used by previous politicians; Collor's commitment to modernize Brazil; Development means take care of people with better servicies and jobs; People at Porteirinha in Mina Gerais ready to receive Collor; Collor at Porteirinha; \"\"New Brazil Project\"\"; Collor at Belo Horizonte; Collor, 20"
"Brazil_1989_Collor_35"	299	1989	"Collor"	1	"10/31/1989"	"n"	""	""	""	""	"Doxa"	""	"Collor in Bahia; lack of medical attention a problem; people discuss poor medical attention; health problems incl. infant mortality; specific health proposals; more rallies; we have to build a Brazil that is socially just; specific health policies"
"Brazil_1989_Collor_36"	296	1989	"Collor"	1	"11/1/1989"	"n"	""	""	""	""	"Doxa"	""	"People from Moreno, Pernambuco's support for Collor; images of the train with Collor's supporters; Collor on public transportation: expensive and terrible service; Collor at Recife, Pernambuco; \"\"New Brazil Project\"\"; clip, Collor as a center candidate; Ipojuca Contes' support to Collor; Daniela Lavagnino's support to Collor; Collor, 20"
"Brazil_1989_Collor_37"	298	1989	"Collor"	1	"11/2/1989"	"n"	""	""	""	""	"Doxa"	""	"govt's role is to take tax money, spend it to solve collective problems; govt. is taking in pensions taxes, spending it on other things; in my gov workers will control their pensions; we demand govt. pay into pensions accounts, support Medeiros in this effort; Medeiros on budget deficit; Collor in Osasco, SP; my father was first Minister of Labor, laid foundations for labor legislation; workers will decide how pensions are spent; the many things Collor built as governor"
