file	duration	year	candidate	round	date1	time1	date2	time2	date3	time3	date4	time4	date5	time5	date6	time6	source	notes	content
"Chile_1988_No_01"	901	1988	"No"		"9/5/1988"	""	""	""	""	""	""	""	""	""	""	""	"Marin"	""	"first time in 15 years speaking on TV; there is only one candidate in this election; Pinochet and other generals lied about who would be candidate; most people want change: introducing Aylwin; Aylwin: generic talk about history, democracy; Pinochet's authority based on fear; Chileans want peace; No means peace; No means democracy; spontaneous manifestations, people rejecting Pinochet as candidate; generic intended vote; head shaking scene; Sra Yolita; inviting Pinochet to the program to debate"
"Chile_1988_No_02"	859	1988	"No"		"9/6/1988"	""	""	""	""	""	""	""	""	""	""	""	"Marin"	""	"la alegr�a ya viene jingle; Los prisioneros concert; Criticism of two faces of Pinochet as a military general and as a democratic civilian; Alejandro Hales listing all the lies of Pinochet's government; alegr�a ya viene music video; No campaign parades and concerts in different cities; interviews with civilians of why they are voting NO; No in different colors; Husband and wife in bed; Testimony by Liliana Mal, ex-director of the Tourism Office; Invitation to Pinochet to the show (again)"
"Chile_1988_No_03"	852	1988	"No"		"9/7/1988"	""	""	""	""	""	""	""	""	""	""	""	"Marin"	""	"Pinochet not a democrat; Si has plenty of spaces for its propaganda; graffitti supporting No; in the past there has been division; issue of exile and return; introducing a speaker; issue of exile and return; they killed my husband; for the future I want unity, no exile; the vote is secret and free; inviting Pinochet to the program to debate"
"Chile_1988_No_04"	836	1988	"No"		"9/8/1988"	""	""	""	""	""	""	""	""	""	""	""	"Marin"	""	"La alegr�a ya viene jingle; Music by Silvio Rodriguez (Cuban musician); Censorship of music; list of things that are not democratic; No campaign in smaller communities; Testimony by local leader from a small community; Tito Fernandez's support for No; Bastian Bodenhofer's support for Si and censorship of his last movie; International meeting of journalists around freedom of speech and murder of Chilean journalist Jos� Carrasco; Woman who can't afford tea; Tips for people voting for the first time; scene with two tv actors who are not allowed to appear on tv anymore; vamos a decir que no music video; la alegr�a ya viene jingle"
"Chile_1988_No_05"	901	1988	"No"		"9/9/1988"	""	""	""	""	""	""	""	""	""	""	""	"Marin"	""	"desaparecidos; inviting Pinochet to the program to debate; carabinero/protestor scene; watch the franja with your friends and family; Sra Yolita; television has shown only one side of reality; issue of poverty; issue of poverty; we're not against the government per se, but rather the regime; introducing Rene Cortazar; fighting poverty first priority of new democratic government; unemployment rates up, salaries down; social spending has declined; health spending down; housing spending down; education spending down; poverty fighting tasks for the future; we will give the poor hope in a new democracy; Lagos: Si protagonists running away from debate; artists support the No; we support the No; artists support the No"
"Chile_1988_No_06"	905	1988	"No"		"9/10/1988"	""	""	""	""	""	""	""	""	""	""	""	"Marin"	""	"la alegr�a ya viene jingle; contradictions of Pinochet's government; clip of list of things that are not democratic; preliminary results for No with 45% and 21% for Si in Santiago; Tower in Alameda with Si and reactions from people; clip of woman who can't afford tea;  Schwenke y Nilo musical clip; military youngmen in civilian clothes outside the National congress; music about censorship; votes are secret; husband with nightmare about voting Si; Song by mothers of disappeared people; invitation once again to Pinochet for dialogue; Vamos a decir que no music video; la alegr�a ya viene jingle "
"Chile_1988_No_07"	901	1988	"No"		"9/11/1988"	""	""	""	""	""	""	""	""	""	""	""	"Marin"	""	"today is Sept. 11; introducing Los Prisioneros; Los Prisioneros song; issue of youth without jobs; this election just involves Pinochet; Pinochet changes his image, not believable, not a democrat; multifaceted policy critique of Pinochet and his dishonesty; Pinochet not a democrat; denouncing violent attacks on Zaldivar's house, car; Zaldivar denounces attack; reporting on No rally; people's comments at No rally; head shaking guy; the franja is the work of everyone; No graphic art; vote will be secret; today is Sept. 11"
"Chile_1988_No_08"	905	1988	"No"		"9/12/1988"	""	""	""	""	""	""	""	""	""	""	""	"Marin"	"Censored, not broadcast"	"la alegr�a ya viene jingle; No campaign only has 15 minutes, while Si uses many spaces; Nadie lo quiere recibir song (international countries); two young,en without jobs and looking; peace walks not on TV; criticism to the silence of the media; Juez Rene Garcia Villegas talking about all the disappeared; Jose Salaque on Human Rights and the problems with torture; la alegr�a ya viene music video; tips on how to vote; Carolina Artegui inviting people to vote No; Women singing a peace song to Chilean soldiers; Women for democracy; clip of woman who can't afford tea; la alegr�a ya viene jingle"
"Chile_1988_No_09"	905	1988	"No"		"9/13/1988"	""	""	""	""	""	""	""	""	""	""	""	"Marin"	""	"la alegr�a ya viene jingle; Chile not allowed to see certain international friends; music by Joan Manuel Serrat and his view of Pinochet; Censorship of literature and testimony by Jorge Edwards; TV reporters say No to silence; song about censoship; clip of youngmwen unmeployed; images of military cruilty; workers' support of No; tips for voting correctly; testimony by Orlando Saenz on proposals to government for democracy; la alegr�a ya viene jingle"
"Chile_1988_No_10"	905	1988	"No"		"9/14/1988"	""	""	""	""	""	""	""	""	""	""	""	"Marin"	"Alternate program, not broadcast "	"la alegr�a ya viene jingle; Censorship and intro to Silvio Rodriguez, forbidden music of the dictatorship; housing projects and testimonies by people affected by this; lack of services; Eugenio Tironi: modernization as propagando and not a reality; 1969, years of democracy; Women singing a peace song to Chilean soldiers; Women for democracy; tips for voting correctly; Nadie lo quiere recibir song (international countries); Vamos a decir que No music video; la alegr�a ya viene jingle"
