file	duration	year	candidate	round	source	content
"Peru_1985_Garcia_01"	44	1985	"Garcia"	1	"Ghibellini"	"Song \"\"Orgullo de ser Peruano\"\""
"Peru_1985_Garcia_02"	26	1985	"Garcia"	1	"Ghibellini"	"message from Juan Pablo; Juan Pablo said no to violence; government's job is to provide food"
"Peru_1985_Garcia_03"	31	1985	"Garcia"	1	"Ghibellini"	"Peru is being poorly governed economically; on April 7 we march forward to a better future"
"Peru_1985_Garcia_04"	29	1985	"Garcia"	1	"Ghibellini"	"girl with dove; Peru has hope for better future"
"Peru_1985_Garcia_05"	28	1985	"Garcia"	1	"Ghibellini"	"a new time is coming"
"Peru_1985_Garcia_06"	31	1985	"Garcia"	1	"Ghibellini"	"national industry in terrible state; I defend Peruvians' jobs"
"Peru_1985_Garcia_07"	31	1985	"Garcia"	1	"Ghibellini"	"we need unity"
"Peru_1990_AlvaCastro_01"	40	1990	"Alva Castro"	1	"Ghibellini"	"problem: nutrition; specific nutrition policies"
"Peru_1990_AlvaCastro_02"	61	1990	"Alva Castro"	1	"U Lima"	"song \"\"Lucho por el Pueblo\"\""
"Peru_1990_AlvaCastro_03"	20	1990	"Alva Castro"	1	"Ghibellini"	"How to vote"
"Peru_1990_AlvaCastro_04"	30	1990	"Alva Castro"	1	"Ghibellini"	"come to Dia de la Fraternidad rally"
"Peru_1990_AlvaCastro_05"	21	1990	"Alva Castro"	1	"Ghibellini"	"free education important"
"Peru_1990_AlvaCastro_06"	31	1990	"Alva Castro"	1	"U Lima"	"ladder for the rich to climb; anti-shock"
"Peru_1990_AlvaCastro_07"	21	1990	"Alva Castro"	1	"Ghibellini"	"we defend labor stability"
"Peru_1990_AlvaCastro_08"	41	1990	"Alva Castro"	1	"U Lima"	"Alva Castro's a good guy; he did great things as econ minister; he lowered inflation left to us by Belaunde; respected internationally; commitment to the people"
"Peru_1990_AlvaCastro_09"	41	1990	"Alva Castro"	1	"Ghibellini"	"we will promote exports"
"Peru_1990_AlvaCastro_10"	33	1990	"Alva Castro"	1	"U Lima"	"words from Haya; come to Dia de la Fraternidad rally"
"Peru_1990_AlvaCastro_11"	31	1990	"Alva Castro"	1	"Ghibellini"	"we'll lower inflation but without shock"
"Peru_1990_AlvaCastro_12"	40	1990	"Alva Castro"	1	"Ghibellini"	"not fair the media aren't covering other candidates"
"Peru_1990_AlvaCastro_13"	19	1990	"Alva Castro"	1	"U Lima"	"attend closing rally"
"Peru_1990_AlvaCastro_14"	21	1990	"Alva Castro"	1	"Ghibellini"	"attend San Juan de Lurigancho rally"
"Peru_1990_AlvaCastro_15"	41	1990	"Alva Castro"	1	"Ghibellini"	"measures to combat terrorism"
"Peru_1990_AlvaCastro_16"	42	1990	"Alva Castro"	1	"U Lima"	"pasion segun VLL--criticism of shock"
"Peru_1990_AlvaCastro_17"	24	1990	"Alva Castro"	1	"Ghibellini"	"criticism of shock"
"Peru_1990_AlvaCastro_18"	29	1990	"Alva Castro"	1	"Ghibellini"	"regionalization has been great; we'll defend it"
"Peru_1990_AlvaCastro_19"	49	1990	"Alva Castro"	1	"U Lima"	"apocalyptic criticism of shock"
"Peru_1990_AlvaCastro_20"	41	1990	"Alva Castro"	1	"Ghibellini"	"song \"\"Lucho por el Pueblo\"\""
"Peru_1990_AlvaCastro_21"	19	1990	"Alva Castro"	1	"U Lima"	"are the poor going to vote for the rich?"
"Peru_1990_Fujimori_01"	30	1990	"Fujimori"	1	"U Lima"	"my proposal is honesty, technology, work"
"Peru_1990_Fujimori_02"	20	1990	"Fujimori"	2	"Bonilla"	"do you want to end corruption?  Me too"
"Peru_1990_Fujimori_03"	40	1990	"Fujimori"	2	"Bonilla"	"presidente como tu jingle; I'll fight for you"
"Peru_1990_VargasLlosa_01"	41	1990	"Vargas Llosa"	1	"Chroma"	"FREDEMO second anniversary rally"
"Peru_1990_VargasLlosa_02"	27	1990	"Vargas Llosa"	1	"Chroma"	"APRA, communists want status quo b/c they oppose my reforms"
"Peru_1990_VargasLlosa_03"	28	1990	"Vargas Llosa"	1	"Chroma"	"we will defeat terrorists"
"Peru_1990_VargasLlosa_04"	122	1990	"Vargas Llosa"	1	"Chroma"	"Song \"\"Vamos con Mario\"\""
