WedeenURLsfromBibliography	B	C
"Listed URL"	"Full URL"	"Archived URL"
"https://tinyurl.com/y7rlby93"	"https://www.rt.com/news/399848-syrian-chemical-probe-shaykhun/"	"https://perma.cc/BC2C-SVEV"
"http://syriauntold.com/2018/06/our-sectarianism-not-just-the-regimes-creation/"	"http://syriauntold.com/2018/06/14/our-sectarianism-not-just-the-regimes-creation/"	"https://perma.cc/R8CV-6EL5"
"http://www.arabnews.com/news/459811"	"http://www.arabnews.com/news/459811"	"https://perma.cc/VVD6-27TH"
"https://tinyurl.com/yabcnmt8"	"https://view.publitas.com/the-intelligent-optimist/january-february-us-2014/page/78-79"	"https://perma.cc/7EFA-RDA9"
"https://tinyurl.com/lfnjcuw"	"https://www.nytimes.com/2013/09/05/world/middleeast/rockets-in-syrian-attack-carried-large-payload-of-gas-experts-say.html"	"https://perma.cc/SGE3-AVWQ"
"https://tinyurl.com/y87dhbym"	"http://brown-moses.blogspot.com/2013/09/statement-by-dale-gavlak-on-mint-press.html"	"https://perma.cc/LK6N-NC7L"
"https://tinyurl.com/ybbarngd"	"http://brown-moses.blogspot.com/2013/09/who-was-responsible-for-august-21st.html"	"https://perma.cc/TRF3-QFSQ"
"http://gawker.com/asma-al-assad-a-rose-in-the-desert-1265002284"	"https://gawker.com/asma-al-assad-a-rose-in-the-desert-1265002284"	"https://perma.cc/9MSA-VRCG"
"https://tinyurl.com/noh3fm9"	"https://www.nytimes.com/2013/12/29/world/middleeast/new-study-refines-view-of-sarin-attack-in-syria.html"	"https://perma.cc/MEQ2-M7DZ"
"https://tinyurl.com/m9lh8q8"	"https://www.theguardian.com/world/2017/apr/04/syria-chemical-attack-idlib-province"	"https://perma.cc/764P-ZZXW"
"https://tinyurl.com/y8dxdswh"	"https://now.mmedia.me/lb/en/reportsfeatures/the_syrian_revolution_in_sketches"	"https://perma.cc/7R7M-X58T"
"https://tinyurl.com/nbrykrr"	"https://www.mintpressnews.com/witnesses-of-gas-attack-say-saudis-supplied-rebels-with-chemical-weapons/168135/"	"https://perma.cc/BFW4-22VV"
"https://tinyurl.com/l835ygp"	"https://21stcenturywire.com/wp-content/uploads/2017/04/Analysis-of-the-UN-Report-on-Syria-CW.pdf"	"https://perma.cc/WWK7-ZSC4"
"https://tinyurl.com/ycyer6f4"	"https://www.gq-magazine.co.uk/article/syria-civil-war"	"https://perma.cc/V6DY-PEC5"
"https://tinyurl.com/y94gadfc"	"https://www.bellingcat.com/news/mena/2017/07/04/summary-claims-surrounding-khan-sheikhoun-chemical-attack/"	"https://perma.cc/9HFX-EP44"
"https://tinyurl.com/ybaxukm2"	"https://www.bellingcat.com/news/mena/2017/06/25/will-get-fooled-seymour-hersh-welt-khan-sheikhoun-chemical-attack/"	"https://perma.cc/KRP9-66R8"
"https://tinyurl.com/y7rld8ud"	"https://syriadirect.org/news/hts-storms-idlib-city-council-after-its-refusal-to-surrender-control-of-civil-institutions/"	"https://perma.cc/P9VN-BH8D"
"https://www.hrw.org/report/2013/09/10/attacks-ghouta/analysis-alleged-use-chemical-weapons-syria#"	"https://www.hrw.org/report/2013/09/10/attacks-ghouta/analysis-alleged-use-chemical-weapons-syria"	"https://perma.cc/JA8L-6JDF"
"https://tinyurl.com/ycewjcz8"	"https://reliefweb.int/report/syrian-arab-republic/syria-act-now-stop-desertification-says-fao"	"https://perma.cc/D53Y-KNUM"
"https://tinyurl.com/yddgmtfb"	"https://www.longwarjournal.org/archives/2015/04/al-nusrah-front-leader-preaches-jihadist-unity-in-idlib.php"	"https://perma.cc/648T-ZKF3"
"https://tinyurl.com/yc2sm9qc"	"https://www.nytimes.com/2017/01/07/opinion/sunday/how-to-destroy-the-business-model-of-breitbart-and-fake-news.html"	"https://perma.cc/P4KA-W23T"
"https://tinyurl.com/y8pp9rcd"	"https://2009-2017.state.gov/secretary/remarks/2013/08/213503.htm"	"https://perma.cc/QN7Q-6HBH"
"https://tinyurl.com/y7smamnv"	"https://www.nytimes.com/2016/08/29/world/europe/russia-sweden-disinformation.html"	"https://perma.cc/GN6H-K9A4"
"https://tinyurl.com/y8h7fg3d"	"https://thelede.blogs.nytimes.com/2013/09/21/reporter-denies-writing-article-that-linked-syrian-rebels-to-chemical-attack/"	"https://perma.cc/XL22-XLE3"
"https://tinyurl.com/y75kc7cg"	"https://www.nytimes.com/2016/08/06/opinion/for-putin-disinformation-is-power.html"	"https://perma.cc/S8QK-RJ86"
"https://tinyurl.com/y9vc39kr"	"https://www.globalresearch.ca/evidence-that-syria-chemical-attacks-weapons-attack-were-staged-by-jihadists-un-team/5544804"	"https://perma.cc/38CJ-J9Q4"
"https://tinyurl.com/y8ekoc9x"	"https://www.theatlantic.com/international/archive/2014/02/the-syrian-opposition-is-disappearing-from-facebook/283562/"	"https://perma.cc/7SV4-LDKT"
"https://tinyurl.com/or5vtco"	"https://www.nytimes.com/2013/09/12/opinion/putin-plea-for-caution-from-russia-on-syria.html?ref=opinion&_r=0"	"https://perma.cc/AH5S-DMLP"
"https://tinyurl.com/yb3kcppf"	"https://www.reuters.com/article/us-mideast-crisis-syria-chemical-russia/russia-says-syria-gas-incident-caused-by-rebels-own-chemical-arsenal-idUSKBN1770H3?il=0"	"https://perma.cc/2N6N-5352"
"https://tinyurl.com/y9gp3hre"	"https://www.rt.com/op-ed/385462-chemical-attack-media-syria/"	"https://perma.cc/9LRT-3C8D"
"https://tinyurl.com/yadtv2uw"	"https://www.marketplace.org/2017/05/26/life/why-ramadan-big-deal-arab-tv-networks"	"https://perma.cc/L262-GW4M"
"https://tinyurl.com/y7zwabo9"	"https://www.thenational.ae/world/mena/syrian-chemical-attack-spurs-finger-pointing-inside-assad-regime-1.300478"	"https://perma.cc/KS3R-TMTQ"
"https://issuu.com/haykalmedia/docs/forwardsyria0311"	"https://issuu.com/haykalmedia/docs/forwardsyria0311"	"https://perma.cc/38YE-JMVE"
"https://tinyurl.com/q9otn9g"	"https://foreignpolicy.com/2013/08/27/exclusive-intercepted-calls-prove-syrian-army-used-nerve-gas-u-s-spies-say/"	"https://perma.cc/8L96-HFSV"
"https://tinyurl.com/yce378zh"	"https://www.nytimes.com/2011/06/25/world/middleeast/25syria.html"	"https://perma.cc/3F45-7PAY"
"https://tinyurl.com/y95oyb9k"	"https://www.nytimes.com/2011/05/11/world/middleeast/11makhlouf.html?pagewanted=all&_r=0"	"https://perma.cc/R3G9-BAHL"
"https://tinyurl.com/yb6mkmge"	"https://www.hrw.org/news/2017/04/06/russias-claim-alleged-chemical-attack-syria"	"https://perma.cc/8P8X-9G39"
"https://tinyurl.com/ycfqzfyo"	"http://footnote.co/did-drought-trigger-the-crisis-in-syria/"	"https://perma.cc/GR54-7GK9"
"https://tinyurl.com/yapv6luk"	"http://joshualandis.oucreate.com//syriablog/2006/06/dardari-speaks-to-tabler-about-5-year.htm"	"https://perma.cc/K6YM-S52R"
"https://tinyurl.com/y7c6rbsw"	"https://truthsyria.wordpress.com/2012/02/18/the-truth-about-ibrahim-qashoush-the-alleged-singer-and-composer-of-the-so-called-syrian-revolution/"	"https://perma.cc/5NKA-PW3D"
"https://tinyurl.com/yb55r8wn"	"https://truthsyria.wordpress.com/2012/01/23/western-and-arabic-media-honor-the-rapists-and-ignore-the-real-innocent-victims/"	"https://perma.cc/8CXP-WSH6"
"https://tinyurl.com/pkzrbey"	"https://unoda-web.s3.amazonaws.com/wp-content/uploads/2013/12/report.pdf"	"https://perma.cc/E3JS-MRZM"
"http://al-bab.com/blog/2013/09/yahya-ababneh-exposed"	"https://al-bab.com/blog/2013/09/yahya-ababneh-exposed"	"https://perma.cc/UM4U-T2M3"
"https://tinyurl.com/y8ka9mug"	"https://raseef22.com/politics/2015/03/17/syrian-revolution-absolete-slogans/"	"https://perma.cc/CM5D-8XVK"
"https://tinyurl.com/y7qrxnaz"	"https://www.addiyarcomcarloscharlesnet.com/article/1223865-3-%d8%b3%d9%86%d9%88%d8%a7%d8%aa-%d8%b9%d9%84%d9%89-%d9%83%d9%8a%d9%85%d8%a7%d9%88%d9%8a-%d8%a7%d9%84%d8%ba%d9%88%d8%b7%d8%a9-%d8%ae%d9%81%d8%a7%d9%8a%d8%a7-%d8%a7%d9%84%d9%85%d8%ac%d8%b2%d8%b1%d8%a9"	"https://perma.cc/HGB3-9P89"
"https://tinyurl.com/y7mexgyj"	"https://www.alaraby.co.uk/medianews/2016/8/21/%D9%85%D8%AC%D8%B2%D8%B1%D8%A9-%D8%A7%D9%84%D9%83%D9%8A%D9%85%D8%A7%D9%88%D9%8A-%D9%85%D9%86-%D8%A7%D9%84%D8%A5%D9%86%D9%83%D8%A7%D8%B1-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D8%AA%D9%84%D9%81%D9%8A%D9%82-1"	"https://perma.cc/MXN3-6SDN"
"https://tinyurl.com/ybbjou79"	"https://www.aljazeera.net/news/arabic/2012/3/18/%d9%88%d8%ab%d8%a7%d8%a6%d9%82-%d8%a7%d9%84%d8%ac%d8%b2%d9%8a%d8%b1%d8%a9-%d8%aa%d9%83%d8%b4%d9%81-%d8%ae%d8%b7%d8%b7-%d8%aa%d9%82%d8%b7%d9%8a%d8%b9-%d8%af%d9%85%d8%b4%d9%82"	"https://perma.cc/JM5S-4N56"
