WedeenURLsfromNotes	B	C
"Listed URL"	"Full URL"	"Archived URL"
"http://library.fes.de/pdf-files/bueros/beirut/12320.pdf"	"http://library.fes.de/pdf-files/bueros/beirut/12320.pdf"	"https://perma.cc/3RBN-UAYX"
"http://library.fes.de/pdf-files/iez/13783.pdf"	"http://library.fes.de/pdf-files/iez/13783.pdf"	"https://perma.cc/ZS99-5QWW"
"http://www.cbssyr.sy/CPI/inflation_years_2013.htm"	"http://www.cbssyr.sy/CPI/inflation_years_2013.htm"	"https://perma.cc/TM9G-4L4V"
"https://tinyurl.com/428cgcv"	"https://thehill.com/business-a-lobbying/175149-pr-firm-worked-with-syria-on-controversial-photo-shoot"	"https://perma.cc/42TA-VHTU"
"https://tinyurl.com/yafj8mpc"	"https://www.theatlantic.com/international/archive/2012/01/the-only-remaining-online-copy-of-vogues-asma-al-assad-profile/250753/"	"https://perma.cc/PKN9-JZX4"
"http://www.all4syria.info/Archive/430274"	"https://web.archive.org/web/20170730052841/http://www.all4syria.info/Archive/430274"	"https://web.archive.org/web/20170730052841/http://www.all4syria.info/Archive/430274"
"https://tinyurl.com/y7pbotql)"	"https://muftah.org/irony-satire-and-humor-in-the-battle-for-syria/"	"https://perma.cc/AH9A-CZKV"
"https://tinyurl.com/yce378zh)"	"https://www.nytimes.com/2011/06/25/world/middleeast/25syria.html"	"https://perma.cc/FE57-QPJX"
"https://tinyurl.com/y7tnoqs6)"	"http://media.wix.com/ugd/86a19a_7aa1c99fd6c14105a2fe1f80fc0a8300.pdf"	"https://perma.cc/KBJ3-XD6V"
"http://www.sobe3.com/vb//showthread.php?t=18596"	"http://www.sobe3.com/vb//showthread.php?t=18596"	"https://perma.cc/6HEZ-787F"
"https://tinyurl.com/y7c6rbsw)"	"https://truthsyria.wordpress.com/2012/02/18/the-truth-about-ibrahim-qashoush-the-alleged-singer-and-composer-of-the-so-called-syrian-revolution/"	"https://perma.cc/JK2Z-VH2W"
"https://www.hrw.org/report/2013/09/10/attacks-ghouta/analysis-alleged-use-chemical-weapons-syria"	"https://www.hrw.org/report/2013/09/10/attacks-ghouta/analysis-alleged-use-chemical-weapons-syria"	"https://perma.cc/RS57-RTW6"
"http://www.orient-news.net/ar/news_show/80599"	"https://www.orient-news.net/ar/news_show/80599"	"https://perma.cc/PRB8-4WAE"
"https://tinyurl.com/y7ttkf74"	"http://www.tumaer.com/vb/archive/index.php/t-114514.html"	"https://perma.cc/TK64-V6MN"
"https://tinyurl.com/ycduff4m"	"http://www.asharqalarabi.org.uk/barq/b-qiraat-1376.htm"	"https://perma.cc/2M7N-4ZJX"
"https://web.archive.org/web/20160917170322/http://the-syrian.com/archives/102020"	"https://web.archive.org/web/20160917170322/http://the-syrian.com/archives/102020"	"https://web.archive.org/web/20160917170322/http://the-syrian.com/archives/102020"
"https://tinyurl.com/y9de7mwe"	"http://www.damaspost.com/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9/%D8%A3%D8%B3%D9%8A%D9%88%D8%B4%D9%8A%D8%AA%D8%AF-%D8%A8%D8%B1%D8%B3-%D8%A8%D9%86%D8%AF%D8%B1-%D8%A8%D9%86-%D8%B3%D9%84%D8%B7%D8%A7%D9%86-%D9%85%D8%B3%D8%A4%D9%88%D9%84-%D8%B9%D9%86-%D8%A7%D9%84%D9%87%D8%AC%D9%88%D9%85-%D8%A7%D9%84%D9%83%D9%8A%D9%85%D8%A7%D9%88%D9%8A-%D9%81%D9%8A-%D8%A7%D9%84%D8%BA%D9%88%D8%B7%D8%A9.htm"	"https://perma.cc/D2GD-7X23"
"https://www.hrw.org/ar/report/2013/09/10/256469"	"https://www.hrw.org/ar/report/2013/09/10/256469"	"https://perma.cc/EVQ6-AGD6"
"http://www.awsatnews.net/?p=127436"	"http://www.awsatnews.net/?p=127436"	"https://web.archive.org/web/20170126112813/http://www.awsatnews.net/?p=127436"
"http://breakingnews.sy/ar/article/36785.html"	"http://breakingnews.sy/ar/article/36785.html"	"https://web.archive.org/web/20140412151825/http://breakingnews.sy/ar/article/36785.html"
