WedeenArchivedVideoURLs	Viewfullcollectionunder:https://webrecorder.io/QDR/wedeen	C	D
"Listed URL"	"Full URL"	"Archived URL "	"Notes"
"https://vimeo.com/107948804"	"https://vimeo.com/107948804"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b2/20190213182355/https://vimeo.com/107948804"	""
"https://vimeo.com/66891077"	"https://vimeo.com/66891077"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b1/20190213182753/https://vimeo.com/66891077"	""
"https://vimeo.com/54135942"	"https://vimeo.com/54135942"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b4/20190213183436/https://vimeo.com/54135942"	""
"https://youtu.be/BAbfMSP0DN4"	"https://www.youtube.com/watch?v=BAbfMSP0DN4&feature=youtu.be"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b5/20190213183849/https://www.youtube.com/watch?v=BAbfMSP0DN4&feature=youtu.be"	""
"https://tinyurl.com/ycybl6z2"	"https://www.youtube.com/watch?v=0MvLmE51beE&feature=youtu.be"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b6/20190213184555/https://www.youtube.com/watch?v=0MvLmE51beE&feature=youtu.be"	""
"https://youtu.be/bAwxij1-PHI"	"https://www.youtube.com/watch?v=bAwxij1-PHI&feature=youtu.be"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b43/20190219201303/https://www.youtube.com/watch?v=k-nu07LG0OM"	"Alternative version found and archived: https://www.youtube.com/watch?v=k-nu07LG0OM"
"https://youtu.be/6bLVQjmKgYI"	"https://www.youtube.com/watch?v=6bLVQjmKgYI&feature=youtu.be"	"https://webrecorder.io/QDR/wedeen/20190220150437/https://www.youtube.com/watch?v=6bLVQjmKgYI&feature=youtu.be"	""
"https://youtu.be/LThziRgKzTQ"	"https://www.youtube.com/watch?v=LThziRgKzTQ&feature=youtu.be"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b8/20190213190453/https://www.youtube.com/watch?v=LThziRgKzTQ&feature=youtu.be"	""
"https://www.youtube.com/watch?v=W5RifYxWr-4"	"https://www.youtube.com/watch?v=W5RifYxWr-4"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b9/20190213190839/https://www.youtube.com/watch?v=W5RifYxWr-4"	""
"https://www.youtube.com/watch?v=Gn2MF-XLZ5A"	"https://www.youtube.com/watch?v=Gn2MF-XLZ5A"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b11/20190213192218/https://www.youtube.com/watch?v=Gn2MF-XLZ5A"	""
"https://www.youtube.com/watch?v=IjdxJitecaI"	"https://www.youtube.com/watch?v=IjdxJitecaI"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b12/20190213193209/https://www.youtube.com/watch?v=IjdxJitecaI"	""
"https://www.youtube.com/watch?v=YGTOvUvmYAk"	"https://www.youtube.com/watch?v=YGTOvUvmYAk"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b13/20190213194534/https://www.youtube.com/watch?v=YGTOvUvmYAk"	""
"https://www.youtube.com/watch?v=72qAlyeCzH8&t=90s"	"https://www.youtube.com/watch?v=72qAlyeCzH8&t=90s"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b14/20190213195307/https://www.youtube.com/watch?v=72qAlyeCzH8&t=90s"	""
"https://www.youtube.com/watch?v=7A0bG4vssz0"	"https://www.youtube.com/watch?v=7A0bG4vssz0"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b15/20190213200147/https://www.youtube.com/watch?v=7A0bG4vssz0"	""
"https://tinyurl.com/yaq787lo"	"https://www.youtube.com/watch?v=tV9oQdly_zc&feature=youtu.be"	""	"n/a"
"https://www.youtube.com/watch?v=eQSm7OOo9pE"	"https://www.youtube.com/watch?v=eQSm7OOo9pE"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b16/20190213200926/https://www.youtube.com/watch?v=eQSm7OOo9pE"	""
"https://vimeo.com/61093429"	"https://vimeo.com/61093429"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b17/20190213201125/https://vimeo.com/61093429"	""
"https://vimeo.com/61097242"	"https://vimeo.com/61097242"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b18/20190213201747/https://vimeo.com/61097242"	""
"https://www.youtube.com/watch?v=St5dzQTwRfU"	"https://www.youtube.com/watch?v=St5dzQTwRfU"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b19/20190213202149/https://wwhttps://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b20/20190213202440/https://www.youtube.com/watch?v=1coqjAzpEu0w.youtube.com/watch?v=St5dzQTwRfU"	""
"https://www.youtube.com/watch?v=1coqjAzpEu0"	"https://www.youtube.com/watch?v=1coqjAzpEu0"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b20/20190213202440/https://www.youtube.com/watch?v=1coqjAzpEu0"	""
"https://youtu.be/8d440Iiw0SE"	"https://www.youtube.com/watch?v=8d440Iiw0SE&feature=youtu.be"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b21/20190213202816/https://www.youtube.com/watch?v=8d440Iiw0SE&feature=youtu.be"	""
"http://www.educationalleaderswithoutborders.com/documentaries.html"	"http://www.educationalleaderswithoutborders.com/documentaries.html"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b22/20190213204827/http://www.educationalleaderswithoutborders.com/documentaries.html"	""
"https://tinyurl.com/y8wd5mhe"	"https://www.youtube.com/watch?v=fhfmgn4kH8k"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b23/20190213205015/https://www.youtube.com/watch?v=fhfmgn4kH8k"	""
"https://youtu.be/Vd3WPzvuEWA"	"https://www.youtube.com/watch?v=Vd3WPzvuEWA&feature=youtu.be"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b24/20190213210140/https://www.youtube.com/watch?v=Vd3WPzvuEWA&feature=youtu.be"	""
"https://tinyurl.com/y83s76wr"	"https://www.youtube.com/watch?v=v6rqgSGclUw"	""	"n/a"
"https://tinyurl.com/y6wafjhc"	"https://www.youtube.com/watch?feature=youtu.be&v=bDyE1L-XSVg&app=desktop"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b25/20190213212248/https://www.youtube.com/watch?feature=youtu.be&v=bDyE1L-XSVg&app=desktop"	""
"https://tinyurl.com/ycvghwpa"	"https://arabic.cnn.com/middle-east/video/2017/09/06/v14290-me-060917-syria-iconic-boy-omran-revisited"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b26/20190213212419/https://arabic.cnn.com/middle-east/video/2017/09/06/v14290-me-060917-syria-iconic-boy-omran-revisited"	""
"https://tinyurl.com/yap9lqvl"	"https://www.enabbaladi.net/archives/110514"	""	"n/a"
"https://tinyurl.com/y94pvvbo"	"https://www.youtube.com/watch?v=vi1yc-fdRKU&feature=youtu.be"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b27/20190218210725/https://www.youtube.com/watch?v=vi1yc-fdRKU&feature=youtu.be"	""
"https://tinyurl.com/yd53vv7d"	"https://www.youtube.com/watch?v=J2Q7xlHdHcI&feature=youtu.be"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b28/20190218211559/https://www.youtube.com/watch?v=J2Q7xlHdHcI&feature=youtu.be"	""
"https://jpnews-sy.com/ar/news.php?id=109067"	"https://jpnews-sy.com/ar/news.php?id=109067"	"https://webrecorder.io/QDR/wedeen/list/wedeen-archived-videos/b29/20190218211848/https://jpnews-sy.com/ar/news.php?id=109067"	""
