Title	Extension	Datepublished	D	E	Datedownloaded	Link	PermanentLink
""	""	"Month"	"Dates"	"Year"		""	""
"CDC to encourage _Vaccinated for COVID-19_ buttons - ABC News"	".pdf"	"December"	"01 -- 07"	"2020"	44440.0	"https://abcnews.go.com/Politics/cdc-encourage-vaccinated-covid-19-buttons/story?id=74528723"	"https://perma.cc/R2C2-BS4R"
"China prepares large-scale rollout of coronavirus vaccines - ABC News"	".pdf"	"December"	"01 -- 07"	"2020"	44440.0	"https://abcnews.go.com/Health/wireStory/china-prepares-large-scale-rollout-covid-19-vaccines-74565366"	"https://perma.cc/22GV-XW3C"
"Health experts on COVID-19 vaccine_ Ame...ns have ‘a lot of distrust’ - ABC News"	".pdf"	"December"	"01 -- 07"	"2020"	44440.0	"https://abcnews.go.com/Health/health-experts-covid-19-vaccine-americans-lot-distrust/story?id=74519119"	"https://perma.cc/WD66-VE3U"
"Minority communities’ distrust of COVID-19 vaccine poses challenge - ABC News"	".pdf"	"December"	"01 -- 07"	"2020"	44440.0	"https://abcnews.go.com/US/minority-communities-distrust-covid-19-vaccine-poses-challenge/story?id=74503429"	"https://perma.cc/G5AG-FB4P"
"Nevada doctor_s selfie used to claim COVID-19 is a hoax - ABC News"	".pdf"	"December"	"01 -- 07"	"2020"	44440.0	"https://abcnews.go.com/Health/wireStory/reno-doctors-selfie-claim-covid-19-hoax-74492988"	"https://web.archive.org/web/20211202193415/https:/abcnews.go.com/Health/wireStory/reno-doctors-selfie-claim-covid-19-hoax-74492988"
"New data shows people who got Moderna v...d antibodies 3 months later - ABC News"	".pdf"	"December"	"01 -- 07"	"2020"	44440.0	"https://abcnews.go.com/Health/data-shows-people-moderna-vaccine-antibodies-months/story?id=74529058"	"https://perma.cc/5MHG-FURJ"
"Over half of NYC firefighters would ref...ID-19 vaccine, survey finds - ABC News"	".pdf"	"December"	"01 -- 07"	"2020"	44440.0	"https://abcnews.go.com/Health/half-nyc-firefighters-refuse-covid-19-vaccine-survey/story?id=74582249"	"https://perma.cc/2N5H-HXEU"
"Prisons should be COVID-19 vaccine priority_ Health experts - ABC News"	".pdf"	"December"	"01 -- 07"	"2020"	44440.0	"https://abcnews.go.com/Health/prisons-covid-19-vaccine-priority-health-experts/story?id=74501889"	"https://perma.cc/6WH7-2VAZ"
"Putin orders _large-scale_ COVID-19 vaccination in Russia - ABC News"	".pdf"	"December"	"01 -- 07"	"2020"	44440.0	"https://abcnews.go.com/Health/wireStory/putin-orders-large-scale-covid-19-vaccination-russia-74506020"	"https://web.archive.org/web/20210117013909/https:/abcnews.go.com/Health/wireStory/putin-orders-large-scale-covid-19-vaccination-russia-74506020"
"Researchers hunt for clues in our blood...D-19 vaccines of the future - ABC News"	".pdf"	"December"	"01 -- 07"	"2020"	44440.0	"https://abcnews.go.com/Health/researchers-hunt-clues-blood-discover-covid-19-vaccines/story?id=74531301"	"https://perma.cc/6FSF-J2ZR"
"5 things to know about COVID-19 vaccines - ABC News"	".pdf"	"December"	"08 -- 14"	"2020"	44440.0	"https://abcnews.go.com/Health/things-covid-19-vaccines/story?id=74591998"	"https://perma.cc/PRS4-NKU7"
"A breakdown of the Pfizer vaccine and w...l qualify for the injection - ABC News"	".pdf"	"December"	"08 -- 14"	"2020"	44440.0	"https://abcnews.go.com/Health/breakdown-pfizer-vaccine-people-qualify-injection/story?id=74685021"	"https://perma.cc/2QL8-TGPM"
"Americans increasingly willing to get COVID-19 vaccine_ Poll - ABC News"	".pdf"	"December"	"08 -- 14"	"2020"	44440.0	"https://abcnews.go.com/Health/americans-increasingly-covid-19-vaccine-poll/story?id=74632280"	"https://perma.cc/CM4A-HXNB"
"Bahrain approves Chinese COVID-19 vaccine for use - ABC News"	".pdf"	"December"	"08 -- 14"	"2020"	44440.0	"https://abcnews.go.com/Health/wireStory/bahrain-approves-chinese-covid-19-vaccine-74699175"	"https://web.archive.org/web/20220425193515/https:/abcnews.go.com/Health/wireStory/bahrain-approves-chinese-covid-19-vaccine-74699175"
"Coronavirus updates_ 1st vaccines now on the way to all 50 US states - ABC News"	".pdf"	"December"	"08 -- 14"	"2020"	44440.0	"https://abcnews.go.com/Health/live-updates/coronavirus/?id=74578775"	"https://perma.cc/BCK8-ATUU"
"COVID-19 vaccine_ Answering the most common questions - ABC News"	".pdf"	"December"	"08 -- 14"	"2020"	44440.0	"https://abcnews.go.com/Health/covid-19-vaccine-answering-common-questions/story?id=74625343"	"https://perma.cc/8TAF-AMKZ"
"FDA authorizes 1st COVID-19 vaccine in United States - ABC News"	".pdf"	"December"	"08 -- 14"	"2020"	44440.0	"https://abcnews.go.com/Health/fda-authorizes-1st-covid-19-vaccine-united-states/story?id=74665712"	"https://perma.cc/MK7A-P44Q"
"Officials confront challenges to get public to take COVID vaccine - ABC News"	".pdf"	"December"	"08 -- 14"	"2020"	44440.0	"https://abcnews.go.com/Health/officials-confront-challenges-public-covid-vaccine/story?id=74708303"	"https://perma.cc/S8KY-YGAY"
"Rich countries are hoarding the COVID vaccine_ Report - ABC News"	".pdf"	"December"	"08 -- 14"	"2020"	44440.0	"https://abcnews.go.com/Health/rich-countries-hoarding-vaccine-report/story?id=74623521"	"https://perma.cc/96B8-YY8K"
"The 35-year-old scientist who led Moder...o create a COVID-19 vaccine - ABC News"	".pdf"	"December"	"08 -- 14"	"2020"	44440.0	"https://abcnews.go.com/Health/35-year-scientist-led-modernas-efforts-create-covid/story?id=74701220"	"https://perma.cc/R55K-X62Z"
"California could see 100,000 hospitalizations in January - ABC News"	".pdf"	"December"	"15 -- 21"	"2020"	44440.0	"https://abcnews.go.com/Health/wireStory/california-governor-precautionary-coronavirus-quarantine-74844467"	"https://perma.cc/HRW8-STPU"
"Comparing the Pfizer and Moderna COVID-19 vaccines - ABC News"	".pdf"	"December"	"15 -- 21"	"2020"	44440.0	"https://abcnews.go.com/Health/comparing-pfizer-moderna-covid-19-vaccines/story?id=74787434"	"https://perma.cc/GVS2-LLMQ"
