Filename	Title	Source
"Trachtenberg_BR_19460503"	"Memorandum by Ernest Bevin, Policy Towards Germany, May 3, 1946 "	"Public Record Office, London"
"Trachtenberg_BR_19460505"	"Anglo-American Discussions, Ernest Bevin, May 5, 1946"	"Public Record Office, London"
"Trachtenberg_BR_19460507"	"O.M. (46) 43rd Conclusions Minute 1, Confidential Annex, May 7, 1946"	"Public Record Office, London"
"Trachtenberg_BR_19461021"	"Cabinet 89 (46) Conclusions of a Meeting of the Cabinet, October 21, 1946"	"Public Record Office, London"
"Trachtenberg_BR_19470220"	"Bevin Memorandum, Main Short-Term Problems Confronting Us in Moscow: Summarised Conclusions and Recommendations, February 20, 1947"	"Public Record Office, London"
"Trachtenberg_BR_19470430"	"Bevin Memorandum, Implementation of the Fusion Arrangements in the British and United States Zones of Germany, April 30, 1947"	"Public Record Office, London"
"Trachtenberg_BR_19480503"	"Cabinet Minutes 34 (48)(parts), May 31, 1948"	"Public Record Office, London"
"Trachtenberg_BR_1948MMDD"	"Cabinet Minutes (parts), May 31, 1948"	"Public Record Office, London"
"Trachtenberg_BR_19490204"	"Bevin Memorandum, Germany and Berlin, February 4, 1949"	"Public Record Office, London"
"Trachtenberg_BR_19510208"	"Cabinet Minutes 12 (51)(parts)"	"Public Record Office, London"
"Trachtenberg_BR_19520315"	"Notes re: meeting preperation by various people (Part), March 15, 1952"	"n/a"
"Trachtenberg_BR_19531002"	"Note by the Secretary, SACEUR's Estimate of the Situation and Force Requirements for 1956, October 2, 1953"	"n/a"
"Trachtenberg_BR_19531117"	"Part I of SACEUR EDP 1-54, Schuyler, November 17, 1953"	"n/a"
"Trachtenberg_BR_19531125"	"Memorandum re: further NATO military effort, Ministere de la Defense Nationale et des Forces Armees, November 25, 1953"	"Liddle Hart Centre for Military Archives, King's College London"
"Trachtenberg_BR_19531204"	"Confidential Annex to C.O.S. (53) 139th Meeting, Ministry of Defence, S.W.1., December 4, 1953"	"n/a"
"Trachtenberg_BR_19531206"	"Lord Ismay's Notes for Meeting, December 6, 1953"	"Liddle Hart Centre for Military Archives, King's College London"
"Trachtenberg_BR_19540111"	"Transcript of Remarks by General Alfred M. Gruenther at Shape Correspondents' Luncheon, Shape, Paris, January 11, 1954"	"n/a"
"Trachtenberg_BR_19540211"	"Dick Letter to Ismay, February 11, 1954"	"Liddle Hart Centre for Military Archives, King's College London"
"Trachtenberg_BR_19540212"	"Ismay Letter to Prime Minister Churchill (parts), February 12, 1954"	"Liddle Hart Centre for Military Archives, King's College London"
"Trachtenberg_BR_19540809"	"Report by the Military Committee on the Most Effective Pattern of NATO Military Strength for the Next Few Years"	"n/a"
"Trachtenberg_BR_19540902"	"Standing Group Report to the Military Committee on SACEUR's Capability Study, 1957"	"n/a"
"Trachtenberg_BR_19541021"	"Report by the Joint Planning Staff, The Most Effective Pattern of NATO Military Strength for the Next Few Years, October 21, 1954"	"n/a"
"Trachtenberg_BR_19550105"	"Telegram from Dillon (Paris) to Secretary of State, January 5, 1955"	"National Archives"
"Trachtenberg_BR_19550107"	"Telegram from Conant (Bonn) to Secretary of State, January 7, 1946"	"National Archives"
"Trachtenberg_BR_19550125"	"Address at Malta, The Possibility of War, January 25, 1955"	"n/a"
"Trachtenberg_BR_19550708"	"Telegram from Dillon (Paris) to Secretary of State, July 8, 1955"	"n/a"
"Trachtenberg_BR_19560629"	"Confidential Annex to C.O.S. (56) 63rd Meeting, June 29, 1956"	"n/a"
