A	B	C	D	E	F	G	Inyourownwords,pleaseprovideabriefdescriptionofSNAPbenefits.	Inyourownwords,pleaseprovideabriefdescriptionoftheSocialDeterminantsofHealth.	Onascalefrom1to5,howdidtheSNAPexperienceaffectyourknowledgeofSDHcomparedtoalecture?1=vastincreaseinknowledgecomparedtolecture2=someincreaseinknowledgecomparedtolectu	DidyourexperiencewiththeSNAPChallengehelpyouunderstandyourpatients'constraintsrelatedtodietandfoodinsecurity?	DescribehowtheSNAPexperiencehelpedyouunderstandyourpatients'constraintsrelatedtodietandfoodinsecurity.Ifnotatall,pleaseinsertNA.	Comparedtoyourpeers,howcomfortable areyouwiththepatientcenteredapproachtofoodinsecurity?	HaveyouleveragedyourknowledgefromtheSNAPexperiencetohelpyourpatients	ExplainhowyouleveragedyourknowledgefromtheSNAPexperiencetohelppatients? 	HaveyoustayedcurrentwithlegislationandrulesaboutSNAPbenefits?	AreyoufamiliarwiththecurrentstateofSNAPbenefitsandlegislation?chooseallthatapply	Onascaleof1to5,howlikelyareyoutorecommendtheSNAPexperienceasalearningactivityformedicalstudents?1=wouldstronglynotrecommend2=wouldnotrecommend3=neutral4=wouldrecommen	CompareyourSNAPexperienceinLICtoyourpovertysimulationexperienceduringorientation.Onascalefrom1to5,howeffectivewastheSNAPexperienceinhelpingyouunderstanddietaryconstraint	Howmuchdidtheassigned"diseasestate"impactyourempathyforyourpatientsstrugglingwithfoodinsecurity?
	""		""		""		"SNAP_Description"	""	" 1 to 5"	"1 to 4"	""	"1 to 4"	"1 to 4"	""	"1 to 4"	""	"1 to 5"	"1 to 5"	"1 to 4"
	""		""		""		""	""	"SDoH"	"understand pt constraints"	""	"to peers"	"used in practice"	""	"Current leg"	""	"Recommend"	"Pov exp"	"empathize"
1.0	"45409.84097222222"	45409.85763888889	"anonymous"		"I agree"	45409.0	"A federal-state program for low-income families that offers bi-monthly or monthly dollars (in the form of a voucher or money card) to purchase food items, with the goal of meeting food as a basic need, reducing hunger/food-deprivation illnesses, and addressing food insecurity."	"Social factors such as housing, transportation, education, etc. that impact health outcomes and shape the distribution and burden of diseases and mortality in different population groups. "	"3"	"3"	"The activity offered real world experience on the decision-making and navigation that goes into trying to plan for meals on a very tight budget in the context of a disease state. A great deal of mental bandwidth was spent just planning for meals, that is, trying to gather coupons or find sales. The budget provided was not sufficient to meet my food needs and I stretched the budget by purchasing a lot of unhealthy food items (canned goods)."	"4"	"4"	"1) Providing community resources for food-insecure patients, 2) Educating patients about healthy food items that they can purchase on a tight budget"	"3"	"Local resources to access and aid in SNAP benefits for patients;"	"4"	"3"	"3"
2.0	"45410.672222222223"	45410.71875	"anonymous"		"I agree"	45410.0	"Food benefits for low income individuals"	"Socioeconomic and environmental factors that influence health"	"4"	"3"	"I had already completed a similar exercise in a previous graduate program so this was not particularly new to me. I would have modified the activity by asking students not necessarily to complete the challenges themselves with these constraints, but to complete a weekly/monthly budget for food allowance and consider how they would utilize public transportation to get to and from the grocery store and to think about how difficult shopping would be if they were from another country or had low literacy. "	"3"	"3"	"This is something that I try to be more conscious of when asking patients about their diet, particularly if they are socioeconomically disadvantaged. "	"3"	"Local resources to access and aid in SNAP benefits for patients;"	"4"	"3"	"3"
3.0	"45411.416666666664"	45411.42083333333	"anonymous"		"I agree"	45411.0	"SNAP is a program that provides funding for low income families to have increased access to healthy foods"	"all the factors outside of a hospital that influence patients health"	"4"	"4"	"It forced me to really increase my focus on food, something I had never done before. Often my day had to be planned around it and the limited meals I could have affected other aspects of my heatlh."	"4"	"3"	"I really try to ask about food more often and provide as many resources as I can to assist patients who may need it."	"1"	"Not very familiar right now;"	"4"	"4"	"4"
4.0	"45411.620833333334"	45411.62430555555	"anonymous"		"I agree"	45411.0	"They are a a small monthly allowance of of money for specific food purchases at certain stores/locations. "	"Socio-political factors that impact health of a larger scale "	"4"	"2"	"I had prior personal experience with SNAP so I was already very familiar with the limitations of the program "	"4"	"3"	"Introduced them to the program, showed them how to navigate a grocery store to avoid processed foods"	"2"	"State legislation and benefit amounts;Local resources to access and aid in SNAP benefits for patients;Benefits are decreasing;"	"5"	"4"	"4"
5.0	"45414.378472222219"	45414.38402777778	"anonymous"		"I agree"	45414.0	"SNAP is a program that helps people who have very little to no income afford some essential foods. Each person, however, only gets a small amount of money per month and is limited to choosing certain items."	"SDH are areas of a patient's life such as transportation, income, etc., that affect the patient's overall health, including their physical health and access to treatment."	"4"	"4"	"It helped me to understand the severe limitations a patient has to the types of foods they eat and how healthy choices are not always possible."	"4"	"3"	"I have provided other community resources to try to help the patient gain more access to healthy choices in addition to the SNAP services."	"1"	"Local resources to access and aid in SNAP benefits for patients;"	"5"	"4"	"4"
6.0	"45414.602777777778"	45414.830555555556	"anonymous"		"I agree"	45414.0	"SNAP benefits are food assistance benefits. If eligible, the person with SNAP benefits can buy certain items at grocery stores and now at some farmer's markets. The amount a person is awarded it based on cost of living, annual income, and household size"	"Social Determinants of Health are aspects of one's life that affect that person's health. These include but are not limited to race, gender, religion, place of origin, smoking status, and sexual identity"	"4"	"3"	"NA"	"3"	"3"	"na"	"3"	"State legislation and benefit amounts;Local resources to access and aid in SNAP benefits for patients;Benefits are decreasing;"	"3"	"3"	"2"
7.0	"45418.582638888889"	45418.58888888889	"anonymous"		"I agree"	45418.0	"SNAP is Supplemental nutrition assistance for purchasing food that is provided by the government for qualifying individuals who meet certain income requirements "	"the circumstances in which we live, work, and experience life that greatly impact our health (moreso than healthcare). These include: stress, financial insecurity, food insecurity, intimate partner violence, cigarette use, etc. "	"4"	"4"	"It increased my awareness of how trying to purchase food while having a chronic condition and a low income can be arduous & overwhelming, and how simply telling someone to eat better will not help them achieve better health. "	"4"	"3"	"I have utilized local resources to provide to patients to help them get connected with SNAP benefits and food pantries. I would say that our entire training on SDoH and longitudinally helped me to achieve this understanding and motivation to help. It is difficult to attribute this solely to the SNAP exercise. "	"1"	"Benefits are decreasing;Local resources to access and aid in SNAP benefits for patients;"	"4"	"4"	"4"
8.0	"45427.600694444445"	45427.60833333333	"anonymous"		"I agree"	45427.0	"Program to support low income population buying groceries"	"The factors in the patient's individual community that impact health"	"5"	"4"	"With the SNAP experience I realized how difficult it would be to maintain a healthy diet for a patient with diabetes enrolled in SNAP. "	"4"	"3"	"Yes, I am able to make better goals with my patients who are experiencing food insecurity. Especially focusing on small incremental change and areas in what they already eat and swapping things that could make high yeild changes. Focusing on not drinking calories is also an effective change that does not impact patient cost."	"4"	"Benefits are decreasing;State legislation and benefit amounts;National legislation and benefit amounts"	"5"	"3"	"4"
