Filename	Description	OriginalURL	Perma.cc
"Trachtenberg_Appendices_1"	"Appendix One (Chapter Two, Note 86); The Potsdam Agreement and Reparations from Current Production"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/appendices/appendixI.html"	"https://perma.cc/24V7-C4Z6"
"Trachtenberg_Appendices_2"	"Appendix Two (Chapter Three, Note 74); The German Threat as a Pretext for Defense against Russia"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/appendices/appendixII.html"	"https://perma.cc/FYE2-7TPL"
"Trachtenberg_Appendices_3"	"Appendix Three (Chapter Four, Note 88); The United States, France and the German Question, 1953-54"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/appendices/appendixIII.html"	"https://perma.cc/YH6C-JX3P"
"Trachtenberg_Appendices_4"	"Appendix Four (Chapter Six, Notes 18, 144, 148, 152); The Politics of the Nuclear Sharing Question"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/appendices/appendixIV.html"	"https://perma.cc/E787-7GTD"
"Trachtenberg_Appendices_5"	"Appendix Five (Chapter Seven, Note 121); The Question of East German Control of Access to Berlin"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/appendices/appendixV.html"	"https://perma.cc/3UDA-H5FQ"
"Trachtenberg_Appendices_6"	"Appendix Six (Chapter Eight, note 205); The U.S. Assessment of German Nuclear Aspirations"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/appendices/appendixVI.html"	"https://perma.cc/252W-R4BM"
"Trachtenberg_Appendices_7"	"Appendix Seven (Chapter Nine, Note 122); U.S. Arms Control Policy under Eisenhower"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/appendices/appendixVII.html"	"https://perma.cc/H44U-YRQG"
"Trachtenberg_Appendices_8"	"Appendix Eight (Chapter Nine, Note 134); Kennedy and the Israeli Nuclear Program"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/appendices/appendixVIII.html"	"https://perma.cc/KRS9-PZXD"
""	""	""	""
""	""	""	""
""	""	""	""
""	""	""	""
""	""	""	""
""	""	""	""
""	""	""	""
