FileCount	Category	NumericID	Filename	Description	TrainingFile?UploadforMursion	VideoLength
""	""		""	""	""	""
"**"	""	0.0	"List of Files"	""	""	""
"1"	"File Log"	0.01	"00.01 M4 Master Files and Abbreviations.xlsx"	""	""	""
"2"	""	0.02	"00.02 M4 Training Files and Abbreviations.xlsx"	""	"Yes"	""
""	""		""	""	""	""
"**"	"Candidate Materials"	1.0	"Candidate Materials"	""	""	""
"3"	""	1.01	"01.01 M4 ED Cand Matl.docx"	"Candidate materials - Word"	""	""
"4"	""	1.02	"01.02 M4 ED Cand Matl.pdf"	"Candidate materials - PDF"	"Yes"	""
"**"	""	1.2	"Source Materials"	"subfolder"	""	""
"5"	""	1.2	"01.20 M4 ED Workspace.pptx"	"Workspace source material - PowerPoint"	""	""
"6"	""	1.21	"01.21 M4 ED Workspace.pdf"	"Workspace source material - PDF"	"Yes"	""
"7"	""	1.22	"01.22 M4 ED MinWil Work.jpg"	"Mina Will student work jpg"	""	""
"8"	""	1.23	"01.23 M4 ED JayEmCar Work.jpg"	"Jayla Emily Carlos student work jpg"	""	""
"9"	""	1.24	"01.24 M4 ED StimVid Script.docx"	"Stimulus video script"	""	""
"10"	""	1.25	"01.25 M4 ED Stim Vid.mp4"	"Stimulus video"	""	""
""	""		""	""	""	""
"**"	"Task Intro and Student Profiles"	2.0	"Task Intro and Student Profiles"	""	""	""
"**"	""	2.0	"Task Intro Materials"	""	""	""
"11"	""	2.01	"02.01 M4 ED TIntro PPS.pptx"	"Task intro PowerPoint"	"Yes"	""
"12"	""	2.02	"02.02 M4 ED TIntro Aud.pptx"	"Task intro PowerPoint with embedded audio"	""	" "
"13"	""	2.03	"02.03 M4 ED TIntro Vid.mp4"	"Task intro video"	"Yes"	"0.65416666666666667"
""	""		""	""	""	""
"**"	""	2.1	"First Student Profile"	""	""	""
"14"	""	2.11	"02.11 M4 ED StPr MinWil PPS.pptx"	"Student profile A  Mina Will PowerPoint"	"Yes"	""
"15"	""	2.12	"02.12 M4 ED StPr MinWil Aud.pptx"	"Student profile A  Mina Will PowerPoint with embedded audio"	""	" "
"16"	""	2.13	"02.13 M4 ED StPr MinWil Vid.mp4"	"Student profile A  Mina Will video"	"Yes"	"0.6645833333333333"
""	""		""	""	""	""
"**"	""	2.2	"Second Student Profile"	""	""	""
"17"	""	2.21	"02.21 M4 ED StPr JayEmCar PPS.pptx"	"Student profile B Jayla Emily Carlos PowerPoint"	"Yes"	""
"18"	""	2.22	"02.22 M4 ED StPr JayEmCar Aud.pptx"	"Student profile B Jayla Emily Carlos PowerPoint with embedded audio"	""	" "
"19"	""	2.23	"02.23 M4 ED StPr JayEmCar Vid.mp4"	"Student profile B Jayla Emily Carlos video"	"Yes"	"31:50"
""	""		""	""	""	""
"**"	""	2.4	"Sim Spec docs (AAG, Trnr Gd, Trnee Gd)"	""	""	""
"20"	""	2.41	"02.41 M4 ED Task AAG.docx"	"Task-at-a-glance"	"Yes"	""
"21"	""	2.42	"02.42 M4 ED StPr AAG.docx"	"Student profiles-at-a-glance"	"Yes"	""
"22"	""	2.43	"02.43 M4 ED L1 TIntro Trnee Gd.docx"	"Lesson 1: Task intro trainee guide"	""	""
"23"	""	2.43	"02.43 M4 ED L1 TIntro Trnee Gd.pdf"	"Lesson 1: Task intro trainee guide - PDF "	"Yes"	""
"24"	""	2.44	"02.44 M4 ED L2 StPr Rev Trnee Gd.docx"	"Lesson 2: Student profiles trainee guide"	""	""
"25"	""	2.44	"02.44 M4 ED L2 StPr Rev Trnee Gd.pdf"	"Lesson 2: Student profiles trainee guide - PDF "	"Yes"	""
"26"	""	2.45	"02.45 M4 ED L3 StPr Ckout Trnee Gd.docx"	"Lesson 3: Student profiles checkout trainee guide"	""	""
"27"	""	2.45	"02.45 M4 ED L3 StPr Ckout Trnee Gd.pdf"	"Lesson 3: Student profiles checkout trainee guide - PDF "	"Yes"	""
"28"	""	2.46	"02.46 M4 ED L4 Reh Trnee Gd.docx"	"Lesson 4: Rehearsal trainee guide"	""	""
"29"	""	2.46	"02.46 M4 ED L4 Reh Trnee Gd.pdf"	"Lesson 4: Rehearsal trainee guide - PDF "	"Yes"	""
"30"	""	2.47	"02.47 M4 ED L5 Fin Ckout Trnee Gd.docx"	"Lesson 5: Final checkout trainee guide"	""	""
"31"	""	2.47	"02.47 M4 ED L5 Fin Ckout Trnee Gd.pdf"	"Lesson 5: Final checkout trainee guide - PDF "	"Yes"	""
"32"	""	2.48	"02.48 M4 ED L6 Brush Up Trnee Gd.docx"	"Lesson 6: Brush up trainee guide"	""	""
"33"	""	2.48	"02.48 M4 ED L6 Brush Up Trnee Gd.pdf"	"Lesson 6: Brush up trainee guide - PDF "	"Yes"	""
""	""		""	""	""	""
"**"	""	2.6	"Sim Spec Checkout Info"	""	""	""
"34"	""	2.61	"02.61 M4 ED StPr Ckout Qs.docx"	"Student profile checkout questions (Lesson 3)"	"Yes"	""
"35"	""	2.62	"02.62 M4 ED Fin Ckout Tool.docx"	"Checkout scoring tool to evaluate final checkout (Lesson 5) response"	""	""
""	""		""	""	""	""
"**"	"Teacher Profiles"	3.0	"Teacher Profiles"	""	""	""
"36"	""	3.01	"03.01 M4 ED TPr 1.docx"	"Teacher profile 1 "	"Yes"	""
"37"	""	3.02	"03.02 M4 ED TPr 2.docx"	"Teacher profile 2"	"Yes"	""
"38"	""	3.03	"03.03 M4 ED TPr 3.docx"	"Teacher profile 3"	"Yes"	""
"39"	""	3.04	"03.04 M4 ED TPr 4.docx"	"Teacher profile 4"	"Yes"	""
"40"	""	3.05	"03.05 M4 ED TPr 5.docx"	"Teacher profile 5"	"Yes"	""
"41"	""	3.06	"03.06 M4 ED TPr 6.docx"	"Teacher profile 6"	"Yes"	""
""	""		""	""	""	""
""	""		"Note: There are math content files for this task. They are listed in the CM Master Files workbook and the M4 Training Files workbook"	""	""	""
""	""		""	""	""	""
