Filename	Title	Source
"Trachtenberg_FR_19460613"	"Lettre de Arnal à Saint-Hardouin, Entrevue avec M. Adenauer, 13 Juin 1946 "	"n/a"
"Trachtenberg_FR_19461115"	"Lettre de Charmasse à Bidault, 15 Novembre 1946"	"n/a"
"Trachtenberg_FR_19461206"	"Note d'orientation relative au traité de paix à imposer à l'Allemagne, 6 Décembre 1946"	"n/a"
"Trachtenberg_FR_19470102"	"Instructions au General Koenig (parts), Le Ministre des Affaires Etrangères, 2 Janvier 1947"	"n/a"
"Trachtenberg_FR_19470103"	"Télégramme de Leon Blum à Ambafrance, Moscou, et  Ambafrance, Washington, 13 Janvier 1947"	"n/a"
"Trachtenberg_FR_19470318"	"Télégramme de Bidault, Moscou, à Paris, Entretien avec Staline, 18 Mars 1947"	"n/a"
"Trachtenberg_FR_19470325"	"Lettre de Arnal à Saint-Hardouin, Visite du Dr. Adenauer, 25 Mars 1947"	"n/a"
"Trachtenberg_FR_19470809"	"Lettre de Paul Leroy-Beaulieu au GFCC, Consequence d'un echec eventuel de la Conference de Londres sur le plan financier et sur l'organisation anglo-americaine en Allemagne, 9 Août 1947"	"n/a"
"Trachtenberg_FR_19471017"	"Memorandum of Conversation: Sir William Strang; Mr. Hickerson, Agenda and Tactics for the Council of Foreign Ministers, October 17, 1979"	"n/a"
"Trachtenberg_FR_19471021"	"Lettre de Oliver Harley à René Massigli, October 21, 1947"	"n/a"
"Trachtenberg_FR_19471029"	"Conversation avec le Général De Gaulle, Massigli, 29 Octobre 1947"	"n/a"
"Trachtenberg_FR_19471031"	"Lettre de François Coulet à Massigli, 31 Octobre 1947"	"n/a"
"Trachtenberg_FR_19471114"	"Télégramme de F. Seydoux à Paris, 14 Novembre 1947"	"n/a"
"Trachtenberg_FR_19471122"	"Note, Fusion des zones, Massigli, 22 Novembre 1947"	"n/a"
"Trachtenberg_FR_19471217"	"Conversations anglo-françaises, 17 Décembre, 1947"	"n/a"
"Trachtenberg_FR_19471217-18"	"Memorandum of Conversation: Mr. Bevin and Mr. Marshall, Future Policy Towards Germany, on December 17th and December 18th, 1947"	"n/a"
"Trachtenberg_FR_19480109"	"Télégramme de Massigli, Ambafrance Londres, à Paris, Entretien avec M. Bevin, 9 Janvier 1948"	"n/a"
"Trachtenberg_FR_19480112_1"	"Lettre de Chauvel à Bonnet, Procès-verbaux d'entretiens avec Harvey et Caffery, 12 Janvier 1948"	"n/a"
"Trachtenberg_FR_19480112_2"	"Note: Convocation de l'Ambassadeur des Etats-Unis d'Amérique, 12 Janvier 1948"	"n/a"
"Trachtenberg_FR_19480112_3"	"Note: Visite de l'Ambassadeur du Royaume-Uni Sir Oliver Harvey, 12 Janvier 1948"	"n/a"
"Trachtenberg_FR_19480113"	"Lettre de Massigli (parts), 13 Janvier 1948"	"n/a"
"Trachtenberg_FR_19480120"	"Lettre de Saint-Hardouin à Bidault, Considérations sur une politique française à l'égard de l'Allemagne, 20 Janvier 1948"	"n/a"
"Trachtenberg_FR_19480130"	"Télégramme de Massigli à Paris, 30 Janvier 1948"	"n/a"
"Trachtenberg_FR_19480217_1"	"Télégramme de Bonnet, Washington, à Paris (organisation politique future de l'Allemagne), 17 Février 1948"	"n/a"
"Trachtenberg_FR_19480217_2"	"Télégramme de DeJean, Prague, à Paris (Conférence de Prague), 17 Février 1948"	"n/a"
"Trachtenberg_FR_19480303-12"	"Négociation de Bruxelles, Massigli, 3 au 12 Mars 1948"	"n/a"
"Trachtenberg_FR_19480312"	"Télégramme de DeJean, Prague, Les évenements de Prague et la situation internationale, 12 Mars 1948"	"n/a"
"Trachtenberg_FR_19480317"	"Lettre de Chauvel à Bonnet, 17 Mars 1948"	"n/a"
"Trachtenberg_FR_19480414"	"Lettre de Bonnet au Secrétaire d'Etat américain, 14 Avril 1948"	"n/a"
"Trachtenberg_FR_19480415"	"Lettre de Chauvel à Bonnet, 15 Avril 1948"	"n/a"
