Source	Country	Title	Objective	FullCitation
"Allen et al., 2011"	"USA"	"Council-Based Approaches to Reforming the Health Care Response to Domestic Violence: Promising Findings and Cautionary Tales"	"To compare providers and health care settings at two points in time to explore the degree to which the Health Care Council achieved proximal outcomes in the health care response to DVA"	"Allen, N. E., Larsen, S. E., Javdani, S., & Lehrner, A. L. (2012). Council-Based Approaches to Reforming the Health Care Response to Domestic Violence: Promising Findings and Cautionary Tales. American Journal of Community Psychology, 50(1–2), 50–63. https://doi.org/10.1007/s10464-011-9471-9"
"Al-Natour et al., 2016"	"Jordan"	"Nurses' roles in screening for intimate partner violence: A phenomenological study"	"To describe Jordanian nurses’ roles and practices in screening for DVA."	"Al-Natour, A., Qandil, A., & Gillespie, G. L. (2016). Nurses’ roles in screening for intimate partner violence: A phenomenological study. International Nursing Review, 63(3), 422–428. https://doi.org/10.1111/inr.12302"
"Baig et al., 2012"	"Columbia"	"Provider barriers and facilitators to screening for intimate partner violence in Bogota, Colombia"	"To describe the barriers that Colombian health care personnel reported in identifying survivors of DVA and their proposed solutions to improve detection of DVA in the health care setting."	"Baig, A. A., Ryan, G. W., & Rodriguez, M. A. (2012). Provider Barriers and Facilitators to Screening for Intimate Partner Violence in Bogotá, Colombia. Health Care for Women International, 33(3), 250–261. https://doi.org/10.1080/07399332.2011.646368"
"Beynon et al., 2012"	"Canada"	"Why physicians and nurses ask (or don't) about partner violence: a qualitative analysis"	"To identify barriers and facilitators to asking about DVA among a large, randomly selected sample of nurses and physicians in specified areas of practice where abused women are likely to present."	"Beynon, C. E., Gutmanis, I. A., Tutty, L. M., Wathen, C. N., & MacMillan, H. L. (2012). Why physicians and nurses ask (or don’t) about partner violence: A qualitative analysis. BMC Public Health, 12(1), 473. https://doi.org/10.1186/1471-2458-12-473"
"Black et al., 2010"	"USA"	"Intimate partner violence and adverse health consequences: implications for clinicians"	"To identify recommended practices of children exposed to domestic violence, as reported by practitioners."	"Black, M. C. (2011). Intimate Partner Violence and Adverse Health Consequences: Implications for Clinicians. American Journal of Lifestyle Medicine, 5(5), 428–439. https://doi.org/10.1177/1559827611410265"
"Chang et al., 2009"	"UK"	"Helping women victims of intimate partner violence: comparing the approaches of two health care settings"	"To explore in more depth the experiences and perspectives of different health professionals regarding what they considered to be necessary to assist them in helping women experiencing DVA."	"Chang, J. C., Buranosky, R., Dado, D., Cluss, P., Hawker, L., Rothe, E., McNeil, M., & Scholle, S. H. (2009). Helping Women Victims of Intimate Partner Violence: Comparing the Approaches of Two Health Care Settings. Violence and Victims, 24(2), 193–203. https://doi.org/10.1891/0886-6708.24.2.193"
"Colarossi et al., 2010"	"USA"	"Barriers to Screening for Intimate Partner Violence: A Mixed-Methods Study of Providers In Family Planning Clinics"	"To expand current knowledge by comparing licensed family planning service providers (advanced practice clinicians and social workers) and unlicensed ones (health care assistants) who work in a setting guided by an institutional policy and procedure for intimate partner violence screening."	"Colarossi, L., Breitbart, V., & Betancourt, G. (2010). Barriers to Screening for Intimate Partner Violence: A Mixed-Methods Study of Providers In Family Planning Clinics. Perspectives on Sexual and Reproductive Health, 42(4), 236–243. https://doi.org/10.1363/4223610"
"Eddy et al., 2008"	"USA"	"Facilitators and barriers for implementing home visit interventions to address intimate partner violence: town and gown partnerships"	"To describe one town and gown partnership established to address the health disparities of women experiencing DVA and the children who are exposed to that violence."	"Eddy, T., Kilburn, E., Chang, C., Bullock, L., & Sharps, P. (2008). Facilitators and Barriers for Implementing Home Visit Interventions to Address Intimate Partner Violence: Town and Gown Partnerships. Nursing Clinics of North America, 43(3), 419–435. https://doi.org/10.1016/j.cnur.2008.04.005"
"Eustace et al, 2016"	"Australia"	"Midwives' experiences of routine enquiry for intimate partner violence in pregnancy"	"To identify midwives’ experiences in relation to screening, ongoing referral and support for women who positively disclose about DVA."	"Eustace, J., Baird, K., Saito, A. S., & Creedy, D. K. (2016). Midwives’ experiences of routine enquiry for intimate partner violence in pregnancy. Women and Birth, 29(6), 503–510. https://doi.org/10.1016/j.wombi.2016.04.010"
"Evanson, 2006"	"USA"	"Intimate partner violence and rural public health nursing practice: Challenges and opportunities"	"To describe the unique challenges and opportunities experienced by rural home-visiting PHNs when working with families where DVA was occurring."	"Evanson, T. A. (2012). Intimate partner violence and rural public health nursing practice: Challenges and opportunities. Online Journal of Rural Nursing and Health Care, 6(1), 7–20."
"Fay-Hillier, 2016"	"USA"	"A qualitative study on intimate partner violence screening practices by registered nurses in the emergency department"	"To explore the experiences, views and perceptions of registered nurses working in emergency departments with regard to screening for DVA."	"Fay-Hillier, T. M. (2016). A Qualitative Study on Intimate Partner Violence Screening Practices by Registered Nurses in the Emergency Department [D.P.H., Drexel University]. http://search.proquest.com/docview/1865594806/abstract/2E6F243EC7424296PQ/1"
"Goff et al., 2003"	"USA"	"Preparedness of health care practitioners to screen women for domestic violence in a border community"	"To investigate the skills, beliefs, and expectations about screening for domestic abuse among physicians, dentists, and nurse practitioners from a border community in southwest Texas."	"Goff, H., Shelton, A. J., Byrd, T., & Parcel, G. (2003). PREPAREDNESS OF HEALTH CARE PRACTITIONERS TO SCREEN WOMEN FOR DOMESTIC VIOLENCE IN A BORDER COMMUNITY. Health Care for Women International, 24(2), 135–148. https://doi.org/10.1080/07399330390178422"
"Goicolea et al., 2015"	"Spain"	"Developing a programme theory to explain how primary health care teams learn to respond to intimate partner violence: a realist case?study"	"To develop a programme theory that seeks to explain how, why and under which circumstances a primary health care team in Spain learned to respond to DVA."	"Goicolea, I., Hurtig, A. K., San Sebastian, M., Vives-Cases, C., & Marchal, B. (2015). Developing a programme theory to explain how primary health care teams learn to respond to intimate partner violence: a realist case-study. BMC health services research, 15(1), 228."
"Haggblom & Moller, 2006"	"Finland"	"On a life-saving mission: nurses' willingness to encounter with intimate partner abuse"	"To explore in depth selected expert nurses’ experiences of the phenomenon of violence against women and the nurses’ roles as health care providers to those women."	"Häggblom, A. M. E., & Möller, A. R. (2006). On a Life-Saving Mission: Nurses’ Willingness to Encounter With Intimate Partner Abuse. Qualitative Health Research, 16(8), 1075–1090. https://doi.org/10.1177/1049732306292086"
"Henderson, 2001"	"Canada"	"Factors influencing nurses' response to abused women: what they say they do and why they say they do it"	"To determine how nurses make sense of the interface between themselves, their working environments, and their nursing actions with abused women."	"Henderson, A. (2001). Factors Influencing Nurses’ Responses to Abused Women: What They Say They Do and Why They Say They Do It. Journal of Interpersonal Violence, 16(12), 1284–1306. https://doi.org/10.1177/088626001016012004"
"Henriksen et al, 2017"	"Norway"	"'It is a difficult topic' - A qualitative study of midwives experiences with routine antenatal enquiry for intimate partner violence"	"To gain an in-depth understanding of midwives’ experiences with routine enquiry for intimate partner violence during the antenatal period."	"Henriksen, L., Garnweidner-Holme, L. M., Thorsteinsen, K. K., & Lukasse, M. (2017). ‘It is a difficult topic’ – a qualitative study of midwives´ experiences with routine antenatal enquiry for intimate partner violence. BMC Pregnancy and Childbirth, 17(1), 165. https://doi.org/10.1186/s12884-017-1352-2"
"Hooker et al., 2015"	"Australia"	"Applying normalization process theory to understand implementation of a family violence screening and care model in maternal and child health nursing practice: a mixed method process evaluation of a randomised controlled trial"	"To present the findings of a mixed methods process evaluation of the MOVE cluster randomised trial."	"Hooker, L., Small, R., Humphreys, C., Hegarty, K., & Taft, A. (2015). Applying normalization process theory to understand implementation of a family violence screening and care model in maternal and child health nursing practice: A mixed method process evaluation of a randomised controlled trial. Implementation Science, 10(1), 39. https://doi.org/10.1186/s13012-015-0230-4"
"Hooker et al., 2012"	"Australia"	"Domestic violence screening in maternal and child health nursing practice: A scoping review"	"To explore the breadth of literature on domestic violence screening by nurses in maternal-child practice"	"Hooker, L., Ward, B., & Verrinder, G. (2012). Domestic violence screening in Maternal & Child Health nursing practice: A scoping review. Contemporary Nurse, 1877–1909. https://doi.org/10.5172/conu.2012.1877"
"Husso et al., 2012"	"Finland"	"Making sense of domestic violence intervention in professional health care"	"To use frame analysis to explore the ways in which the possibilities for intervening in domestic violence are understood in health care."	"Husso, M., Virkki, T., Notko, M., Holma, J., Laitila, A., & Mäntysaari, M. (2012). Making sense of domestic violence intervention in professional health care: Making sense of domestic violence intervention. Health & Social Care in the Community, 20(4), 347–355. https://doi.org/10.1111/j.1365-2524.2011.01034.x"
"Inoue & Armitage, 2006"	"Australia"	"Nurses' understanding of domestic violence"	"To explore how nurses construct their understanding about domestic violence issues and abused women in relation to their nursing practice. "	"Inoue, K., & Armitage, S. (2006). Nurses’ understanding of domestic violence. Contemporary Nurse, 21(2), 311–323. https://doi.org/10.5172/conu.2006.21.2.311"
"Iverson et al., 2013"	"USA"	"Primary care providers' perspectives on screening female veterans for intimate partner violence: A preliminary assessment"	"To assess Veterans Health Administration primary care providers’ perspectives about DVA screening."	"Iverson, K. M., Wells, S. Y., Wiltsey-Stirman, S., Vaughn, R., & Gerber, M. R. (2013). VHA Primary Care Providers’ Perspectives on Screening Female Veterans for Intimate Partner Violence: A Preliminary Assessment. Journal of Family Violence, 28(8), 823–831. https://doi.org/10.1007/s10896-013-9544-7"
