Filename	Description	OriginalURL	Perma.cc
"Trachtenberg_PM_CM_19thCentury_Syllabus"	"Syllabus for Political Science 138a: Nineteenth Century International Politics (2010)"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138a/syllabus138a.doc"	"n/a"
"Trachtenberg_PM_CM_19thCentury_Tapes_20100104"	"Tapes of Lectures for Political Science 138a: Nineteenth Century International Politics. To get a sense for what each lecture covers, consult the syllabus."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138a/lectures/polsci138a-1-20100104-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_19thCentury_Tapes_20100106"	"Tapes of Lectures for Political Science 138a: Nineteenth Century International Politics. To get a sense for what each lecture covers, consult the syllabus."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138a/lectures/polsci138a-1-20100106-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_19thCentury_Tapes_20100108"	"Tapes of Lectures for Political Science 138a: Nineteenth Century International Politics. To get a sense for what each lecture covers, consult the syllabus."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138a/lectures/polsci138a-1-20100108-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_19thCentury_Tapes_20100111"	"Tapes of Lectures for Political Science 138a: Nineteenth Century International Politics. To get a sense for what each lecture covers, consult the syllabus."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138a/lectures/polsci138a-1-20100111-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_19thCentury_Tapes_20100113"	"Tapes of Lectures for Political Science 138a: Nineteenth Century International Politics. To get a sense for what each lecture covers, consult the syllabus."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138a/lectures/polsci138a-1-20100113-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_19thCentury_Tapes_20100115"	"Tapes of Lectures for Political Science 138a: Nineteenth Century International Politics. To get a sense for what each lecture covers, consult the syllabus."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138a/lectures/polsci138a-1-20100115-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_19thCentury_Tapes_20100120"	"Tapes of Lectures for Political Science 138a: Nineteenth Century International Politics. To get a sense for what each lecture covers, consult the syllabus."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138a/lectures/polsci138a-1-20100120-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_19thCentury_Tapes_20100122"	"Tapes of Lectures for Political Science 138a: Nineteenth Century International Politics. To get a sense for what each lecture covers, consult the syllabus."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138a/lectures/polsci138a-1-20100122-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_19thCentury_Tapes_20100125"	"Tapes of Lectures for Political Science 138a: Nineteenth Century International Politics. To get a sense for what each lecture covers, consult the syllabus."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138a/lectures/polsci138a-1-20100125-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_19thCentury_Tapes_20100127"	"Tapes of Lectures for Political Science 138a: Nineteenth Century International Politics. To get a sense for what each lecture covers, consult the syllabus."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138a/lectures/polsci138a-1-20100127-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_19thCentury_Tapes_20100129"	"Tapes of Lectures for Political Science 138a: Nineteenth Century International Politics. To get a sense for what each lecture covers, consult the syllabus."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138a/lectures/polsci138a-1-20100129-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_19thCentury_Tapes_20100203"	"Tapes of Lectures for Political Science 138a: Nineteenth Century International Politics. To get a sense for what each lecture covers, consult the syllabus."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138a/lectures/polsci138a-1-20100203-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_19thCentury_Tapes_20100205"	"Tapes of Lectures for Political Science 138a: Nineteenth Century International Politics. To get a sense for what each lecture covers, consult the syllabus."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138a/lectures/polsci138a-1-20100205-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_19thCentury_Tapes_20100208"	"Tapes of Lectures for Political Science 138a: Nineteenth Century International Politics. To get a sense for what each lecture covers, consult the syllabus."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138a/lectures/polsci138a-1-20100208-a64.mp3"	"n/a"
