ResourceID	Title	originalURL	Perma.ccURL	Elementarystudentssimulation(resourcepositionoutof20)	Middlestudentssimulation(resourcepositionoutof30)	Highschoolstudentssimulation(resourcepositionoutof40)	Highereducationsimulation(resourcepositionoutof40)	Container	Genre	Resourceisinall4simulations	ResourceisintheContainerTask	Openresource?
"JL09"	"BIRDS CONSUMED BY THE INVASIVE BURMESE PYTHON (PYTHON MOLURUS BIVITTATUS) IN EVERGLADES NATIONAL PARK, FLORIDA, USA"	"go.galegroup.com/ps/i.do?p=AONE&sw=w&u=gain40375&v=2.1&id=GALE%7CA251535016&it=r&asid=8d7c8cdb77d8f6167d7d2e396479882c "	"https://perma.cc/R57S-RXGN"		4.0	4.0		"Journal"	"Article"	""	"yes (9-12, 6-8)"	""
"MA04"	"Invasion of the Burmese python: everyone is welcome in America--except these snakes."	"go.galegroup.com/ps/i.do?p=ITKE&sw=w&u=22054_acld&v=2.1&id=GALE%7CA371969058&it=r&asid=b3fb74a71dbd23f135b1b96396217d83 "	"https://perma.cc/CU8T-9K3V"	6.0				"Magazine"	"Article"	""	"yes (4-5)"	""
"BK09"	"Python, Burmese"	"go.galegroup.com/ps/i.do?p=ITKE&sw=w&u=22054_acld&v=2.1&id=GALE%7CCX3627500255&it=r&asid=9b382db389a4c77bfa185e006b587451"	"https://perma.cc/5XMC-TNBE"	7.0				"Book"	"Article"	""	"yes (4-5)"	""
"PP01"	"Building realistic assemblages with a Joint Species Distribution Model"	"http://biorxiv.org/content/early/2014/04/09/003947.full-text.pdf+html "	"https://perma.cc/46V8-5W72"				7.0	"preprint article"	"Article"	""	"yes (adult)"	"yes"
"BL06"	"Contender Profile: Monty the Burmese Python"	"http://blog.wildfloridairboats.com/contender-profile-monty-burmese-python"	"https://perma.cc/8QA9-2TYS"			5.0		"Blog"	"Article"	""	""	"yes"
"BL01"	"APHIS Geneticist Finds New Way to Track Invasive Pythons"	"http://blogs.usda.gov/2014/04/30/aphis-geneticist-finds-new-way-to-track-invasive-pythons/ "	"https://perma.cc/3T8K-45QS"				8.0	"Blog"	"Article"	""	""	"yes"
"BL02"	"Emma Marris: In defense of Everglades Pythons"	"http://dotearth.blogs.nytimes.com/2012/08/17/emma-marris-in-defense-of-everglades-pythons/ "	"https://perma.cc/Z3TN-UCT7"			6.0	9.0	"Blog"	"Article"	""	"yes (adult, 9-12)"	"yes"
"MA10"	"Tracking the Big Snakes Devouring the Everglades"	"http://e360.yale.edu/feature/dorcas_tracking_burmese_pythons_devouring_florida_everglades/2573/"	"https://perma.cc/6H4K-QUMV"		5.0			"News"	"Article"	""	"yes (6-8)"	"?"
"JL01"	"Environmental DNA (eDNA) Sampling Improves Occurrence and Detection Estimates of Invasive Burmese Pythons"	"http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0121655 "	"https://perma.cc/2JDJ-67QR"				10.0	"Journal"	"Article"	""	""	"yes"
"JL02"	"Predators in training: operant conditioning of novel behavior in wild Burmese pythons (Python molurus bivitattus)"	"http://link.springer.com/article/10.1007%2Fs10071-014-0797-1 "	"https://perma.cc/548E-D6CV"				11.0	"Journal"	"Article"	""	"yes (adult)"	""
"BK01"	"Invasive Predators: a synthesis of the past, present, and future."	"http://link.springer.com/chapter/10.1007/978-3-540-46046-6_12  "	"https://perma.cc/6UPF-YRSH"				13.0	"Book"	"Chapter"	""	"yes (adult)"	""
"MA08"	"Pythons Eating Through Everglades Mammals at \"Astonishing\" Rate?"	"http://news.nationalgeographic.com/news/2012/01/120130-florida-burmese-pythons-mammals-everglades-science-nation/"	"https://perma.cc/85Z6-7H7K"	8.0	6.0			"Magazine"	"Article"	""	""	"?"
"BK02"	"Everglades and Agriculture in South Florida"	"http://onlinelibrary.wiley.com/doi/10.1002/9781444315813.ch42/summary  "	"https://perma.cc/98PW-AMEF"				15.0	"Book"	"Chapter"	""	"yes (adult)"	""
"JL03"	"Ecological correlates of invasion impact for Burmese pythons in Florida"	"http://onlinelibrary.wiley.com/doi/10.1111/j.1749-4877.2012.00304.x/abstract "	"https://perma.cc/G7SB-DNLK"			39.0	18.0	"Journal"	"Article"	""	"yes (adult, 9-12)"	""
"BK03"	"Giant Constrictors: Biological and Management Profiles and an Establishment Risk Assessment for Nine Large Species of Pythons, Anacondas, and the Boa Constrictor,"	"http://pubs.usgs.gov/of/2009/1202/ "	"https://perma.cc/42L3-E6E5"				17.0	"Book"	"Report"	""	"yes (adult)"	"yes"
"WE01"	"The Everglades Under Attack. A Burmese Python Invasion"	"http://pythonpatrol.weebly.com/ "	"https://perma.cc/52C5-YMEW"	9.0	7.0	7.0	19.0	"Website"	"image"	"yes"	"yes (6-8, 4-5)"	"yes"
"BL07"	"Florida Pythons Targeting Humans Next?"	"http://robertjrgraham.com/florida-pythons-targeting-humans-next/"	"https://perma.cc/8XY9-5EXD"		8.0	8.0		"Blog"	"Article"	""	"yes (6-8)"	"yes"
"JL04"	"Marsh rabbit mortalities tie pythons to the precipitous decline of mammals in the Everglades"	"http://rspb.royalsocietypublishing.org/content/282/1805/20150120 "	"https://perma.cc/9LQY-E44M"			9.0	20.0	"Journal"	"Article"	""	"yes (adult, 9-12)"	""
"BL03"	"Burmese Python vs. Florida"	"http://savetheanimals18-blog.tumblr.com/post/17468043612"	"https://perma.cc/JK25-WH6C"			10.0	21.0	"Website"	"Image"	""	""	"yes"
