StartDate	EndDate	Progress	Duration(inseconds)	Finished	RecordedDate	ResponseId	DistributionChannel	UserLanguage	Q29	Q26	Q1	Q2	Q3	Q4	Q5	Q55TEXT	Q7	Q75TEXT	Q11	Q113TEXT	Q114TEXT	Q115TEXT	Q9	Q93TEXT	Q15	Q156TEXT	Q17	Q173TEXT	Q174TEXT	Q20	Q21	Q22	Q23	Q24	Q25
"Start Date"	"End Date"	"Progress"	"Duration (in seconds)"	"Finished"	"Recorded Date"	"Response ID"	"Distribution Channel"	"User Language"	"Do you consent to participating in this study?"	"This is the first of two surveys in the study. At the end of this survey, you will be automatically directed to the second survey. To help us anonymously match responses from the two surveys, please answer the following question. Provide the last four numbers of your phone number followed by your middle initial."	"Have you ever been a medical scribe?"	"How long did you scribe?"	"How many shifts per week did you work on average?"	"On average, how many hours a week did you work?"	"How would you describe the geographic area at which you scribed? - Selected Choice"	"How would you describe the geographic area at which you scribed? - Other (please describe) - Text"	"How would you describe the socioeconomic statues of the population you served? - Selected Choice"	"How would you describe the socioeconomic statues of the population you served? - Other (please describe) - Text"	"For what medical department did you primarily scribe? - Selected Choice"	"For what medical department did you primarily scribe? - Specialty Surgery (please specify) - Text"	"For what medical department did you primarily scribe? - Primary Care (please specify) - Text"	"For what medical department did you primarily scribe? - Specialty Medicine (please specify) - Text"	"For which medical scribe company did you work? - Selected Choice"	"For which medical scribe company did you work? - Other (please describe) - Text"	"Please mark or indicate what hospital system you were placed for the majority of your scribe hours (mark all that apply). - Selected Choice"	"Please mark or indicate what hospital system you were placed for the majority of your scribe hours (mark all that apply). - Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma) - Text"	"Did medical scribing help your acceptance to medical school? - Selected Choice"	"Did medical scribing help your acceptance to medical school? - Unsure (please specify) - Text"	"Did medical scribing help your acceptance to medical school? - Other (please specify) - Text"	"Has being a medical scribe had an influence in the classroom during your medical education thus far compared to your peers?"	"How has it been helpful?"	"Has being a medical scribe had an influence with your experience with clinical work thus far compared to your peers?"	"How has it been helpful?"	"Do you feel that medical scribing prepared you for your medical education?"	"Additional comments?"
"43949.517361111109"	"43949.517361111109"	"100"	"25"	"1"	"43949.517361111109"	"R_3mfL6DjzOIpF9zb"	"anonymous"	"EN"	"I consent"	"0116G"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43949.515972222223"	"43949.518055555556"	"100"	"155"	"1"	"43949.518055555556"	"R_NXrg52YpSqcwi6R"	"anonymous"	"EN"	"I consent"	"7329H"	"Yes"	"7-12 months"	"45720"	"0-10"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Mixed"	""	"Specialty Medicine (please specify)"	""	""	"Outpatient psychiatry "	"Other (please describe)"	"No company, I volunteered as a scribe"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Private practice linked with Akron General "	"Yes"	""	""	"A fair amount"	"Helped me learn how to type notes for OCSEs "	"Very helpful"	"Helped me understand how different specialties document patient encounters and what they prioritize in caring for patients "	"Very helpful"	""
"43949.517361111109"	"43949.518055555556"	"100"	"27"	"1"	"43949.518055555556"	"R_2wt68pPbVSwkOPw"	"anonymous"	"EN"	"I consent"	"9940E"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43949.51666666667"	"43949.518055555556"	"100"	"141"	"1"	"43949.518055555556"	"R_3h5csSySmhtRJDd"	"anonymous"	"EN"	"I consent"	"1673p"	"Yes"	"7-12 months"	"5 or more"	"31-40"	"Inner Ring Suburban >10,000 (e.g. Cleveland: Lakewood, Cleveland Heights, Euclid; Columbus: Merion Village, Eastmoor)"	""	"Low"	""	"Emergency"	""	""	""	"Other (please describe)"	"emergency services, inc"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"mount carmel EDs"	"Yes"	""	""	"A fair amount"	"Already knew how to work HPI; was familiar with patterns of certain pathologies like heart attack, stroke, flu, etc"	"N/A, no clinical experience including CCE"	""	"Very helpful"	""
"43949.518055555556"	"43949.518750000003"	"100"	"38"	"1"	"43949.518750000003"	"R_3KU9ze9FxTl3Myr"	"anonymous"	"EN"	"I consent"	"1167m"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43949.518750000003"	"43949.519444444442"	"100"	"28"	"1"	"43949.519444444442"	"R_cHq4CeC5Xj57hSx"	"anonymous"	"EN"	"I consent"	"5641 V"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43949.517361111109"	"43949.520138888889"	"100"	"204"	"1"	"43949.520138888889"	"R_3GcQi4UViZX21iO"	"anonymous"	"EN"	"I consent"	"6223 c"	"Yes"	"7-12 months"	"5 or more"	"31-40"	"Outer Suburb >10,000 (e.g. Cleveland: Shaker Heights, Beachwood, Westlake)"	""	"Mixed"	""	"Emergency"	""	""	""	"Other (please describe)"	"A small private company"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"St Francis Hospital in Shakopee, MN"	"Yes"	""	""	"Very helpful"	"I could understand and write notes very quickly and basic presentations in the ER I knew what labs to order"	"Very helpful"	""	"A fair amount"	""
"43949.518055555556"	"43949.520138888889"	"100"	"205"	"1"	"43949.520138888889"	"R_3GdFjRIEUnhAGtu"	"anonymous"	"EN"	"I consent"	"2715M"	"Yes"	">1 year"	"45720"	"21-30"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Mixed"	""	"Specialty Surgery (please specify)"	"Trauma critical care"	""	""	"Scribe America"	""	"MetroHealth, main campus"	""	"Yes"	""	""	"A fair amount"	"I was already familiar with medical terminology and reading labs, knowing what the labs were for"	"A fair amount"	"I think I am more comfortable with asking questions as I have seen it done so much"	"A little bit"	"It was great for letters of recommendation and exposure to medicine"
"43949.517361111109"	"43949.522222222222"	"100"	"405"	"1"	"43949.522222222222"	"R_OHgCVamNuraB5Gp"	"anonymous"	"EN"	"I consent"	"5872"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
