QDRFilename	Provenance	Enterspublicdomainafteryear:
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1947.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1948.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1949.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1950.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1951.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1952.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1953.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1954.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1955.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1956.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1957.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1958.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1959.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1960.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1961.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1962.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1963.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1964.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1965.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1966.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1967.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1968.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1969.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1970.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1971.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1972.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1973.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1974.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1975.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1976.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1977.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1978.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1979.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1980.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1981.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1982.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1983.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1984.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1985.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1986.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1987.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1988.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1989.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1990.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1991.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1992.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1993.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1994.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1995.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1996.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1997.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1998.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_1999.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_2000.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_2001.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_2002.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-1_2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-2.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-1-3.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-2-1.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-2-2.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-3-1.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-3-10.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-3-11.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-3-12.xlsx"	"Banco Central"	""
