Article Code	Author Citation	Publisher	Research Title	Year	Journal	Issue, Volume	URL
"E01"	"Ali and Alhassan (2021)"	"Taylor and Francis Ltd."	"Fighting contract cheating and ghostwriting in Higher Education: Moving towards a multidimensional approach"	2021	"Cogent Education"	"8(1)"	"https://doi.org/10.1080/2331186X.2021.1885837"
"E02"	"Abbasi et al. (2021)"	"SAGE Publications Ltd"	"Causes of the plagiarism: A grounded theory study"	2021	"Nursing ethics"	"28(2)"	"https://doi.org/10.1177/0969733020945753"
"E03"	"Amponsah et al. (2021)"	"Cogent OA"	"Attitude toward cheating among Ghanaian undergraduate students: A parallel mediational analysis of personality, religiosity and mastery"	2021	"Cogent Psychology"	"8(1)"	"https://doi.org/10.1080/23311908.2021.1998976"
"E04"	"Amzalag et al. (2021)"	"Springer Science and Business Media B.V."	"Two sides of the coin: Lack of academic integrity in exams during the coronavirus pandemic, students' and lecturers' perceptions"	2022	"Journal of Academic Ethics"	""	"https://doi.org/10.1007/s10805-021-09413-5"
"E05"	"Awdry and Ives (2022)"	"Springer Science and Business Media B.V."	"International predictors of contract cheating in higher education"	2022	"Journal of Academic Ethics"	"21(1)"	"https://doi.org/10.1007/s10805-022-09449-1"
"E06"	"Chala (2021)"	"BioMed Central Ltd"	"Perceived seriousness of academic cheating behaviors among undergraduate students: An Ethiopian experience"	2021	"International Journal for Educational Integrity"	"17(2)"	"https://doi.org/10.1007/s40979-020-00069-z"
"E07"	"Chen (2022)"	"North American Business Press"	"The concepts of academic dishonesty of undergraduate students in China in the situation of online education"	2022	"Journal of Higher Education Theory and Practice"	"22(6)"	"https://doi.org/10.33423/jhetp.v22i6.5227"
"E08"	"Clarke et al. (2022)"	"Springer Science and Business Media B.V."	"Assessing knowledge of and attitudes toward plagiarism and the ability to recognize plagiaristic writing among university students in Rwanda"	2022	"Higher Education"	"85"	"https://doi.org/10.1007/s10734-022-00830-y"
"E09"	"Cuadrado et al. (2019)"	"MDPI"	"Prevalence and correlates of academic dishonesty: Towards a sustainable university"	2019	"Sustainability"	"11 (21)"	"https://doi.org/10.3390/su11216062"
"E10"	"Darmansyah and Darman (2022)"	"Gate Association for Teaching and Education"	"Plagiarism level analysis of online take-home examination results and its correlation with Doctoral program students' learning outcome"	2022	"International Journal of Instruction"	"15(2)"	"https://doi.org/10.29333/iji.2022.15214a"
"E11"	"Erguvan (2021)"	"Springer"	"The rise of contract cheating during the COVID-19 pandemic: A qualitative study through the eyes of academics in Kuwait"	2021	"Language Testing in Asia"	"11 (1)"	"https://doi.org/10.1186/s40468-021-00149-y"
"E12"	"Farahat (2022)"	"BioMed Central Ltd"	"Elements of academic integrity in a cross-cultural middle eastern educational system: Saudi Arabia, Egypt, and Jordan case study"	2022	"International Journal for Educational Integrity"	"18(1)"	"https://doi.org/10.1007/s40979-021-00095-5"
"E13"	"Fatima et al. (2018)"	"Adam Marszalek Publishing House"	"Chinese students’ perception on plagiarism: A case of Anhui, China"	2018	"The New Educational Review"	"53"	"https://doi.org/10.15804/tner.2018.53.3.08"
"E14"	"Guerrero-Dib (2020)"	"BioMed Central Ltd"	"Impact of academic integrity on workplace ethical behaviour"	2020	"International Journal for Educational Integrity"	"16(2)"	"https://doi.org/10.1007/s40979-020-0051-3"
"E15"	"Ghazali and Aziz (2021)"	"Society for Research and Knowledge Management"	"Resetting Integrity Through Communication on Plagiarism: University classrooms weaving values into the social fabric"	2021	"International Journal of Learning, Teaching and Educational Research"	"20(12)"	"https://doi.org/10.26803/ijlter.20.12.13"
"E16"	"Goff et al. (2020)"	"Sciedu Press"	"Maintaining academic standards and integrity in online business courses"	2020	"International Journal of Higher Education"	"9(2)"	"https://doi.org/10.5430/ijhe.v9n2p248"
"E17"	"Habiburrahim et al. (2021)"	"Peace and Conflict Studies"	"Scrutinizing cheating behavior among EFL students at islamic higher education institutions in Indonesia"	2021	"Qualitative Report"	"26(3)"	"https://doi.org/10.46743/2160-3715/2021.4683"
"E18"	"Holden et al. (2021)"	"Frontiers Media S.A."	"Academic integrity in online assessment: A Research Review"	2021	"Frontiers in Education"	"6"	"https://doi.org/10.3389/feduc.2021.639814"
"E19"	"Hossain (2022)"	"BioMed Central Ltd"	"University freshmen recollect their academic integrity literacy experience during their K-12 years: Results of an empirical study"	2022	"International Journal for Educational Integrity"	"18 (4)"	"https://doi.org/10.1007/s40979-021-00096-4"
"E20"	"Jenkins et al. (2022)"	"SAGE Publications Inc."	"When opportunity knocks: college students’ cheating amid the covid-19 pandemic."	2022	"Teaching of Psychology"	"50(4)"	"https://doi.org/10.1177/00986283211059067"
"E21"	"Johnson et al. (2022)"	"BioMed Central Ltd"	"Using digital forensics in higher education to detect academic misconduct"	2022	"International Journal of Educational Integrity"	"18(12)"	"https://doi.org/10.1007/s40979-022-00104-1"
"E22"	"Kahya et al. (2019)"	"Eurasian Society of Educational Research"	"A mixed research on cheating and absenteeism behaviors of teacher certificate program students"	2019	"European Journal of Educational Research"	"8(1)"	"https://doi.org/10.12973/eu-jer.8.1.267"
"E23"	"Khan (2022)"	"BioMed Central Ltd"	"The devil’s in the detail – counting unique and organic contract cheating sites targeting higher education students in the UAE as a call to delegitimize them"	2022	"International Journal for Educational Integrity"	"18(1)"	"https://doi.org/10.1007/s40979-022-00114-z"
"E24"	"Kiekkas et al. (2020)"	"Churchill Livingstone"	"Reasons for academic dishonesty during examinations among nursing students: Cross-sectional survey"	2020	"Nurse Education Today"	"86"	"https://doi.org/10.1016/j.nedt.2019.104314"
"E25"	"Kier and Ives (2022)"	"BioMed Central Ltd"	"Recommendations for a balanced approach to supporting academic integrity: Perspectives from a survey of students, faculty, and tutors"	2022	"International Journal for Educational Integrity"	"18(1)"	"https://doi.org/10.1007/s40979-022-00116-x"
"E26"	"Landa-Blanco et al. (2020)"	"Higher Education Policy Network"	"Academic integrity: Attitudes and practices of students of a public university in Honduras"	2020	"Academia"	"(20-21)"	"https://doi.org/10.26220/aca.3447"
"E27"	"Maimunah et al. (2018)"	"Scientia Socialis"	"Cutting the prevalence of plagiarism in the digital era: Student teachers' perceptions on plagiarism in Indonesian Higher Education"	2018	"Problems of Education in the 21st Century"	"76(5)"	"http://dx.doi.org/10.33225/pec/18.76.663"
"E28"	"Mâță et al. (2020)"	"Scientia Socialis Ltd"	"Exploring academic dishonesty practices among science education university students"	2020	"Journal of Baltic Science Education"	"19(1)"	"https://doi.org/10.33225/jbse/20.19.91"
"E29"	"Mattar (2022)"	"Springer Science and Business Media B.V."	"Combating academic corruption and enhancing academic integrity through international accreditation standards: The model of Qatar university"	2022	"Journal of Academic Ethics"	"20(2)"	"https://doi.org/10.1007/s10805-021-09392-7"
"E30"	"Mbutho and Hutchings (2021)"	"University of Pretoria"	"The complex concept of plagiarism: Undergraduate and postgraduate student perspectives"	2021	"Perspectives in Education"	"39(2)"	"https://doi.org/10.18820/2519593X/pie.v39.i2.6"
