Comment	FirstCode	SecondCode	ThirdCode	FourthCode	CodedValues	Count
"accountability"	"accountability"	"trust"	"accountability"	"accountability"	"Validity"	12.0
"Responsible stewardship; accountability"	"accountability"	"trust"	"accountability"	"accountability"	"Justice"	7.0
"Institutional (university and library) values and goals that describe our library's values, in the context of ALA values among others."	"Parent entity "	"parent entity"	"alignment"	"alignment"	"Alignment"	7.0
"Our university's values statement."	"parent entity "	"parent entity"	"alignment"	"alignment"	"Beneficence"	6.0
"We are required at our institution to go through the IRB process for most assessments that we do so we adhere to those standards and practices needed for IRN approval."	"parent entity "	"parent entity"	"alignment"	"alignment"	"Human-centered"	6.0
"The mission, vision, and values of the library and institution."	"parent entity "	"parent entity"	"alignment"	"alignment"	"Collaboration"	4.0
"Personal value of confidentiality/privacy (I was previously unaware of the ALA core values) and my personal belief that my and my colleagues' productivity should not be tracked by our employer"	"personal values"	"personal values"	"alignment"	"alignment"	"Transparency"	3.0
"I typically refer to the ethical codes of the American Sociological Association or American Anthropological association when considering research studies."	"other orgs"	"Related Organizations"	"alignment"	"alignment"	"Communication and Outreach"	2.0
"While I don't look at the ALA Core Values document or think of assessment in these terms, I do believe that they are inherent in my assessment work and larger library practices after more than 20 years in the field."	"-"	""	"alignment"	"alignment"	"None"	2.0
"Care (which might fit into the social responsibility category)"	"care"	"care"	"beneficence"	"beneficence"	"Accountability"	2.0
"We want to make assessment minimally burdensome and invasive - no pre-test/post-test - and leave it open-ended, so that students can give the information that they consider the most important."	"harm-reduction"	"harm-reduction"	"beneficence"	"beneficence"	"Imagining Otherwise"	1.0
"Harm reduction, as in not asking for personal information beyond what's crucial for the analysis. Gender is an example that can cause people stress to disclose, as is sexuality. If it's not central to how results will be analyzed, don't ask. "	"harm-reduction"	"harm-reduction"	"beneficence"	"beneficence"	"Positionality"	1.0
"bias awareness and reduction"	"harm-reduction"	"harm-reduction"	"beneficence"	"beneficence"	""	
"An overall belief in the importance of education and desire to always make things better for students"	"user-centeredness"	"user-centeredness"	"beneficence"	"beneficence"	""	
"I am white and think a LOT about assessment being responsible toward students at my institution, an HBCU with mostly non-traditional students"	"justice"	"justice"	"beneficence"	"beneficence"	""	
"Ensuring the people represented by assessments have the ability to influence data gathering and reporting"	"power-attunement"	"justice"	"collaboration"	"collaboration"	""	
"I try to be as inclusive as possible in my assessment practice. I also try to treat participants in assessment as equal partners in the process as much as possible."	"inclusion"	"justice"	"collaboration"	"collaboration"	""	
"The needs of the community."	"community-based"	"community-based"	"collaboration"	"collaboration"	""	
"collaboration"	"collaboration"	"community-based"	"collaboration"	"collaboration"	""	
"communication"	"communication"	"trust"	"communication"	"communication and outreach"	""	
"Open access"	"open"	"trust"	"communication"	"communication and outreach"	""	
"Usability"	"Usability"	"user-centeredness"	"human-centered"	"human-centered"	""	
"User-centered mindset"	"user-centered"	"user-centeredness"	"human-centered"	"human-centered"	""	
"usability"	"user-centeredness"	"user-centeredness"	"human-centered"	"human-centered"	""	
"Respect for users' time and dignity"	"user-centeredness"	"user-centeredness"	"human-centered"	"human-centered"	""	
"accessibility"	"accessibility"	"justice"	"human-centered"	"human-centered"	""	
"accessibility"	"accessibility"	"justice"	"human-centered"	"human-centered"	""	
"Considering the levels of risk that individuals engaged in assessment and sharing information are experiencing. I have a lot of power in my position; the people I am asking to share their observations do not necessarily have that kind of power."	"power-attunement"	"justice"	"justice"	"justice"	""	
"Other ways of knowing (for example indigenous and native way of knowing)"	"diversity"	"justice"	"justice"	"imagining otherwise"	""	
"equity"	"equity"	"justice"	"justice"	"justice"	""	
"Equality"	"equity"	"justice"	"justice"	"justice"	""	
"inclusivity.  that all our patrons feel the library is welcoming and for them."	"inclusion"	"justice"	"justice"	"justice"	""	
"Inclusion"	"relevance"	"justice"	"justice"	"justice"	""	
"Equity, although I think it fits in some values above. Avoiding snap moral judgments, both while crafting questions and while interpreting responses."	"equity"	"justice"	"justice"	"justice"	""	
"humility"	"humility"	"trust"	"justice"	"justice"	""	
"N/A"	"none"	"none"	"none"	"none"	""	
"Hos[p]itality"	"service"	"service"	"none"	"none"	""	
"Positionality of the person doing the assessment: the person as a part of the institution is not neutral."	"justice"	"justice"	"positionality"	"positionality"	""	
"Right to information"	"rights"	"rights"	"transparency"	"transparency"	""	
"Transparency"	"transparency"	"trust"	"transparency"	"transparency"	""	
