Filename(s)	Permanent link	Original URL	Author	Title	Year	Publication	Date	Date scraped
"MyrickWeinstein_fpp_Russia_ Edisultanova Page 85"	"NA"	""	"Murphy, Paul J."	"Allah's Angels: Chechen Women in War"	2010	""	"11/15/2010"	"9/9/2021"
"MyrickWeinstein_fpp_Iran_Sabet"	"https://perma.cc/KE8Q-F5RF"	"http://bahaicause.blogspot.com/2011/10/raha-sabet-freed-after-4-years.html"	"SAYY�H, A. J."	"Raha Sabet freed after 4 years"	2011	"The Bahai Cause"	"10/31/2011"	"9/8/2021"
"MyrickWeinstein_fpp_China_Shuhua"	"https://perma.cc/A2P9-YBWW"	"http://en.minghui.org/html/articles/2018/8/17/171548p.html"	""	"Additional Persecution News from China"	2018	""	"8/6/2018"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Ka'bi"	"https://perma.cc/P4NZ-G54V"	"http://euahwazi.blogspot.com/2012/01/ahwazi-mother-of-five-re-uinte-with-her.html"	""	"Ahwazi Mother of Five Reunites with Her Family following years of Suffering, Prison and Torture."	2012	"European Ahwazi Human Rights Organisation"	"1/28/2012"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Ghadiri"	"https://perma.cc/VWV6-EBE2"	"http://iranhr.net/en/articles/496/"	""	"REVISED: Five people were executed in Tehran today- Execution of Safar Angooti postponed"	2009	"Iran Human Right"	"10/21/2009"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Houshmandi"	"https://perma.cc/BQS5-24SP"	"http://iranpresswatch.org/post/2491/haleh-letter/"	"Houshmandi, Haleh"	"A Letter from Haleh Houshmandi"	2009	"Iran Press Watch"	"4/28/2009"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Etemadi; MyrickWeinstein_fpp_Iran_Tabesh"	"https://perma.cc/3GLG-PMBA"	"http://www.asafeworldforwomen.org/campaigns/rights-defenders/1188-iran-suspended-prison-sentences-for-womens-rights-activists.html?tmpl=component&type=raw"	""	"Mehrnoosh Etemadi and Hayedeh Tabesh"	2011	"A Safe World For Women"	"2011-09"	"9/8/2021"
"MyrickWeinstein_fpp_China_Dongfei"	"https://perma.cc/63KL-FDZN"	"http://www.dearmother.info/yan_dongfei/what-s-new---qiao-yongfang-yan-dongfei/inaugust2010mrsyandongfeiwasreleased"	""	"In August 2010, Mrs. Yan Dongfei was released. - Help Rescue Our Mothers"	2010	"Help Rescue Our Mothers"	"9/8/2010"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Mahmoudi"	"https://perma.cc/8XUY-JQNM"	"http://www.handsoffcain.info/archivio_news/201706.php?iddocumento=30310417&mover=0"	""	"IRAN: ORUMIYEH�S FEMALE DEATH-ROW PRISONERS IN HORRIBLE CONDITIONS"	2017	"Hands off Cain"	"6/18/2017"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Abdi"	"https://perma.cc/NPY6-EVQU"	"http://www.iranhumanrights.org/2009/03/hana-abdi/"	""	"Hana Abdi"	2009	"Center for Human Rights in Iran"	"3/25/2009"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Hedayat2"	"https://perma.cc/4JCA-QWLH"	"http://www.iranhumanrights.org/2015/08/bahareh-hedayat-3/"	""	"Prominent Women�s Rights Activist Held Illegally after Completion of Sentence"	2015	"Center for Human Rights in Iran"	"8/28/2015"	"9/8/2021"
"MyrickWeinstein_fpp_Russia_Savchenko2"	"https://perma.cc/X5PJ-CU3B"	"http://www.newyorker.com/news/news-desk/nadiya-savchenko-gives-russia-the-finger"	"Gessen, Masha"	"Nadiya Savchenko Gives Russia the Finger"	2016	"The New Yorker"	"3/10/2016"	"9/9/2021"
"MyrickWeinstein_fpp_Iran_Rahnavard"	"https://perma.cc/EK96-H9TF"	"http://www.payvand.com/news/18/may/1035.html"	""	"Iranian Opposition Leader Under House Arrest Declines \"Limited\" Lifting of Restrictions"	2018	"Payvand"	"5/9/2018"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Babaei"	"https://perma.cc/YAT4-3R56"	"http://www.theguardian.com/world/2010/jul/08/iran-death-stoning-adultery"	"Dehghan, Saeed Kamali; Black, Ian"	"Iranians still facing death by stoning despite 'reprieve'"	2010	"the Guardian"	"7/8/2010"	"9/8/2021"
"MyrickWeinstein_fpp_Ethiopia_Mideksa2"	"https://perma.cc/VPY8-YUQG"	"http://www.theguardian.com/world/2010/oct/06/ethiopia-frees-opposition-leader-birtukan-mideksa"	"Rice, Xan"	"Ethiopia frees opposition leader Birtukan Mideksa"	2010	"the Guardian"	"10/6/2010"	"9/8/2021"
"MyrickWeinstein_fpp_Azerbaijan_Yunus"	"https://perma.cc/JK46-PZAA"	"http://www.theguardian.com/world/2015/dec/10/azerbaijan-leyla-yunus-release"	""	"Azerbaijan releases human rights activist Leyla Yunus"	2015	"the Guardian"	"12/10/2015"	"9/8/2021"
"MyrickWeinstein_f20news_theguardian_2015-09-28"	"https://perma.cc/C59P-G72W"	"http://www.theguardian.com/world/2015/sep/28/china-hillary-clinton-womens-rights-united-nations"	"Ryan, Fergus"	"China hits back at Hillary Clinton in women's rights row"	2015	"the Guardian"	"9/28/2015"	"9/8/2021"
"MyrickWeinstein_fpp_Azerbaijan_Ismayilova"	"https://perma.cc/CNL3-MVM6"	"http://www.theguardian.com/world/2016/may/25/investigative-journalist-khadija-ismayilova-freed-azerbaijan-radio-free-europe"	"Walker, Shaun"	"Investigative journalist Khadija Ismayilova freed in Azerbaijan"	2016	"the Guardian"	"5/25/2016"	"9/8/2021"
"MyrickWeinstein_fpp_Russia_Savchenko"	"https://perma.cc/Z4SC-4TJ6"	"http://www.theguardian.com/world/2016/may/25/ukrainian-pilot-nadiya-savchenko-released-by-russia-in-prisoner-swap-deal"	"Luhn, Alec"	"Ukrainian pilot Nadiya Savchenko released by Russia in prisoner swap"	2016	"the Guardian"	"5/25/2016"	"9/8/2021"
"MyrickWeinstein_fpp_Myanmar_HninHnin"	"https://perma.cc/UE5J-T7SK"	"https://burmacampaign.org.uk/at-least-126-political-prisoners-released/"	"Sot, Mae"	"At least 126 political prisoners released"	2009	"Burma Campaign UK"	"9/19/2009"	"9/9/2021"
"MyrickWeinstein_fpp_China_Yu_Wang"	"https://perma.cc/WRB9-KP5D"	"https://chinachange.org/2018/05/09/how-lawyer-wang-yu-was-made-to-denounce-the-american-bar-associations-human-rights-award-in-2016/"	""	"How Lawyer Wang Yu Was Made to Denounce the American Bar Association�s Human Rights Award in 2016"	2018	"China Change"	"5/10/2018"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Afroutan"	"https://perma.cc/TAL5-3VU4"	"https://cpj.org/2006/06/two-journalists-freed-on-bail/"	""	"Two journalists freed on bail"	2006	"Committee to Protect Journalists"	"6/15/2006"	"9/8/2021"
"MyrickWeinstein_fpp_Syria_al-Mallohi"	"https://perma.cc/9D3B-UWV2"	"https://cpj.org/data/people/tal-al-mallohi/"	""	"Tal al-Mallohi"		"Committee to Protect Journalists"	""	"9/9/2021"
"MyrickWeinstein_fpp_Iran_Ghadiri2"	"https://perma.cc/67HT-S3GN"	"https://deathpenaltynews.blogspot.com/2009/10/iran-five-hanged-in-tehrans-evin-prison.html"	""	"Iran: Five hanged in Tehran's Evin prison"	2009	"Death Penalty News"	"10/21/2009"	"9/8/2021"
"MyrickWeinstein_fpp_China_Huanjun"	"https://perma.cc/5ZKH-LSSJ"	"https://en.boxun.com/2015/02/07/new-citizens-movement-member-ms-li-huanjun-evades-surveillance-and-successfully-arrives-in-the-united-states/"	""	"Activist Li Huanjun evades surveillance and arrives in the United States | Boxun News"	2015	"Boxun News"	"2/7/2015"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Rahnavard2"	"https://perma.cc/DEF2-LTLC"	"https://en.trend.az/iran/politics/2899012.html"	""	"Iranian MP: Opposition figure�s 8-year house arrest lifted"	2018	"Trend.Az"	"5/6/2018"	"9/8/2021"
