Fecha	Título	Link	Perma.cc	E	F	G	H
36535.0	"A la baja, el porcentaje de votación del PRI en 6 años"	"http://archivo.eluniversal.com.mx/nacion/12301.html"	"https://perma.cc/Z4XD-YVE8"				
36542.0	"Ejército e Instituto Federal Electoral, instituciones en las que más confianza hay"	"http://archivo.eluniversal.com.mx/nacion/13008.html"	"https://perma.cc/NGM5-GMAK"				
36545.0	"Indiferencia de candidatos por derechos humanos: Pro"	"http://archivo.eluniversal.com.mx/nacion/13146.html"	"https://perma.cc/2KB5-XK3Y"				
36547.0	"Insiste Fox en una alianza de facto entre la oposición"	"http://archivo.eluniversal.com.mx/nacion/13223.html"	"https://perma.cc/3X94-8JS6"				
36549.0	"Serán varios los criterios para reformar la Ley de Amparo"	"http://archivo.eluniversal.com.mx/nacion/13302.html"	"https://perma.cc/9N3J-TMU2"				
36551.0	"Que el Ejército deje de apoyar al PRI, pide PRD"	"http://archivo.eluniversal.com.mx/nacion/13586.html"	"https://perma.cc/WK75-MHUJ"				
36552.0	"Violencia y caos si gana el tricolor, advierte Fox"	"http://archivo.eluniversal.com.mx/nacion/13617.html"	"https://perma.cc/A3S6-623K"				
36555.0	"PRD: altos mandos inducen voto militar"	"http://archivo.eluniversal.com.mx/nacion/13792.html"	"https://perma.cc/Q943-59GQ"				
36556.0	"Cambian las reglas para elegir jueces"	"http://archivo.eluniversal.com.mx/nacion/13831.html"	"https://perma.cc/N7UA-8WF5"				
36558.0	"Se apoyará Fox Quesada en ONG"	"http://archivo.eluniversal.com.mx/nacion/13875.html"	"https://perma.cc/HDZ5-LUM9"				
36568.0	"Fox: ganaré con 20 millones de votos"	"http://archivo.eluniversal.com.mx/nacion/14851.html"	"https://perma.cc/PA5J-QZHJ"				
36569.0	"Erigirán monumento a víctimas de Aguas Blancas"	"http://archivo.eluniversal.com.mx/nacion/14928.html"	"https://perma.cc/X9Y2-THQH"				
36577.0	"Se aproxima Fox a Labastida"	"http://archivo.eluniversal.com.mx/nacion/15451.html"	"https://perma.cc/VU5T-AE7F"				
36578.0	"Busca Fox acuerdo con oposición"	"http://archivo.eluniversal.com.mx/nacion/15481.html"	"https://perma.cc/K265-9DH3"				
36604.0	"CASO COLOSIO SEIS AÑOS DESPUÉS Se incumplen promesas de justicia"	"http://archivo.eluniversal.com.mx/nacion/17909.html"	"https://perma.cc/FE3T-PX8F"				
36607.0	"Se reformarán 3 puntos básicos de la Ley de Amparo"	"http://archivo.eluniversal.com.mx/nacion/18133.html"	"https://perma.cc/R84L-LA76"				
36619.0	"Anuncia Fox cambios en su estrategia de campaña"	"http://archivo.eluniversal.com.mx/nacion/19151.html"	"https://perma.cc/7RMR-8LA4"				
36621.0	"El papel de Amigos de Fox"	"http://archivo.eluniversal.com.mx/nacion/19255.html"	"https://perma.cc/JR62-U7N3"				
36627.0	"Ineludible, alianza tras las elecciones"	"http://archivo.eluniversal.com.mx/nacion/19698.html"	"https://perma.cc/W6AG-Z9Y6"				
36627.0	"SUCESIÓN 2000 LA LOGÍSTICA AMIGOS DE FOX Estrategia de multiniveles tipo ventas"	"http://archivo.eluniversal.com.mx/nacion/19731.html"	"https://perma.cc/P9J7-JLJ6"				
36634.0	"GUERRILLA HUELLAS DACTILARES Insurrección en los 70 Mayor dimensión e intensidad"	"http://archivo.eluniversal.com.mx/nacion/20272.html"	"https://perma.cc/Z4YR-BYY8"				
36635.0	"Cuestiona oposición a fuerza antiguerrilla"	"http://archivo.eluniversal.com.mx/nacion/20307.html"	"https://perma.cc/QM74-RHUL"				
36648.0	"Mantiene FLO mínima ventaja sobre Fox"	"http://archivo.eluniversal.com.mx/nacion/21359.html"	"https://perma.cc/8AVG-RXYU"				
36649.0	"La guerrilla, aún rural, señalan"	"http://archivo.eluniversal.com.mx/nacion/21384.html"	"https://perma.cc/4UED-MCX2"				
36663.0	"Militares, sin candidato"	"http://archivo.eluniversal.com.mx/nacion/22305.html"	"https://perma.cc/LGT2-YSMR"				
36664.0	"Propone Fox dos gabinetes"	"http://archivo.eluniversal.com.mx/nacion/22356.html"	"https://perma.cc/5X6H-C326"				
36664.0	"Camacho, por respetar los derechos humanos"	"http://archivo.eluniversal.com.mx/nacion/22357.html"	"https://perma.cc/774Z-XVR4"				
36667.0	"Ibarra: sin prestigio, Ejército y presidente"	"http://archivo.eluniversal.com.mx/nacion/22684.html"	"https://perma.cc/8HKZ-4MHR"				
36673.0	"Descalifica Rosario Ibarra a Vicente Fox"	"http://archivo.eluniversal.com.mx/nacion/23301.html"	"https://perma.cc/L9NT-L9T3"				
36676.0	"Se suman al panista ex líderes de izquierda"	"http://archivo.eluniversal.com.mx/nacion/23393.html"	"https://perma.cc/HW3P-4F9N"				
36679.0	"La transición democrática mexicana"	"http://archivo.eluniversal.com.mx/nacion/23664."	"https://perma.cc/6NB5-E4HA"				
36680.0	"Queja contra México ante la OEA"	"http://archivo.eluniversal.com.mx/nacion/23796.html"	"https://perma.cc/3YS7-4DHX"				
36681.0	"Insta Fox a no dividir el sufragio opositor y evitar el posible fraude"	"http://archivo.eluniversal.com.mx/nacion/23814.html"	"https://perma.cc/ULA7-TBGN"				
36688.0	"Marchan 900 estudiantes en memoria del 71"	"http://archivo.eluniversal.com.mx/nacion/24351.html"	"https://perma.cc/ZRC8-6MCU"				
36704.0	"2 DE JULIO LAS PLATAFORMAS A prueba, las propuestas"	"http://archivo.eluniversal.com.mx/nacion/25037.html"	"https://perma.cc/UAM9-BCS5"				
36709.0	"Incierto futuro del Ejército, ante elecciones"	"http://archivo.eluniversal.com.mx/nacion/25873.html"	"https://perma.cc/5KUR-NP48"				
36710.0	"Mayoría en Senado, no absoluta"	"http://archivo.eluniversal.com.mx/nacion/26031.html"	"https://perma.cc/9NNF-G3YB"				
36711.0	"Crecerá lista de relevos en SDN con Fox"	"http://archivo.eluniversal.com.mx/nacion/26074.html"	"https://perma.cc/5JRD-MDKK"				
36712.0	"Será el Ejército leal al virtual presidente: Álvaro Vallarta"	"http://archivo.eluniversal.com.mx/nacion/26125.html"	"https://perma.cc/A6L6-D3BK"				
36714.0	"Anuncian juicio sumario a Zedillo; buscan expulsarlo"	"http://archivo.eluniversal.com.mx/nacion/26205.html"	"https://perma.cc/EN3X-4M9M"				
36714.0	"Mayoría simple al PRI en la Cámara"	"http://archivo.eluniversal.com.mx/nacion/26213.html"	"https://perma.cc/HS49-KNMR"				
36719.0	"No esperaba Ejército un cambio de régimen"	"http://archivo.eluniversal.com.mx/nacion/27053.html"	"https://perma.cc/UE9V-45FR"				
36725.0	"Presenta gabinete de transición"	"http://archivo.eluniversal.com.mx/nacion/27319.html"	"https://perma.cc/F6GV-B3QQ"				
36531.0	"Negocian pacto Fox y Cárdenas"	"http://archivo.eluniversal.com.mx/primera/1219.html"	"https://perma.cc/6F6A-KBJH"				
36532.0	"Ofrece limpiar Fox manchas del Ejército"	"http://archivo.eluniversal.com.mx/primera/1226.html"	"https://perma.cc/D2XM-8SYC"				
