Fecha	Título	Link	Perma.cc	E
36763.0	"Apoyará Fox a ONG; ofrece puertas abiertas y diálogo"	"http://archivo.eluniversal.com.mx/nacion/29998.html"	"https://perma.cc/EL2P-WY5A"	
36763.0	"Sérpico, 18 años de impunidad"	"http://archivo.eluniversal.com.mx/nacion/30007.html"	"https://perma.cc/MM87-4ELX"	
36763.0	"EL VIAJE HACIA LA EXPATRIACIÓN Detienen a Ricardo Cavallo; demanda Garzón retenerlo"	"http://archivo.eluniversal.com.mx/nacion/30010.html"	"https://perma.cc/J6QY-KBAG"	
36765.0	"Reviven en Argentina rechazo a la amnistía"	"http://archivo.eluniversal.com.mx/nacion/30085.html"	"https://perma.cc/G4GJ-CQMX"	
36766.0	"Listo, el proyecto de nueva Ley de Amparo"	"http://archivo.eluniversal.com.mx/nacion/30108.html"	"https://perma.cc/GPY2-55JN"	
36771.0	"Juicio por represores, pide familia de víctimas"	"http://archivo.eluniversal.com.mx/nacion/30385.html"	"https://perma.cc/YVV2-UWMH"	
36774.0	"Solicitan amparo para Cavallo"	"http://archivo.eluniversal.com.mx/nacion/30476.html"	"https://perma.cc/L832-MGDM"	
36775.0	"Sólo Argentina tendría que juzgar a Cavallo: De la Rúa"	"http://archivo.eluniversal.com.mx/nacion/30508.html"	"https://perma.cc/NAH2-GLTH"	
36776.0	"Juzgar a Cavallo en Argentina, pide fiscal"	"http://archivo.eluniversal.com.mx/nacion/30557.html"	"https://perma.cc/R3ET-7WN7"	
36777.0	"Le imputan a Cavallo en España 228 delitos"	"http://archivo.eluniversal.com.mx/nacion/30700.html"	"https://perma.cc/KP23-V9BT"	
36779.0	"Comisión de la Verdad sobre desaparecidos, pide CEDHG"	"http://archivo.eluniversal.com.mx/nacion/31109.html"	"https://perma.cc/3E2G-BY69"	
36779.0	"Ibarra: el gobierno mexicano, represor en los años 70 y 80"	"http://archivo.eluniversal.com.mx/nacion/31117.html"	"https://perma.cc/LN3T-G648"	
36782.0	"Incólume, la moral de las Fuerzas Armadas"	"http://archivo.eluniversal.com.mx/nacion/31189.html"	"https://perma.cc/F2H4-A8NM"	
