Variable / Field Name	Form Name	Section Header	Field Type	Field Label	Choices, Calculations, OR Slider Labels	Field Note	Text Validation Type OR Show Slider Number	Text Validation Min	Text Validation Max	Identifier?	Branching Logic (Show field only if...)	Required Field?	Custom Alignment	Question Number (surveys only)	Matrix Group Name	Matrix Ranking?	Field Annotation
"record_id"	"email"	""	"text"	"Record ID"	""	""	""			""	""	""	""		""		""
"email_address"	"email"	""	"text"	"E-mail Address"	""	""	"email"			""	""	""	""		""		""
"birthdate"	"bacpac_baseline_demographics"	""	"text"	"Date of birth"	""	""	"date_mdy"			""	""	""	""		""		""
"age"	"bacpac_baseline_demographics"	""	"text"	"Age"	""	""	"number"	18	100	""	""	""	""		""		""
"birthsex"	"bacpac_baseline_demographics"	""	"dropdown"	"Sex at birth"	"1, Male | 2, Female | 3, Unknown | 4, Intersex"	""	""			""	""	""	""		""		""
"gender"	"bacpac_baseline_demographics"	""	"dropdown"	"Gender Identity"	"1, Male | 2, Female | 3, Unknown | 4, Other"	""	"autocomplete"			""	""	""	""		""		""
"gender_other"	"bacpac_baseline_demographics"	""	"text"	"Specify"	""	""	""			""	"[gender] = '4'"	""	""		""		""
"ethnicity"	"bacpac_baseline_demographics"	""	"dropdown"	"What is your ethnicity?"	"1, Hispanic or Latino | 2, Not Hispanic or Latino | 3, Unknown | 4, Decline to Answer"	""	""			""	""	""	""		""		""
"race"	"bacpac_baseline_demographics"	""	"checkbox"	"What is your race? Choose all that apply."	"1, American Indian or Alaska Native | 2, Asian | 3, Black or African American | 4, Native American or Pacific Islander | 5, White | 6, Unknown | 7, Decline to Answer"	""	""			""	""	""	""		""		""
"education"	"bacpac_baseline_demographics"	""	"dropdown"	"What is the highest level of education you have completed?"	"1, Did not complete Secondary School or Less than High School | 2, Some Secondary School or High School Education | 3, High School or Secondary School Degree Complete | 4, Associate's or Technical Degree Complete | 5, College or Baccalaureate Degree Complete | 6, Doctoral or Postgraduate Education"	""	""			""	""	""	""		""		""
"employment"	"bacpac_baseline_demographics"	""	"dropdown"	"What is your current employment status?"	"1, Full-time employment | 2, Not employed | 3, Part-time Employment"	""	""			""	""	""	""		""		""
"relationship"	"bacpac_baseline_demographics"	""	"dropdown"	"What category best describes your current relationship status?"	"1, Divorced | 2, Married | 3, Never married | 4, Separated | 5, Widowed | 6, Domestic Partner"	""	""			""	""	""	""		""		""
"household"	"bacpac_baseline_demographics"	""	"text"	"Including yourself, how many people live in your household? "	""	""	"number"	1		""	""	""	""		""		""
"children"	"bacpac_baseline_demographics"	""	"yesno"	"Do you have children?"	""	""	""			""	""	""	""		""		""
"nomonthspain"	"bacpac_baseline_demographics"	""	"text"	"How long have you had the type of pain for which you are enrolled in this study? (Please list the number of months) "	""	""	"number"	1		""	""	""	""		""		""
"severity"	"bacpac_baseline_demographics"	""	"dropdown"	"Is your low back pain more severe than pain in other parts of your body?"	"1, yes | 0, no | 2, not sure"	""	""			""	""	""	""		""		""
"operation"	"bacpac_baseline_demographics"	""	"dropdown"	"Have you ever had a low-back operation?"	"1, Yes, one operation | 2, Yes, more than one operation | 0, No"	""	""			""	""	""	""		""		""
"lstoperation"	"bacpac_baseline_demographics"	""	"dropdown"	"When was your last back operation? "	"1, Less than 6 months | 2, More than 6 months but less than 1 year ago | 3, Between 1 and 2 years ago | 4, More than 2 years ago"	""	""			""	"[operation] = '1' or [operation] = '2'"	""	""		""		""
"spinalfusion"	"bacpac_baseline_demographics"	""	"dropdown"	"Did any of your back operations involve a spinal fusion? (also called an arthrodesis?)"	"1, yes | 0, no | 2, not sure"	""	""			""	"[operation] = '2' or [operation] = '1'"	""	""		""		""
"offwork"	"bacpac_baseline_demographics"	""	"dropdown"	"Have you been off work or unemployed for 1 month or more due to low-back pain? "	"1, yes | 0, no | 2, does not apply"	""	""			""	""	""	""		""		""
"workcompclaim"	"bacpac_baseline_demographics"	""	"dropdown"	"Have you filed or been awarded a worker's compensation claim related to your back problem?"	"1, yes | 0, no | 2, does not apply"	""	""			""	""	""	""		""		""
"lawsuit"	"bacpac_baseline_demographics"	""	"dropdown"	"Are you involved in a lawsuit or legal claim related to your back problem? "	"1, yes | 0, no | 2, not sure"	""	""			""	""	""	""		""		""
"disabilityins"	"bacpac_baseline_demographics"	""	"dropdown"	"Have you ever applied for, or received, disability insurance for your pain condition?"	"1, yes | 0, no"	""	""			""	""	""	""		""		""
"height"	"bacpac_baseline_demographics"	""	"text"	"What is your height in inches? \n\nIN THE BOX, ONLY TYPE IN THE NUMBER ex. if\nyou are 67 in., type in \"67\")"	""	""	"number"			""	""	""	""		""		""
"weight"	"bacpac_baseline_demographics"	""	"text"	"What is your weight in pounds?"	""	""	"number"			""	""	""	""		""		""
"income"	"bacpac_baseline_demographics"	""	"dropdown"	"What is your annual household income from all sources?"	"1, Less than $10,000 | 2, $10,000--- $24,999 | 3, $25,000--- $34,999 | 4, $35,000--- $49,999 | 5, $50,000--- $74,999 | 6, $75,000---$99,999 | 7, $100,000--- $149,999 | 8, $150,000--- $199,999 | 9, $200,000 or more | 10, Prefer not to answer"	""	""			""	""	""	""		""		""
"durpain"	"pain_duration_and_frequency"	""	"dropdown"	"How long has low-back pain been an ongoing problem for you?"	"1, <3 months | 2, 3-6 months | 3, 6 months-1 year | 4, 1 to 5 years | 5, More than 5 years"	""	""			""	""	""	""		""		""
"freqpain"	"pain_duration_and_frequency"	""	"dropdown"	"How often has low-back pain been an ongoing problem for you over the past 6 months? "	"1, Every day or nearly every day in the past 6 months | 2, At least half the days in the past 6 months | 3, Less than half the days in the past 6 months"	""	""			""	""	""	""		""		""
"painspread_thigh"	"pain_location"	""	"dropdown"	"Has back pain spread to your buttock or thigh during the past 2 weeks?"	"1, Yes | 0, No | 2, Not sure"	""	""			""	""	""	""		""		""
"painspread_knee"	"pain_location"	""	"dropdown"	"Has back pain spread below your knee during the past 2 weeks?"	"1, Yes | 0, No | 2, Not sure"	""	""			""	""	""	""		""		""
"head"	"widespread_pain"	"Do you have chronic pain in the following areas? "	"checkbox"	"Head or face"	"1, yes | 0, no"	""	""			""	""	""	""		"wdspdpain"		""
"rtarm"	"widespread_pain"	""	"checkbox"	"Right hand, arm, or shoulder"	"1, yes | 0, no"	""	""			""	""	""	""		"wdspdpain"		""
"ltarm"	"widespread_pain"	""	"checkbox"	"Left hand, arm, or shoulder"	"1, yes | 0, no"	""	""			""	""	""	""		"wdspdpain"		""
