Headline	Publication/Websitename	Author	Date	OriginalURL	Perma.ccURL	Notes
"Why Do So Many People Hate Hillary?  Meet Your Press"	"Crooks and Liars"	"Karoli Kuns"	42586.0	"http://crooksandliars.com/2016/08/why-does-everyone-hate-hillary-meet-your"	"https://perma.cc/H9KX-S79H"	""
"Ben Carson Ties Hillary Clinton to Lucifer as GOP Swaps Campaign for Witch Trial"	"The Daily Beast"	"Gideon Resnick"	42553.0	"http://www.thedailybeast.com/articles/2016/07/20/ben-carson-ties-hillary-clinton-to-lucifer-as-gop-swaps-campaign-for-witch-trial.html"	"https://perma.cc/E95Y-UDY4"	""
"Spare me the phony outrage over Clinton's 'basket of deplorables' remark"	"The Washington Post"	"Greg Sargent"	42623.0	"https://www.washingtonpost.com/blogs/plum-line/wp/2016/09/10/spare-me-the-phony-outrage-over-clintons-basket-of-deplorables-remark/?utm_term=.b4fbae15da01"	"https://perma.cc/QXY3-FNNG"	""
"From Links to Lucifer to Calls for Execution, Republicans Seethe at Hillary Clinton"	"The New York Times"	"Alan Rappeport"	42571.0	"https://www.nytimes.com/2016/07/21/us/politics/hillary-clinton-rnc-attacks.html?_r=0"	"https://perma.cc/9GT6-JQUR "	""
"Hillary Clinton email witch hunt getting surreal: Column"	"USA Today"	"James Carville"	42257.0	"http://www.usatoday.com/story/opinion/2015/09/09/hillary-clinton-email-scandal-surreal-column/71933616/"	"https://perma.cc/3X9C-X2QC"	""
"How is Hillary Clinton still alive?"	"The Washington Post"	"Alexandra Petri"	42625.0	"https://www.washingtonpost.com/blogs/compost/wp/2016/09/12/how-is-hillary-clinton-still-alive/?utm_term=.9ff968fd1f95"	"https://perma.cc/H45G-BD2P"	""
"Nasty women have much work to do"	"The Washington Post"	"Alexandra Petri"	42663.0	"https://www.washingtonpost.com/blogs/compost/wp/2016/10/20/nasty-women-have-much-work-to-do/?utm_term=.dbb43c121c84"	"https://perma.cc/JUC2-35YM"	""
"Republican attacks on Hillary Clinton are more like a witch trial than politics"	"The Guardian"	"Angelina Chapin"	42571.0	"https://www.theguardian.com/commentisfree/2016/jul/20/republican-attacks-hillary-clinton-witch-trial-politics"	"https://perma.cc/C6YK-XYML "	""
"Republicans' Benghazi Witch Hunt Burns GOP Instead"	"The Daily Beast"	"Shane Harris"	42549.0	"http://www.thedailybeast.com/articles/2016/06/28/republican-report-on-benghazi-fails-to-prove-that-clinton-was-to-blame.html"	"https://perma.cc/KFN5-V7JZ"	""
"There's No Scandal, Only a Partisan Witch Hunt"	"US News"	"David Brock"	42384.0	"https://www.usnews.com/debate-club/is-benghazi-a-legitimate-scandal/theres-no-scandal-only-a-partisan-witch-hunt"	"https://perma.cc/X2ML-D47H"	""
"Trump Calls Clinton a \"Monster,\" Suggests She Is \"Brainwashed"	"The Slatest"	"Daniel Politi"	42588.0	"http://www.slate.com/blogs/the_slatest/2016/08/06/trump_calls_clinton_a_monster_suggests_she_is_brainwashed.html"	"https://perma.cc/3MJR-T3CJ "	""
"Trump Falls Flat on His Face While Trying to Attack Hillary Clinton's Mental Health"	"PoliticusUSA"	"Jason Easley"	42588.0	"http://www.politicususa.com/2016/08/06/trump-falls-flat-face-attack-hillary-clintons-mental-health.html"	"https://perma.cc/YWX3-UJNE"	""
"Clinton's health is Obama's birth certificate all over again: A barely disguised way for conservatives to wallow in bigotry."	"Salon"	"Amanda Marcotte"	42626.0	"http://www.salon.com/2016/09/13/clintons-health-is-obamas-birth-certificate-all-over-again-a-barely-disguised-way-for-conservatives-to-wallow-in-bigotry/"	"https://perma.cc/T6FT-N5QJ"	""
"Did Donald Trump Just Call for Someone to Shoot Hillary Clinton?"	"Mother Jones"	"Max J. Rosenthal"	42591.0	"http://www.motherjones.com/politics/2016/08/did-trump-just-suggest-someone-shoot-hillary-clinton"	"https://perma.cc/FRR8-ZWTG"	"Original Headline: \"Did Donald Trump Just Call For Someone to Shoot Hillary Clinton?"
"Donald Trump Hints at Hillary Clinton Assassination"	"Rolling Stone"	"Jon Blistein"	42591.0	"http://www.rollingstone.com/politics/news/donald-trump-hints-at-hillary-clinton-assassination-w433591"	"https://perma.cc/Y43P-T5Q3"	""
"The Moment You Realize Trump Finally Crossed the Line"	"Esquire"	"Charles P. Pierce"	42591.0	"http://www.esquire.com/news-politics/politics/news/a47492/trump-hillary-assassination/"	"https://perma.cc/8YCL-RDEU"	""
"Explicit Calls for Violence Against Hillary on the Rise (Updated)"	"BNR (Blue Nation Review)"	"Peter Daou"	42586.0	"http://bluenationreview.com/explicit-calls-for-violence-against-hillary-on-the-rise/"	"https://perma.cc/3N3Z-ZEC3"	""
"From Inside RNC, White Nationalist Radio Broadcasts Call for Execution of Clinton"	"Huffington Post (US)"	"Bruce Wilson"	42573.0	"http://www.huffingtonpost.com/bruce-wilson/from-inside-rnc-white-nat_b_11090910.html"	"https://perma.cc/Y6C2-PNZQ"	""
"There Will be Blood"	"New Republic"	"Jared Yates Sexton"	42557.0	"https://newrepublic.com/article/134892/will-blood"	"https://perma.cc/9FJU-J6LG"	""
"There's a Name for Trump's Violent Incitement Against Hillary: Stochastic Terrorism"	"BNR (Blue Nation Review)"	"Melissa McEwan"	42591.0	"http://bluenationreview.com/trumps-violent-incitement-against-hillary-stochastic-terrorism/"	"https://perma.cc/6F4F-BJUS"	""
"Third Republican Official Calls for Execution of Hillary Clinton"	"The Intellectualist"	"The Intellectualist"	42573.0	"https://theintellectualist.co/third-republican-official-calls-execution-hillary-clinton/"	"https://perma.cc/N5KC-N2Q8"	""
"A Trump Advisor's Call for Clinton to Be 'Shot' and the Limits of Political Speech"	"Fortune"	"Jeff John Roberts"	42571.0	"http://fortune.com/2016/07/20/clinton-execution/"	"https://perma.cc/3ML3-8QVZ"	""
"Trump's Assassination Dog Whistle was Even Scarier Than You Think"	"Rolling Stone"	"David S. Cohen"	42591.0	"http://www.rollingstone.com/politics/features/trumps-assassination-dog-whistle-was-scarier-than-you-think-w433615"	"https://perma.cc/X6L5-LM9V"	""
"Trump Vets Adviser: Clinton \"Should Be Put In The Firing Line And Shot For Treason"	"Buzzfeed"	"Andrew Kaczynski"	42571.0	"https://www.buzzfeed.com/andrewkaczynski/trump-vets-adviser-clinton-should-be-put-in-the-firing-line?utm_term=.oyogwYqbw#.bq12RAoxR"	"https://perma.cc/F4XS-A8XB"	""
"Trump Wonders if Gun Owners Could Stop Hillary Clinton"	"The Atlantic"	"David A. Graham"	42591.0	"https://www.theatlantic.com/politics/archive/2016/08/not-what-the-second-amendment-is-for/495191/"	"https://perma.cc/HQZ4-RYQL"	""
