ConstID	CopyrightNoticeEN	CopyrightNoticeAR	TranslatorEN	TranslatorAR	F	G	H	I	J	K
"Algeria_2016"	"© Oxford University Press, Inc."	""	"Translated by Max Planck Institute, with updates by International IDEA"	""						
"Argentina_1994"	"© Oxford University Press, Inc."	""	"Translated by Jonathan M. Miller and Fang-Lian Liao"	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
"Australia_1985"	""	""	""	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
"Austria_2013"	""	""	""	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
"Belgium_2014"	""	""	""	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
"Benin_1990"	"© Oxford University Press, Inc."	""	"Translated by Jessie L. Matthews"	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
"Bolivia_2009"	"© Oxford University Press, Inc."	""	"Translated by Max Planck Institute"	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
"Brazil_2017"	"© Keith S. Rosenn"	""	"Translated by Keith S. Rosenn"	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
"Burkina_Faso_2012"	"English Translation © 2012 by William S. Hein & Co., Inc.  All rights reserved."	""	"Translated by Jefri J. Ruchti"	""						
"Canada_2011"	""	"القانون الدستوري لعام 1982 مقدم من معهد كاتو؛  تحديث مشروع الدساتير المقارنة"	""	"القانون الدستوري لعام 1867 ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ قام بالتحديث مشروع الدساتير المقارنة"						
"Cape_Verde_1992"	"© Oxford University Press, Inc."	""	"Translated by Sarah Campbell and Marcia W. Coward"	""						
"Central_African_Republic_2010"	"English Translation © 2012 by William S. Hein & Co., Inc.  All rights reserved."	""	"Translated by Jefri J. Ruchti"	""						
"Chad_2005"	"English Translation © 2012 by William S. Hein & Co., Inc.  All rights reserved."	""	"Translated by Jefri J. Ruchti"	""						
"Colombia_2015"	"© Oxford University Press, Inc."	""	"Translated by Max Planck Institute, with updates by the Comparative Constitutions Project"	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
"Comoros_2009"	"© Oxford University Press, Inc."	""	"Translated by Max Planck Institute"	""						
"Democratic_Republic_of_the_Congo_2011"	"English Translation © 2012 by William S. Hein & Co., Inc.  All rights reserved."	""	"Translated by Jefri J. Ruchti"	""						
"Congo_2001"	"English Translation © 2012 by William S. Hein & Co., Inc.  All rights reserved."	""	"Translated by Maria del Carmen Gress"	""						
"Costa_Rica_2011"	"English Translation © 2012 by William S. Hein & Co., Inc.  All rights reserved."	""	"Translated by Maria del Carmen Gress"	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
"Cuba_2002"	"© Oxford University Press, Inc."	""	"Translated by Pam Falk, Milagros M. Gavilan and Anna I. Vellve Torras"	""						
"Denmark_1953"	""	""	""	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
"Djibouti_2010"	"English Translation © 2012 by William S. Hein & Co., Inc.  All rights reserved."	""	"Translated by Jefri J. Ruchti"	""						
"Dominican_Republic_2010"	"English Translation © 2012 by William S. Hein & Co., Inc.  All rights reserved."	""	"Translated by Luis Francisco Valle Velasco"	""						
"East_Timor_2002"	"© Oxford University Press, Inc."	""	"Translated by Gisbert H. Flanz"	""						
"Ecuador_2015"	""	""	""	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
"Egypt_2012"	""	""	"Translated by International IDEA"	""						
"Egypt_2014"	""	""	"Translated by International IDEA"	""						
"El_Salvador_2014"	"© Oxford University Press, Inc."	""	"Translated by Marcia W. Coward, Milagros M. Gavilan and Reka Koerner, with updates by the Comparative Constitutions Project"	""						
"German_Federal_Republic_2014"	""	""	""	"الترجمة إلى العربية: قسم الترجمة بالبوندستاغ الألماني؛ قام بالتحديث مشروع الدساتير المقارنة"						
"Ghana_1996"	""	""	""	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
"Guatemala_1993"	"English Translation © 2012 by William S. Hein & Co., Inc.  All rights reserved."	""	"Translated by Luis Francisco Valle Velasco"	""						
"Guinea_2010"	"English Translation © 2012 by William S. Hein & Co., Inc.  All rights reserved."	""	"Translated by Maria del Carmen Gress"	""						
"Haiti_2012"	"English Translation © 2012 by William S. Hein & Co., Inc.  All rights reserved."	""	"Translated by Maria del Carmen Gress and Jefri J. Ruchti"	""						
"Honduras_2013"	""	""	""	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
"India_2016"	""	""	""	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
"Indonesia_2002"	""	""	""	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
"Iran_1989"	""	""	""	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
"Japan_1946"	""	"النص مقدم من معهد كاتو؛ قام بالتحديث مشروع الدساتير المقارنة"	""	""						
"Kenya_2010"	""	""	""	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
"Republic_of_Korea_1987"	""	""	""	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
"Kyrgyz_Republic_2010"	"© Oxford University Press, Inc."	""	"Translated by Max Planck Institute"	""						
"Lebanon_2004"	"© Oxford University Press, Inc."	""	"Translated by Fouad Fahmy Shafik (constitution) and Abed Awad (Law No. 462)"	""						
"Libya_2011"	"© Oxford University Press, Inc."	""	""	""						
"Luxembourg_2009"	"English Translation © 2012 by William S. Hein & Co., Inc.  All rights reserved."	""	"Translated by Jefri J. Ruchti"	""						
"Madagascar_2010"	"English Translation © 2012 by William S. Hein & Co., Inc.  All rights reserved."	""	"Translated by Maria del Carmen Gress"	""						
"Mali_1992"	"© Oxford University Press, Inc."	""	"Translated by Daniel G. Anna"	""						
"Mauritania_2012"	"English Translation © 2012 by William S. Hein & Co., Inc.  All rights reserved."	""	"Translated by Maria del Carmen Gress"	""						
"Morocco_2011"	"English Translation © 2012 by William S. Hein & Co., Inc.  All rights reserved."	""	"Translated by Jefri J. Ruchti"	""						
"Mozambique_2007"	"English Translation of amended Article 304 © 2012 by William S. Hein & Co., Inc.  All rights reserved."	""	"Amendment translated by Jefri J. Ruchti"	""						
