FrequencyofCodeGroupsforeachBasin	B	C	D	E	F	G	H	I
	""	"Challenges"	"Feasability"	"Technology"	"Data"	"Management"	"Hydrology"	"Emotion"
	"Arkansas"	"0.1333"	"0.2"	"6.6699999999999995E-2"	"6.6699999999999995E-2"	"0.26669999999999999"	"0.2"	"6.6699999999999995E-2"
	"Colorado River"	"3.0499999999999999E-2"	"0.22900000000000001"	"0.22900000000000001"	"0.17560000000000001"	"0.22900000000000001"	"2.29E-2"	"8.4000000000000005E-2"
	"Gunnison"	"3.1899999999999998E-2"	"0.23400000000000001"	"0.1915"	"0.11700000000000001"	"0.23400000000000001"	"0.17019999999999999"	"2.1299999999999999E-2"
	"North Platte"	"0.16669999999999999"	"8.3299999999999999E-2"	"0.25"	"8.3299999999999999E-2"	"0.16669999999999999"	"0.16669999999999999"	"8.3299999999999999E-2"
	"Republican"	"0.10340000000000001"	"6.9000000000000006E-2"	"0.13789999999999999"	"0.1724"	"0.3448"	"0.13789999999999999"	"3.4500000000000003E-2"
	"Rio Grande"	"3.0300000000000001E-2"	"0.1174"	"0.23860000000000001"	"9.4700000000000006E-2"	"0.14019999999999999"	"0.30680000000000002"	"7.1999999999999995E-2"
	"San Juan-Dolores-San Miguel"	"6.7900000000000002E-2"	"0.1358"	"7.17E-2"	"0.18870000000000001"	"0.23019999999999999"	"0.18870000000000001"	"0.11700000000000001"
	"South Platte"	"9.74E-2"	"0.19850000000000001"	"0.13969999999999999"	"0.15629999999999999"	"0.2114"	"7.7200000000000005E-2"	"0.1195"
	"Yampa-White-Green"	"0.04"	"0.16"	"0.08"	"0.12"	"0.28000000000000003"	"0.28000000000000003"	"0.04"
