Code	REIName	InGoertz&Powers2014?
"rei040"	"African Economic Community (AEC)"	"NO"
"rei060"	"Arab Maghreb Union (UMA)"	"YES"
"rei080"	"Communauté économique et monétaire d'Afrique centrale (CEMAC)"	"YES"
"rei120"	"Common Market for Eastern & Southern Africa (COMESA)"	"YES"
"rei140"	"Community of Sahel and Saharan States (CEN-SAD)"	"YES"
"rei190"	"South African Customs Union (SACU)"	"YES"
"rei200"	"East African Community (EAC)"	"YES"
"rei220"	"Economic Community of Central African States (ECCAS/CEEAC)"	"YES"
"rei240"	"The Economic Community of the Great Lakes Countries (ECGLC) "	"NO"
"rei245"	"International Conference of the Great Lakes Region (ICGLR)"	"NO"
"rei260"	"Economic Community of West African States (ECOWAS)"	"YES"
"rei280"	"Commission de l'Océan Indien, Indian Ocean Commission (COI)"	"YES"
"rei340"	"Southern Africa Development Community (SADC)"	"YES"
"rei360"	"Union économique et monétaire ouest-africaine (UEMOA)"	"YES"
"rei380"	"Union of Central African States, Union des Etats de l'Afrique centrale (UEAC)"	"NO"
"rei420"	"Association of Southeast Asian Nations (ASEAN)"	"YES"
"rei440"	"Economic and Social Commission for Asia and the Pacific (ESCAP)"	"NO"
"rei460"	"Pacific Islands Forum (PIF)"	"YES"
"rei475"	"Inter-governmental Authority on Development (IGAD)"	"YES"
"rei480"	"South Asian Association for Regional Cooperation (SAARC)"	"YES"
"rei500"	"Association of Caribbean States (ACS)"	"YES"
"rei520"	"Caribbean Common Market (CARICOM)"	"YES"
"rei540"	"Organization of Eastern Caribbean States (OECS)"	"YES"
"rei560"	"Benelux Economic Union (BEU)"	"YES"
"rei580"	"Central European Free Trade Agreement (CEFTA)"	"YES"
"rei600"	"European Free Trade Agreement (EFTA)"	"YES"
"rei620"	"European Union (EU)"	"YES"
"rei630"	"Nordic Council (NC)"	"YES"
"rei640"	"Black Sea Economic Cooperation Organization (BSEC)"	"YES"
"rei650"	"Organization for Democracy and Economic Development (GUAM)"	"YES"
"rei660"	"Commonwealth of Independent States (CIS)"	"YES"
"rei667"	"Collective Security Treaty Organization (CSTO)"	"NO"
"rei670"	"Eurasian Economic Community (EAEC)"	"YES"
"rei680"	"Central Asian Cooperation Organization (CACO)"	"YES"
"rei685"	"Shanghai Cooperation Organization (SCO)"	"YES"
"rei690"	"Central Asian Nuclear-Weapon-Free Zone (CANWFZ)"	"NO"
"rei700"	"Andean Pact, Pacto Andino (CAN)"	"YES"
"rei710"	"African Union (AU)"	"NO"
"rei720"	"Sistema de la Integracion Centroamericana, Central American Common Market, CACM, ODECA (SICA)"	"YES"
"rei740"	"Tratado de Libre Comercio entre los Estados Unidos Mexicanos, la República de Colombia y la República de Venezuela (FTA-CO-MX-VE)"	"NO"
"rei760"	"Latin American Free Trade Association (LAFTA)"	"NO"
"rei780"	"North American Free Trade Agreement (NAFTA)"	"YES"
"rei800"	"Southern Common Market (MERCOSUR)"	"YES"
"rei840"	"League of Arab States (LAS)"	"NO"
"rei860"	"Economic Cooperation Organization (ECO)"	"YES"
"rei880"	"Gulf Cooperation Council (GCC)"	"YES"
