Author/GoverningBody	Year	DateFound	ResourceType	FileName	ResourceURL	G
""	2000.0	"43600"	"Parking Rules and Regulations"	"Svyantek_VT_Parking_2000.pdf"	""	""
""	2000.0	"43607"	"University Accommdations Policy 4025"	"Svyantek_VT_AccommodationPolicy_1.pdf"	"http://web.archive.org/web/20100529223143/http://www.policies.vt.edu/4075.pdf"	""
"Provost's Office"	2005.0	"43491"	"Faculty Handbook"	"Svyantek_VT_Faculty_2005.pdf"	"https://web.archive.org/web/20060217142934/https://www.provost.vt.edu/web_pages/Faculty%20Handbook%20Oct%202005.pdf"	"WebArchive"
""	2005.0	"43601"	"Hokie Handbook"	"Svyantek_VT_StudentHandbook.pdf"	"https://web.archive.org/web/20060116174939/http://www.studentprograms.vt.edu/publications/documents/thehokiehandbook.pdf"	""
""	2005.0	"43601"	"Housing Contract - Return"	"Svyantek_VT_HousingContractReturn_1.pdf"	"https://web.archive.org/web/20060829014322/http://www.studentprograms.vt.edu/housing/documents/2005_2006_Terms_and_Conditions_Returning_Student.pdf"	""
""	2005.0	"43601"	"Housing Contract"	"Svyantek_VT_HousingContract_2005.pdf"	"https://web.archive.org/web/20060829014350/http://www.studentprograms.vt.edu/housing/documents/2005_2006_Terms_and_Conditions_Freshmen_Transfer_Students.pdf"	""
""	2005.0	"43606"	"Syllabus Statement webpage"	"Svyantek_VT_SyllabusStatement_2006.pdf"	"https://web.archive.org/web/20060517035032/http://www.ssd.vt.edu/syllabusstatements.htm"	""
""	2005.0	"43607"	"University Accommdations Policy 4025"	"Svyantek_VT_AccommodationPolicy_2.pdf"	"http://web.archive.org/web/20100529223143/http://www.policies.vt.edu/4075.pdf"	""
""	2005.0	"43609"	"Housing Accommodations Medical"	"Svyantek_VT_HousingAccommodationsMedical.pdf"	"http://web.archive.org/web/20060517050046/http://www.ssd.vt.edu/specialhousingmedicaldocumentation.pdf"	""
""	2005.0	"43609"	"SSD Confidentiality Statement"	"Svyantek_VT_SSDConfidentialityStatement_1.pdf"	"http://web.archive.org/web/20051210180125/http://www.ssd.vt.edu/confidentialitystatement.htm"	""
""	2005.0	"43609"	"SSD Student Handbook"	"Svyantek_VT_SSDStudentHandbook.pdf"	"http://web.archive.org/web/20060504070720/http://www.ssd.vt.edu/ssdshandbook.pdf"	""
""	2005.0	"43609"	"SSD Faculty Handbook"	"Svyantek_VT_SSDFacultyHandbook.pdf"	"http://web.archive.org/web/20060517034954/http://www.ssd.vt.edu/ssdfhandbook.pdf"	""
""	2005.0	"43609"	"Accommodations Letter Instructions"	"Svyantek_VT_AccommodationsLetterInstructions_1.pdf"	"http://web.archive.org/web/20060517045843/http://www.ssd.vt.edu/letterinstructions.htm"	""
""	2005.0	"43609"	"Housing Allergy Accommodations Form"	"Svyantek_VT_HousingAllergyAccommodationsForm.pdf"	"http://web.archive.org/web/20060517050015/http://www.ssd.vt.edu/specialhousingasthmaallergies.pdf"	""
""	2005.0	"43609"	"Housing Accommodations General Form"	"Svyantek_VT_HousingAccommodationsGeneralForm.pdf"	"http://web.archive.org/web/20060517050028/http://www.ssd.vt.edu/specialhousingaccommodationrequest.pdf"	""
""	2005.0	"43609"	"SSD Documentation Medical Guidelines"	"Svyantek_VT_SSDDocumentationMedicalGuidelines_1"	"http://web.archive.org/web/20060517035206/http://www.ssd.vt.edu/MedicalDisabilityGuidelines.pdf"	""
""	2005.0	"43609"	"SSD Documentation Psych Disability Guidelines"	"Svyantek_VT_SSDDocumentationPsychDisabilityGuidelines.pdf"	"http://web.archive.org/web/20060517034809/http://www.ssd.vt.edu/PsychDisabilityGuidelines.pdf"	""
""	2005.0	"43609"	"SSD Incoming Students Process"	"Svyantek_VT_SSDIncomingStudentsProcess_1.pdf"	"http://web.archive.org/web/20060517035046/http://www.ssd.vt.edu/prospectivestudents.htm"	""
""	2005.0	"43609"	"SSD Enrolled Students Process"	"Svyantek_VT_SSDEnrolledStudentsProcess_1.pdf"	"http://web.archive.org/web/20060517035018/http://www.ssd.vt.edu/currentstudents.htm"	""
