Maincode	Description	Sub-theme	Description	Sub-theme	Description	Sub-theme	Description
"Data sharing"	"Rs responses to data sharing questions"	"Understanding of sharing"	"Rs definition or description of how they understand the concept of data sharing "	"Accurate"	"R indicates that data sharing includes sharing of information of data/transcript/answers with other researchers"	""	""
""	""	""	""	"Incomplete / inaccurate"	"R's discussion of data sharing conflates data sharing with participation in research or dissemination of research findings or otherwise lacks accuracy"	""	""
""	""	""	""	"Insufficient"	"R  does not provide sufficient information on their understanding of data sharing  to assess accuracy of understanding"	""	""
""	""	"Motivation for sharing"	"Rs description of how or why they decided to share/not share their data, and how this affected their participation in the interview"	"Help"	"R describes being motivated to help other people and/or improve research"	"Help others"	"R describes wanting to help improve the lives of others and their sexual and reproductive health"
""	""	""	""	""	""	"Help research"	"R describes wanting to contribute to the research field or improve future studies"
""	""	""	""	"Confidentiality"	"R describes being movitated because of comfort/concerns about their identifying information"	""	""
""	""	""	""	"Open book"	"R describes being motivated to share personal experiences with others"	""	""
""	""	""	""	"Purpose of research"	"R describes being motivated by how the they think data might be used"	""	""
""	""	""	""	"Incentive"	"R describes being motivated by the study incentive"	""	""
""	""	""	""	"Other"	"R describes any other motivation"	""	""
