Telemedizin Rettungsdienst,,,,,,,,,,
Projekt-ID,887374,,,,,,,,,
URL der Umfrage,https://ww2.unipark.de/uc/telemedizin_rettungsdienst/,,,,,,,,,
Datum,24.05.2022 05:39:24,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Inhalt:,,,,,,,,,
,System,,,,,,,,,
,Standardseite,,,,,,,,,
,Standardseite,,,,,,,,,
,Standardseite,,,,,,,,,
,Filter,,,,,,,,,
,Standardseite,,,,,,,,,
,Standardseite,,,,,,,,,
,Standardseite,,,,,,,,,
,Standardseite,,,,,,,,,
,Filter,,,,,,,,,
,Standardseite,,,,,,,,,
,Filter,,,,,,,,,
,Standardfrage,,,,,,,,,
,Filter,,,,,,,,,
,Standardfrage,,,,,,,,,
,Standardseite,,,,,,,,,
,Standardseite,,,,,,,,,
,Filter,,,,,,,,,
,Standardseite,,,,,,,,,
,Endseite,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,System (PGID 5800277),,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
3,Standardseite (PGID 5801704),,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
4,Standardseite (PGID 5801726),,,,,,,,,
,,,,,,,,,,
Was ist Ihre Tätigkeit im Rettungswesen? (q_10640103 - Typ 121),,,,,,,,,,
Bitte kreuzen Sie alles Zutreffende an.,,,,,,,,,,
v_285,v_285,int,Rettungssanitäter:in,,,,,,,
,,0,not quoted,,,,,,,
,,1,quoted,,,,,,,
v_286,v_286,int,Notfallsanitäter:in,,,,,,,
,,0,not quoted,,,,,,,
,,1,quoted,,,,,,,
v_287,v_287,int,Notfallsanitäter:in mit Kompetenzen,,,,,,,
,,0,not quoted,,,,,,,
,,1,quoted,,,,,,,
v_289,v_289,int,Ärzt:in,,,,,,,
,,0,not quoted,,,,,,,
,,1,quoted,,,,,,,
v_290,v_290,int,Leitstellenmitarbeiter:in,,,,,,,
,,0,not quoted,,,,,,,
,,1,quoted,,,,,,,
v_291,v_291,int,"Andere Tätigkeit, und zwar:",,,,,,,
,,0,not quoted,,,,,,,
,,1,quoted,,,,,,,
v_292,v_292,varchar,"Andere Tätigkeit, und zwar:",,,,,,,
 ,,,,,,,,,,
,,,,,,,,,,
In welchem Rahmen führen Sie diese Tätigkeit aus? (q_10640107 - Typ 121),,,,,,,,,,
Bitte kreuzen Sie alles Zutreffende an.,,,,,,,,,,
v_293,v_293,int,Berufliche Tätigkeit,,,,,,,
,,0,not quoted,,,,,,,
,,1,quoted,,,,,,,
v_294,v_294,int,Ehrenamtliche Tätigkeit,,,,,,,
,,0,not quoted,,,,,,,
,,1,quoted,,,,,,,
v_295,v_295,int,Zivildienst/Freiwilliges Soziales Jahr,,,,,,,
,,0,not quoted,,,,,,,
,,1,quoted,,,,,,,
 ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
5,Standardseite (PGID 5801728),,,,,,,,,
,,,,,,,,,,
