Date	Location	Event Type	External Link(s)	Status	Tweet content / article abstract	Link in Twitter or Facebook post	Archived link
2014-03-25	Tripoli	Self-immolation	http://english.al-akhbar.com/node/19150	Good	Syrian woman and Lebanese gas station owner set themselves on fire in separate incidents in Lebanon on Tuesday, state media reported. In the northern city of Tripoli, Mariam al-Khawli attempted to commit suicide outside a United Nations office by setting herself alight before bystanders rushed to save her.	NA	https://perma.cc/9UQB-2BAV
2014-05-18	Zahle	Protest	http://www.twitter.com/LBCI_News_EN/status/467950093274865664	Good	Syrian nationals hold demonstration in support of #Assadin#Zahle| https://www.lbcgroup.tv/news/155969/LBCI-News … |#Syria#Lebanon	https://www.lbcgroup.tv/news/155969/LBCI-News	https://perma.cc/HH6H-3MAY
2014-05-30	Tripoli	Protest	http://www.twitter.com/Racha93halabi/status/472329273383329792	Good	"@omarfarache: مظاهرة للسوريين المعارضين للانتخابات امام مسجد التقوى   في طرابلس    https://twitter.com/omarfarache/status/472328159430311936/photo/1pic.twitter.com/AkkLOtc9y0 "	http://t.co/AkkLOtc9y0	not available
2014-05-31	Aarsal	Protest	http://cldhpressreview.blogspot.com.tr/2014/06/now-lebanon-arsal-refugees-protest.html	Good	نازحو عرسال ضد "انتخابات الدم" رغم قصف طائرات النظام السوري لجرود عرسال صباح اليوم بعدة براميل متفجرة، على مقربة من مخيمات النزوح، نظم حشد من النازحين السوريين وقفة اعتصامية ضد الرئيس السوري بشار الأسد وانتخاباته "المزيفة" كما وصفوها. الاعتصام كان بعنوان "أحرار سوريا يقولون كلمتهم: لا لانتخابات الدم والعار". المعتصمون رفعوا أعلام الثورة السورية، ويافطات ضد الانتخابات، وأطلقوا هتافات الثورة المعروفة ورددوا أغانيها. وتوجهوا للعالم أجمع بعدة لغات، منها العربية والإنكليزية والكردية والروسية، مناشدين العالم إيقاف مجازر بشار الأسد بحق الشعب السوري	NA	https://perma.cc/4P7U-66XJ
2014-06-01	Khreibet Ej-Jindi	Protest	http://www.twitter.com/LBCI_News_EN/status/473143975583313923	Good	[VIDEO] REPORT: Syrian refugees in #Akkarhold protests against Syrian presidential elections | https://www.lbcgroup.tv/news/158469/LBCI-News … |#Lebanon#Syria	https://www.lbcgroup.tv/news/158469/LBCI-News	https://perma.cc/R8QL-7ANQ
2014-06-01	Khreibet Ej-Jindi	Protest	http://www.twitter.com/NewsLB/status/473131631008440320	Good	#LebanonSyrian Refugees in Akkar Protest 'Blood Election' http://dlvr.it/5rVV2q Via@Naharnet	www.naharnet.com/stories/en/133167-syrian-refugees-in-akkar-protest-blood-election	https://web.archive.org/web/20140603044058/www.naharnet.com/stories/en/133167-syrian-refugees-in-akkar-protest-blood-election
2014-09-10	Nabatiyya	Protest	http://www.twitter.com/Live961/status/509709644655505408	Good	اعتصام لسوريين في النبطية تضامنا مع الجيش اللبناني والمقاومة http://wyz.me/affq #lebanon	https://www.elmarada.org/politics/latest-news/97409-%D8%A7%D8%B9%D8%AA%D8%B5%D8%A7%D9%85-%D9%84%D8%B3%D9%88%D8%B1%D9%8A%D9%8A%D9%86-%D9%81%D9%8A-%D8%A7%D9%84%D9%86%D8%A8%D8%B7%D9%8A%D8%A9-%D8%AA%D8%B6%D8%A7%D9%85%D9%86%D8%A7-%D9%85%D8%B9-%D8%A7%D9%84%D8%AC%D9%8A%D8%B4-%D8%A7%D9%84%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A-%D9%88%D8%A7%D9%84%D9%85%D9%82%D8%A7%D9%88%D9%85%D8%A9	not available
2014-09-10	Nabatiyya	Protest	http://www.twitter.com/Mulhak/status/509720449610022912	Good	إعتصام لسوريين في النبطية تضامنا مع الجيش والمقاومة http://mulhak.com/show/Leb/170405/ …	http://www.mulhak.com/show/Leb/170405/	not available
2014-09-26	Aarsal	Protest	http://www.facebook.com/165780076805908_834275136623062	Good	شبكة #شام الإخبارية | #التقرير السياسي 26\9\2014 المشهد المحلي: • أدان الائتلاف الوطني لقوى الثورة والمعارضة السورية مداهمة مجموعات من الجيش اللبناني لمخيمات اللاجئين السوريين في بلدة عرسال (شرق لبنان)، واعتقالها نحو مائتين منهم بأسلوب وحشي، وذلك بعد خروج مئات اللاجئين السوريين في مظاهرة في البلدة احتجاجا على الاعتقالات والمداهمات المذكورة، وأدان الأمين العام للائتلاف نصر الحريري في بيان بأشد العبارات ما سماها التجاوزات التي قام بها الجيش اللبناني بحق اللاجئين السوريين في عرسال واعتقال نحو مائتين منهم بأسلوب وحشي بحجة وجود مطلوبين تعرضوا للجيش اللبناني من داخل المخيمات، وطالب الحريري الحكومة اللبنانية بوقف هذه التجاوزات بحق اللاجئين السوريين فورا، وإطلاق سراح الموقوفين، وفتح تحقيق بشأن ما قال إنها انتهاكات متكررة، واتخاذ الإجراءات القانونية بحق المسؤولين عنها منعا لتكرارها. • أعلن الائتلاف الوطني السوري المعارض أن وفدا يتقدمه رئيسه، هادي البحرة بحث في نيويورك مع المبعوث الأمريكي الخاص إلى سورية دانيال روبشتاين، الوضع في سورية، خاصة ما يتعلق بحملة التحالف التي تقودها أمريكا في ضرب تنظيم "الدولة الاسلامية" ومجموعة "خراسان"، واستمرار نظام الأسد في حملته العسكرية، ونقل مكتب الائتلاف نفي الجانب الأمريكي أن تكون الولايات المتحدة قد نسقت مع نظام الأسد، أو اتفقت معه أو طلبت موافقته، بل إن أميركا حذرت نظام الأسد بأنه في حال اعتراض قواته للضربات الأميركية، فإن قوات الأخيرة ستدمر كل دفاعاته. • افتتح نصر الحريري الأمين العام للائتلاف الوطني السوري ومحمد قداح نائب رئيس الائتلاف والوفد المرافق له مكتباً للائتلاف في سراقب بإدلب، وقال الحريري إنّ سلسلة افتتاح هذه المكاتب في المدن السورية، ليست نهاية المطاف بل هي عنوان لمرحلة، وإنّ الهدف الرئيسي من فتح مثل هذه المكاتب، هو السعي لتنظيم أكثر دقة، وتدعيم جسور التواصل ما بين القيادات السياسية والقيادات المدنية والعسكرية في كافة المدن السورية، من أجل استعادة مقود القرار السياسي الذي تحاول المصالح الدولية اختطافه من يد السوريين، ووعد الحريري بأنّ الائتلاف وبالقريب العاجل سيكون مع المواطن السوري كتفا إلى كتف لبناء سورية والخروج منها من هذه الغوغائية التي يحاول الأسد من خلال بثّها في منظومة المجتمع الدولي التشويش على الصوت الحقيقي للسوريين. • عقد المجلس العسكري الأعلى اجتماعا بحضور 22عضوا لمناقشة قرار رئيس الائتلاف الأخير القاضي بحل مجلس القيادة العسكرية العليا، ونشرت وسائل التواصل الاجتماعي محضر جلسة منسوب لاجتماع المجلس الأعلى، جاء فيه أن قرار رئيس الائتلاف بحل المجلس يعد باطلا للاعتبارات التالية: أن البيان الصادر عنه غير قانوني ولا يدخل ضمن صلاحيات رئيس الائتلاف، واستناد القرار على بيان مزور من بعض أعضاء المجلس السابقين والذين تم فصلهم إداريا، وطالب مجلس القيادة العسكرية الهيئة العامة للائتلاف بحجب الثقة عن البحرة لضعف وتراجع أدائه السياسي، ولتفرده بقرارات تعسفية خارجة عن اختصاصه، كما تضمن محضر الاجتماع إقالة العميد عبد الإله البشير من منصبه لضعف أدائه وتجاوزه الصلاحيات الممنوحة له، وجرى تكليف العميد أحمد بري بتسيير أمور رئاسة الأركان ريثما يتم تعيين رئيس أركان جديد خلال مدة أقصاها 30 يوم. • قالت شبكة "سي ان ان" الأمريكية إن قادة أكثر من 20 جماعة معارضة سورية، بما فيهم زعماء جماعات مسيحية، وقعوا اتفاقاً لتوحيد صفوفهم في محاربة تنظيم "الدولة الإسلامية في العراق والشام"، وعصابات الأسد، جاء توقيع الاتفاق، الذي وصف بالتاريخي، في ختام اجتماع عُقد في تركيا الخميس، بتنسيق مشترك بين لجنة العلاقات الخارجية بمجلس النواب الأمريكي، والمنظمة السورية للطوارئ، التي تتخذ من العاصمة الأمريكية واشنطن مقراً لها، وبموجب الاتفاق، فقد وافقت الجماعات السُنية المعتدلة، التي تقاتل تحت لواء المجلس العسكري الأعلى للثورة السورية، على تشكيل تحالف فيما بينهم، يضم أيضاً المجلس العسكري السرياني، الذي يضم جماعات المعارضة المسيحية في سوريا، واتفق قادة جماعات المعارضة السورية، خلال الاجتماع، الذي لم تحضره أي وسيلة إعلامية باستثناء CNN، على العمل سوياً من أجل التأكيد على أن سوريا الحرة لن تشهد تمييزاً بين كافة العرقيات والديانات والأحزاب السياسية، ويتمتع فيها الجميع بحقوق متساوية. المشهد الإقليمي: • حذر أمير قطر الشيخ تميم بن حمد آل ثاني من أن المعركة التي تقودها الولايات المتحدة ضد تنظيم الدولة الإسلامية المتشدد لن تنجح إذا ظل بشار الأسد في السلطة، وقال الشيخ تميم في مقابلة مع "سي.إن.إن": ينبغي أن نتصدى للإرهاب لكنني أعتقد أن السبب الرئيسي لكل ذلك هو النظام في سوريا وهذا النظام ينبغي أن يعاقب، ووفقا لنص المقابلة قال الأمير إننا إذا اعتقدنا أننا سنتخلص من الحركات الإرهابية ونترك هذه الأنظمة -ولا سيما هذا النظام- يقوم بما يقوم به فإن هذه الحركات الإرهابية ستعود من جديد. • قال وزير الخارجية التركي مولود جاويش أوغلو إن تركيا قامت قبل نحو عام بإدراج تنظيم "داعش" على قوائم التنظيمات الإرهابية، قبل أن يسمع العالم باسم هذا التنظيم، وأضاف الوزير التركي أن موقف تركيا من الجماعات، والتنظيمات الإرهابية واضح للغاية، موضحاً أنه الآن بدأت الولايات المتحدة الأميركية، وأصدقاؤنا من الدول الغربية، يقولون إن المواقف التركية السابقة بخصوص الإرهاب كانت صائبة، وكانت هذه الدول التي بدأت تتحرك الآن لاستهداف التهديدات الإرهابية لها، تتبنى من قبل مواقفا مغايرة، وأشار أوغلو، إلى أن مواقف تركيا المبنية على مبادئ، مستمرة، ولم تتغير، وأنه لم يطرأ أي تغيير على آرائها بخصوص أي قضية من القضايا، ولا سيما الإرهاب، مضيفا أننا لم نفرق بين الجماعات، والتنظيمات الإرهابية، ولم نحابي أي جماعة، أو تنظيم إرهابي، لمجرد أنه يحارب "داعش"، فكلهم عندنا سواء. • أكد الرئيس التونسي المنصف المرزوقي تأييده التصدي لتنظيم الدولة الإسلامية "داعش"، لكنه انتقد اقتصار مواجهته بالرؤية الأمنية والعسكرية الضيقة، ووصف المرزوقي نظام الأسد بأنه أكبر مجرم في المنطقة ولا ننتظر منه شيئاً سوى أن يسقط وهو ما يعني أننا ندعم كل ما يؤدي إلى سقوطه، ولا يجب الاختيار بين "داعش" ونظام الأسد لأن كلاهما يجب أن يرحل لأجل نظام ديموقراطي تعددي، لأنه كمثل الاختيار بين الطاعون والجدري. المشهد الدولي: • تبنى النواب البريطانيون الذي عقدوا جلسة طارئة بعد ظهر اليوم الجمعة بموافقة 524 صوتاً مقابل معارضة 43 صوتا، مذكرة للحكومة تجيز توجيه ضربات جوية ضد تنظيم داعش في العراق، والموافقة على هذا النص تعني انضمام بريطانيا رسمياً إلى التحالف العسكري الدولي الذي يقاتل، بقيادة الولايات المتحدة، هذا التنظيم المتطرف، وقبيل الموافقة، أعلن رئيس الوزراء البريطاني ديفيد كاميرون، أن تدخل المملكة المتحدة في العراق ربما يستمر لسنوات حال أجازه البرلمان البريطاني، وقال كاميرون أمام مجلس العموم الذي دعاه لعقد جلسة طارئة للتصويت على انضمام المملكة المتحدة إلى التحالف لمحاربة تنظيم "داعش" إن ذلك سيكون مهمة لن تنتهي في أشهر بل ستستمر سنوات، لكني أعتقد أنه علينا أن نستعد لهذا الالتزام. • أعلنت وزارة الدفاع الأميركية أن مقاتلات سعودية وإماراتية شاركت بكثافة في الضربات الأخيرة التي استهدفت مواقع تابعة لتنظيم "الدولة الإسلامية" المتطرف في سوريا، وقال المتحدث الكولونيل البحري جون كيربي للصحافيين إن 10 مقاتلات من الدولتين العربيتين أغارت مساء الأربعاء برفقة 6 مقاتلات أميركية على مصافي النفط الخاضعة لسيطرة "الدولة الإسلامية"، موضحا أن ثمانين في المئة من القصف قامت به المقاتلات السعودية والإماراتية. • طالبت الولايات المتحدة رعاياهما في تركيا بتوخي المزيد من الحذر لاحتمال أن يشن متشددون أجانب أو محليون هجمات عليهم ردا على الغارات الجوية التي استهدفت مقاتلي تنظيم "الدولة الإسلامية" في سوريا والعراق، وقالت السفارة الأمريكية في أنقرة إن المناطق الشرقية والجنوبية الشرقية في تركيا - والتي يقع أجزاء منها على الحدود مع العراق وسوريا - عرضة للخطر على وجه الخصوص رغم عدم وجود معلومات لديها عن تهديدات محددة، وقالت السفارة في بيان إن احتمالات شن هجمات إرهابية على مصالح وأشخاص أمريكيين من مجموعات محلية وعابرة للحدود تبقى مرتفعة. • قالت وزارة الدفاع الامريكية "البنتاغون" إنه من السابق لأوانه القول إن التحالف الذي تقوده الولايات المتحدة ينتصر على تنظيم "الدولة الإسلامية" وأشارت إلى أن التنظيم ما زال يمكنه الوصول إلى متطوعين وأسلحة وتمويل حتى بعد عمليات القصف في سوريا والعراق، وقال المتحدث باسم البنتاغون الأميرال جون كيربي للصحفيين إن سؤالكم هو كيف تعرفون انكم تنتصرون؟ وما أقوله لكم هو أننا سنستغرق بعض الوقت لنكون قادرين على أن نقول ذلك، وأضاف أنه حتى بعد الضربات التي تعرضوا لها ما زال لديهم تمويل عند أطراف أصابعهم. • قال مدير مكتب التحقيقات الفدرالي الأمريكي (اف بي اي) جيمس كومي إن تنظيم "الدولة الإسلامية" سيحاول بالتأكيد شن عمليات في الولايات المتحدة ردا على الضربات الأمريكية التي تستهدفه في سوريا، معلنا من جهة أخرى التوصل إلى تحديد هوية الملثم الذي أعدم أميركيين اثنين وبريطانيا، وقال جيمس كومي متحدثا خلال طاولة مستديرة نظمت في مقر الـ(اف بي آي) مع عدد من الصحافيين إنه لا شك أن جهاديي الدولة الإسلامية يودون القيام بتحرك ردا على عمليات أميركا وحلفائها، وإنني واثق من أنهم يودون إيجاد وسيلة ليضربوا هنا. • قال وزير الخارجية الفرنسي لوران فابيوس؛ إن أعداء بلاده في سوريا يتضاعفون، وإن العدو الأول هو الأسد، ومن ثم تنظيم الدولة الإسلامية "داعش"، مبيناً أن الأسد لا يحارب تنظيم الدولة لأنه يحقق مصالحه، وبخصوص الفرنسيين الذين يذهبون للقتال في سوريا، قال فابيوس إن عدداً كبيراً منهم يذهب عبر تركيا ، مشدداً بذلك على ضرورة توطيد تعاون وثيق مع تركيا في هذا المجال، وفي تعليقه على توسع تنظيم "الدولة الإسلامية" قال الوزير الفرنسي، إن هذا التنظيم لا يمثل الإسلام بأي شكل من الأشكال. • حذر رئيس الوزراء البريطاني ديفيد كاميرون، بأن تدخل المملكة المتحدة في العراق قد يستمر لسنوات إن أجازه البرلمان البريطاني، وقال كاميرون أمام مجلس العموم الذي دعاه لعقد جلسة طارئة للتصويت على انضمام المملكة المتحدة إلى التحالف لمحاربة تنظيم "داعش" إن ذلك سيكون مهمة لن تنتهي في أشهر بل ستستمر سنوات، لكني أعتقد أنه علينا أن نستعد لهذا الالتزام"، أوضح كاميرون أنه يعتقد بوجوب اتخاذ خطوات أكبر في سوريا، في حين يبت البرلمان فقط في احتمال المشاركة في الضربات الجوية في العراق. • قدمت الحكومة الألمانية تأييدها الواضح للغارات الجوية التي تقودها الولايات المتحدة ضد الدولة الاسلامية في سوريا، وقال المتحدث باسم ميركل شتيفن زايبرت إن الهجمات في شمال سوريا لا تخص سوريا أو حكومة الأسد بل هي لمساعدة الحكومة العراقية لتدافع عن العراق ضد هجمات تشنها الدولة الإسلامية من سوريا، بحسب وكالة رويترز، وقال في مؤتمر صحفي إن هذا هو القصد من هذه العملية العسكرية، وقد أخطرت حكومة الأسد مسبقا ولم تحتج.	not available	not available
2014-09-26	Aarsal	Protest	https://now.mmedia.me/lb/en/NewsReports/564137-army-hostages-fate-in-balance	Good		NA	https://web.archive.org/web/20150717175306/https://now.mmedia.me/lb/en/NewsReports/564137-army-hostages-fate-in-balance
